id	left	target	right	lemma
aanraking/N/TAA_1934_16_pos/96	op onze taal . Niets ligt geografies en histories meer voor_de_hand . De zuidelike gewesten zijn vanouds in onmiddellike intieme	aanraking	geweest met het Frans . Het verkeer van het economies belangrijke Zuiden met de waalse gewesten en N. -Frankrijk is	aanraking
aanraking/N/DIE_1999_139_pos/282	een been in ijsemmermagma brengen tot_staan . Middag blaast koud en warm . Links haartjes in_de_weg , een woudje van	aanraking	weet , tel je van teen tot bovenbeen . Rechts , zingend het lijkwit dat rood aanloopt , of het	aanraking
aanraking/N/DIE_1938_64_pos/1674	oefenen en die om hun ‘ familiale ’ vorming gekozen werden , werkelijk bestaan heeft , of het door de	aanraking	met de macht ontzenuwd werd en of het in ons hedendaagsch klimaat en in ons vernieuwd midden tot verdwijnen gedoemd	aanraking
aanraking/N/GRO_1911_96_pos/6915	opera , een mooi boek . Maar waren die genietingen iets meer_dan tijdverdrijf ? Kon iemand , voor wie elke	aanraking	met mensen tot een foltering werd , pretjes met anderen hebben ? Vriendschap ... voor hem een ledige klank ,	aanraking
aanraking/N/DIE_1912_79_pos/1223	en zou ons in gevaar brengen de sterkste beweegreden te ontnemen om ons apostolaat uit te oefenen . Immers gedurige	aanraking	met andersdenkenden moet bijna noodzakelijk onze godsdienstige overtuiging minder sterk maken . b ) We hebben in onze Kerk inrichtingen	aanraking
aanraking/N/GID_1922_61_pos/11342	bewezen , doordat zelfs de in zedelijk opzicht meest afgestompte milieu's er sporen van verraden , daar in gelegd door	aanraking	van_den rondom hen heerschenden beteren geest . Zelfs de meest verharde inbreker en moordenaar zal blijken geven te_weten , dat	aanraking
aanraking/N/NVT_1968_62_pos/3466	kunstjes maken en greep hoogstens in zijn nekvel , of gaf hem een tikje dat niet méér was dan een	aanraking	. Waren er anderen in huis en wist hij waar ik was , dan keek hij naar mij niet om	aanraking
contact/N/GID_1984_57_pos/2139	zich toch wel een plaats veroverd in de Nederlandse literatuur - maar vanuit de verte . Van persoonlijk en geregeld	contact	was geen sprake ; er waren ontmoetingen , incidenteel , meestal hartelijk en van weerszijden waarderend . Maar was er	contact
contact/N/JAA_1977_1_pos/5087	bekende inhoudsopgaaf , maar vooraan ook al in de tekst zelf - verdeeld in onderdelen met afzonderlijke titels als Eerste	contacten	en Insomnia , een twintigtal . Op 30 april 1954 schrijft Kemp : ‘ Voor het Zomerseizoen wil ik met	contact
contact/N/DIE_1938_132_pos/2013	worden ; alle tochten van het menschelijke opgenomen ; alle stroomingen der buitenwereld waargenomen . Door onze Extension_Universitaire hadden wij	contact	gehad met de fransche litterators : René_Doumic was ons , uit Parijs , een zes wekenreeks lessen komen geven .	contact
contact/N/GID_1993_32_pos/5628	en ik ’ , in : Douglas_R._Hofstadter en Daniel_C._Dennett , red. , De spiegel van de ziel , Amsterdam :	Contact	, p. 27 Campschreur , Willem , Tony_Hak , Bart_Top , 1985 . ‘ De bijdrage van Michel_Pêcheux aan de	contact
