id	left	target	right	lemma
vreemdeling/N/GID_1930_105_pos/5443	. Het was een warme lente-avond . Op den Lungarno , voor den ingang van enkele groote hotels , slenterden	vreemdelingen	in avondkleeding op het trottoir heen_en_weer . Een blinde zanger , die zich op zijn guitaar begeleidde , had een	vreemdeling
vreemdeling/N/NVT_1958_25_pos/15821	ge met hen niet spreken en dat is erg voor u . Maar wij , Joodse boerkens , voor één	vreemdeling	die in onze geburen komt wonen , leren wij zijn taal en laten ons door hem uitlachen omdat we ze	vreemdeling
vreemdeling/N/DIE_1900_28_pos/1712	hoofdkerken , St. Jan_Lateranen en O.L.V. de Meerdere , gedaan : zij waren bijna met twee duizend . Het getal	vreemdelingen	is merkelijk grooter dan in gewone jaren . In veertien dagen tijds , volgens men uitgerekend heeft , werden 10,000	vreemdeling
vreemdeling/N/GID_1985_33_pos/1986	binnen de bestaande juridische kaders door de autoriteiten ‘ eerlijk ’ behandeld ; -kwamen er collectieve vijandelijke acties voor tegen	vreemdelingen	; -kwamen er individuele vijandelijke acties voor tegen vreemdelingen ? Wat de eerste vraag betreft kunnen we gebruik maken van	vreemdeling
vreemdeling/N/DIE_1904_48_pos/1616	Katholiek 1903 een opstel ‘ Woordkunst van Gezelle ’ , waar hij het heeft over ‘ woorden die er als	vreemdelingen	uitzien , maar bij oplettender beschouwing in omhoogbouw en gestalte , in kleur van haren en opslag van oogen echte	vreemdeling
vreemdeling/N/NVT_1961_92_pos/8287	een kam vormde en hoe zij plots rechtgesprongen was met een norse trek om haar mond en het woord ‘	vreemdelingen	’ wierp een glinsterend nylonnet tussen hem en haar . ‘ Verontschuldig mij ’ , zei hij en wees achter	vreemdeling
vreemdeling/N/JAA_1967_22_pos/2437	in English , maar die verscheen te_Amsterdam bij Meulenhoff . De titel is ook al merkwaardig , typisch voor een	vreemdeling	die Engels schrijft ( vgl. Gedichten in het Nederlands ) . In de laatste jaren neemt de Engelse poëzie in	vreemdeling
vreemdeling/N/DIE_1930_95_pos/19282	eer dat de Kerkelijke Overheid zich met de bezoeken in het Neumannshuis had bemoeid , van drie tot vier duizend	vreemdelingen	. En die brave , christelijke menschen die Therese's ouders zijn wilden gedoogen , - en verdragen het nog -	vreemdeling
vreemdeling/N/ONT_1950_40_pos/6095	hier ? ’ ‘ Op het knekelveld , ’ antwoordde hij . ‘ Ik zou gefusilleerd worden . ’ De	vreemdeling	liep op Neige toe en stak een hand in diens binnenzak . Hij toonde hem z'n legitimatiekaart , met foto	vreemdeling
vreemdeling/N/NVT_1955_86_pos/4197	Dat de wereld onheimelijk is , dat de enkeling , die zich van elk verband heeft losgerukt , als een	vreemdeling	rondwaart , is reeds bij de behandeling van de eenzaamheid en fataliteit gebleken . De onheimelijkheid houdt tevens verband (	vreemdeling
vreemdeling/N/GID_1942_52_pos/4517	oudste Soon , nu by my woonende , hem belastende , hetselve te bewaren en , of by geval eenige	Vreemdelingen	hier quamen , haer hetselve te laten sien en , indien sy begeerden uyt te copieeren ; Ten eynde onsen	vreemdeling
vreemdeling/N/NVT_1946_130_pos/3389	minderen graad van spontane meesleepende scheppingsgave komt de nationale geaardheid met meer nadrukkelijkheid tot_uiting , zoodat het voor den ‘	vreemdeling	’ een zekere moeite vergt , om doorheen het niet-eigene de werkelijke schoonheid te genieten . Het ligt niet in	vreemdeling
vreemdeling/N/GID_1938_96_pos/8642	berichten over de terechtstelling van Joodsche dieven zijn vrij talrijk . In het algemeen echter zijn er dus weinig ongewenschte	vreemdelingen	binnengekomen , behoudens enkelingen , die met den grooten hoop medekwamen . Er waren tot kort vóór het einde der	vreemdeling
