	id	left	target	right	file
0	herstel/verb/nrc_handelsblad_19990111_17/428	"maatregelen aan in het corruptieschandaal . 	 We zullen alles doen om de zuiverheid te"	herstellen	, tot het uitsluiten van leden aan toe . ' Samaranch kreeg bijval van zijn	nrc_handelsblad_19990111_17
1	herstel/verb/nrc_handelsblad_20031220_111/172	toezichthoudende Pensioen- en Verzekeringskamer . Die droeg fondsen op om zich in acht jaar te	herstellen	met een tekortkans van eens in de tweehonderd jaar . De Amsterdamse advocaat L. Lalji	nrc_handelsblad_20031220_111
2	herstel/verb/nrc_handelsblad_20040330_65/589	mede wegens Kohls veto mislukte kandidatuur voor het voorzitterschap van de Europese Commissie . Het	herstellen	van de bilaterale schade was in 1994 een van de eerste taken voor de nieuwe	nrc_handelsblad_20040330_65
3	herstel/verb/nrc_handelsblad_20010529_67/475	van een beslissing gisteravond een ` gouden gelegenheid heeft gemist om haar geschonden reputatie te	herstellen	". ' 	 Door nu een advies af te wachten en geen standpunt te bepalen"	nrc_handelsblad_20010529_67
4	herstel/verb/nrc_handelsblad_20010425_79/796	ik kon verwachten . En ook Ronaldo laat weleens wat van zich horen , al	herstelt	hij van een ander soort knieblessure . Ik ben al blij dat ik weer kan	nrc_handelsblad_20010425_79
5	herstel/verb/nrc_handelsblad_20010827_76/426	van Kosheen ( hapklare drum'n'bass ) en Slam . De ouderwetse pogodans werd in ere	hersteld	bij de aanstekelijke punkrock van de Iers/Amerikaanse Dropkick Murphys en het verbod op crowdsurfen werd	nrc_handelsblad_20010827_76
6	herstel/verb/nrc_handelsblad_20000203_142/839	Molukse familieleden in Nederland over verschillende wijken verspreid . Om de relatie tussen families te	herstellen	, werden in de loop van de jaren vijftig en zestig vele tientallen kumpulans ,	nrc_handelsblad_20000203_142
7	herstel/verb/nrc_handelsblad_20010616_120/423	beurzen weten dat de omzet in het tweede kwartaal beneden verwachting zal uitkomen . Toch	herstelde	de aandelenbeurs op het Damrak zich gistermiddag kort voor het einde	nrc_handelsblad_20010616_120
8	herstel/verb/nrc_handelsblad_20030510_97/373	dan hoeft de Amerikaanse rente niet verder omlaag . Amerikaanse verdiensten van de Nederlandse beursfondsen	herstellen	dan beter , en worden via een herstellende dollarkoers ook nog eens vertaald in meer	nrc_handelsblad_20030510_97
9	herstel/verb/nrc_handelsblad_20010702_8/353	landbouw worden vooral met de mond beleden en lijken meer bedoeld om het consumentenvertrouwen te	herstellen	na de zoveelste BSE- of MKZ-crisis , dan dat er daadwerkelijk iets gedaan wordt .	nrc_handelsblad_20010702_8
10	herstel/verb/nrc_handelsblad_19991203_164/511	met een nieuwe restauratie , waarbij de bladen uit de band werden gehaald en zodanig	hersteld	dat ze gefotografeerd en geëxposeerd konden worden . In april van dit jaar waren er	nrc_handelsblad_19991203_164
11	herstel/verb/nrc_handelsblad_20010426_81/301	"	 Ik ben voor mezelf tot de conclusie gekomen dat het vertrouwen alleen kan worden"	hersteld	door beleid , maatregelen en inzet . Met alles wat ik in me heb wil	nrc_handelsblad_20010426_81
12	herstel/verb/nrc_handelsblad_20001204_113/544	gevolg van een schimmelinfectie in de longen . Pas drie maanden geleden was Le Patron	hersteld	, zaterdag beleefde hij een fraaie comeback . Woensdag wist Tebbel pas dat hij bij	nrc_handelsblad_20001204_113
13	herstel/verb/nrc_handelsblad_19990702_94/797	nog voor hem open lag . Op een onverwachte manier is deze toestand met Internet	hersteld	. Opnieuw de verbeelding aan de macht	nrc_handelsblad_19990702_94
14	herstel/verb/nrc_handelsblad_20040301_108/204	gejaagd . Dat heeft twee jaar geduurd , plus nog een derde jaar om te	herstellen	en op te bouwen . Ik moest echt van heel ver komen . Pas nu	nrc_handelsblad_20040301_108
15	herstel/verb/nrc_handelsblad_20000914_166/177	"bij elkaar te krijgen . 	 De destijds gemaakte fouten ' moeten volgens Bisschop worden"	hersteld	". 	 Al in de tien geboden staat geschreven dat je Gods naam niet lasterlijk"	nrc_handelsblad_20000914_166
16	herstel/verb/nrc_handelsblad_19991224_66/1304	". 	 De enige grootscheepse poging om het machtsmonopolie van de soevereine staat weer te"	herstellen	, vond volgens Drucker plaats in Stalins Rusland . Die poging faalde hopeloos omdat geen	nrc_handelsblad_19991224_66
17	herstel/verb/nrc_handelsblad_20011002_120/73	training door zijn enkel ging , en NEC'er Patrick Ax , die nog niet voldoende	hersteld	bleek van een knieblessure . Ook NAC'er Kevin Bobson ( knie ) moest alsnog afzeggen	nrc_handelsblad_20011002_120
18	herstel/verb/nrc_handelsblad_19991203_137/727	toenemen en zullen orde en gezag verbeteren . Ook zal de rechtsorde geleidelijk aan worden	hersteld	: een eerste vereiste voor het beëindigen van het geweld . De toestand van vandaag	nrc_handelsblad_19991203_137
19	herstel/verb/nrc_handelsblad_20040301_103/247	een bedenkelijk niveau . Pas nadat in januari de samenwerking tussen Poltavets en Bos werd	hersteld	, trad verbetering op . Twee maanden later is Bos weer de oude en plaatste	nrc_handelsblad_20040301_103
20	herstel/verb/nrc_handelsblad_20020531_120/199	, heeft de afgelopen dagen zware arbeid verricht en moet hopen dat hij op tijd	hersteld	is voor de race tegen de klok . Savoldelli is een specialist in afdalingen en	nrc_handelsblad_20020531_120
21	herstel/verb/nrc_handelsblad_20030709_50/57	naar beneden gegaan , zoals de bank had voorspeld , maar had zich daarna geweldig	hersteld	. De aandelen op de Nieuwe Markt daarentegen waren volledig ingestort . De ombudsman vond	nrc_handelsblad_20030709_50
22	herstel/verb/nrc_handelsblad_20011203_96/978	". 	 De nieuwe trainer verklaarde dat hij de huisstijl van Ajax in ere zal"	herstellen	". Koeman : 	 Het is van mij bekend dat ik bij voorkeur met buitenspelers"	nrc_handelsblad_20011203_96
23	herstel/verb/nrc_handelsblad_20030823_106/97	. Je zit dus met een gedeprimeerde rat en je wilt weten hoe hij zich	herstelt	, hoe je hem zijn hopeloze optreden in de worsteltent kunt laten vergeten . Gezelschap	nrc_handelsblad_20030823_106
24	herstel/verb/nrc_handelsblad_19990717_63/731	Parijs halen . Aan zijn fysieke conditie zal het niet liggen . Na elke etappe	herstelt	hij wonderbaarlijk snel . Terwijl Lotz deel uitmaakte van de acht man sterke kopgroep ,	nrc_handelsblad_19990717_63
25	herstel/verb/nrc_handelsblad_20000117_16/1084	achtergrond . Zij wilde het echter per se doen om vertrouwen bij de kiezers te	herstellen	"	 . Marijnissen noemt het voorval kenmerkend voor zowel Adelmund als de PvdA . 	"	nrc_handelsblad_20000117_16
26	herstel/verb/nrc_handelsblad_19990105_72/2071	kunnen . ' Volgens Burton zal het twee jaar duren voor de olieprijs zich weer	herstelt	". Bij de OPEC-landen zijn volgens hem alle remmen los . 	 Ze gedragen zich"	nrc_handelsblad_19990105_72
27	herstel/verb/nrc_handelsblad_20000624_47/21	mentaal opzicht klaar voor de vechtersmentaliteit van Joegoslavië . Doelman Edwin van der Sar lijkt	hersteld	van zijn dijbeenblessure . Voor Ronald de Boer ( lies ) komt het duel te	nrc_handelsblad_20000624_47
28	herstel/verb/nrc_handelsblad_20030415_33/12	Inmiddels hebben de Amerikanen besloten te proberen de openbare orde te	herstellen	en aan het plunderen een einde te maken . Maar dan wel zonder dat zij	nrc_handelsblad_20030415_33
29	herstel/verb/nrc_handelsblad_20030920_234/170	"de publieke omroep wordt ook met ons geld gemaakt . 	 Om de balans te"	herstellen	heeft Slagter ruim een jaar geleden het initiatief tot de omroepvereniging Max genomen . Max	nrc_handelsblad_20030920_234
