	id	left	target	right	file
0	hoopvol/adj/nrc_handelsblad_20030620_101/351	verderop hangt een piepklein schilderijtje van de Argentijnse kunstenaar Rirkrit Tiravanija dat een al even	hoopvolle	"boodschap verkondigt . 	 Less oil more courage 	 , staat er in witte letters"	nrc_handelsblad_20030620_101
1	hoopvol/adj/nrc_handelsblad_20010616_151/151	gepionierd door samen met biologische boeren wetenschappelijk onderzoek te ontwerpen en te toetsen . Enkele	hoopvolle	voorbeelden uit deze gezamelijke aanpak : - Omdat het ideale model van het gemengde bedrijf	nrc_handelsblad_20010616_151
2	hoopvol/adj/nrc_handelsblad_20000928_109/11	` Nou gebeurt het ! ' , fluistert een kind	hoopvol	tegen een ander kind in het publiek . En dan gebeurt het níet . De	nrc_handelsblad_20000928_109
3	hoopvol/adj/nrc_handelsblad_19991231_49/197	dit boek , in de vertaling van E.Y. Kummer uit 1968 ? Het is geen	hoopvol	boek ; het heeft mij toen voorgoed genezen van het toch al wankele vertrouwen in	nrc_handelsblad_19991231_49
4	hoopvol/adj/nrc_handelsblad_20011108_40/55	"waaruit de herkomst van de brieven met de dodelijke bacterie blijkt . 	 Ik ben"	hoopvol	, evenals de rest van Amerika , dat de antrax ( aanval ) permanent is	nrc_handelsblad_20011108_40
5	hoopvol/adj/nrc_handelsblad_20020712_135/354	het publiek keek graag . Het zou dieptreurig , doodzonde en beschamend zijn als deze	hoopvolle	tendens nu in de modder vastliep . Wij vinden het volstrekt onacceptabel dat het Nederlandse	nrc_handelsblad_20020712_135
6	hoopvol/adj/nrc_handelsblad_20010808_88/988	hersteld : gisteren noteerde hij 9.350 roepia tegen de dollar . De markt toont zich	hoopvol	gestemd , maar wacht op het nieuwe kabinet . Morgen weet de wereld of Megawati	nrc_handelsblad_20010808_88
7	hoopvol/adj/nrc_handelsblad_20020329_68/159	"altijd demissionair is , dus dan kan ik erbij zijn 	 , zei Faber gisteren"	hoopvol	. In Zwolle tekende Faber een overeenkomst met de Stichting Otterstation Nederland . De overeenkomst	nrc_handelsblad_20020329_68
8	hoopvol/adj/nrc_handelsblad_19991105_91/99	. Ceteco heeft nu uitstel van betaling tot juli . Bewindvoerder W. Bekkers noemde het	hoopvol	dat alle crediteuren daarmee hebben ingestemd . Ceteco is bezig grote onderdelen af te stoten	nrc_handelsblad_19991105_91
9	hoopvol/adj/nrc_handelsblad_20020518_154/85	dag met een klein pensioen , door parttime werken en baanloze periodes . Ik ben	hoopvoller	gestemd . Zo erg zal het toch niet blijven ? Zoals in Japan kan toch	nrc_handelsblad_20020518_154
10	hoopvol/adj/nrc_handelsblad_20020125_151/773	de meeste continentale Europese naties . Dummett ziet zelfs , onder Tony Blair , een	hoopvol	einde gloren aan het ` dogma ' dat Britse regeringen dertig jaar lang heeft beheerst	nrc_handelsblad_20020125_151
11	hoopvol/adj/nrc_handelsblad_20020808_10/218	augustus in Washington D.C. Een toegangsbewijs voor de conventie , waar de afgelopen jaren duizenden	hoopvolle	dichters op af kwamen , kost 595 dollar . Ook Blakmoor werd hiervoor benaderd .	nrc_handelsblad_20020808_10
