model	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	c	10k	10	10	0.169258795507804	249
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	c	10k	5	5	0.18188037166545	249
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	c	5k	10	10	0.158441801281557	249
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	c	5k	5	5	0.174574115611368	249
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	s	10k	10	10	0.19235730662512	249
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	s	10k	5	5	0.199225330427497	249
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	s	5k	10	10	0.18464378430737	249
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	s	5k	5	5	0.196299360008446	249
nocomp.10_10_nvj_bound.noweight.2.c.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	2	c	10k	10	10	0.1695019041659	249
nocomp.10_10_nvj_bound.noweight.2.c.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	2	c	10k	5	5	0.18122804015115	249
nocomp.10_10_nvj_bound.noweight.2.c.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	2	c	5k	10	10	0.158421919716588	249
nocomp.10_10_nvj_bound.noweight.2.c.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	2	c	5k	5	5	0.174570237037155	249
nocomp.10_10_nvj_bound.noweight.2.s.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	2	s	10k	10	10	0.192342279721317	249
nocomp.10_10_nvj_bound.noweight.2.s.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	2	s	10k	5	5	0.199225330427497	249
nocomp.10_10_nvj_bound.noweight.2.s.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	2	s	5k	10	10	0.184659158098884	249
nocomp.10_10_nvj_bound.noweight.2.s.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	2	s	5k	5	5	0.196225787171998	249
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	c	10k	10	10	0.16938000771158	249
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	c	10k	5	5	0.181301221196699	249
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	c	5k	10	10	0.158384336049412	249
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	c	5k	5	5	0.174569426682332	249
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	s	10k	10	10	0.19230494010404	249
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	s	10k	5	5	0.199225330427497	249
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	s	5k	10	10	0.184725412249151	249
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	s	5k	5	5	0.196017276932997	249
nocomp.10_10_nvj_nobound.noweight.2.c.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	2	c	10k	10	10	0.169393332047854	249
nocomp.10_10_nvj_nobound.noweight.2.c.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	2	c	10k	5	5	0.181302530555401	249
nocomp.10_10_nvj_nobound.noweight.2.c.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	2	c	5k	10	10	0.158388589140182	249
nocomp.10_10_nvj_nobound.noweight.2.c.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	2	c	5k	5	5	0.174568741594255	249
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	2	s	10k	10	10	0.192264781767929	249
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	2	s	10k	5	5	0.199225330427497	249
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	2	s	5k	10	10	0.184650625679296	249
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	2	s	5k	5	5	0.196018059308372	249
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	c	10k	10	10	0.173899005329669	245
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	c	10k	5	5	0.177371702790882	245
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	c	5k	10	10	0.167329930714463	245
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	c	5k	5	5	0.173004216977063	245
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	s	10k	10	10	0.186573772286815	245
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	s	10k	5	5	0.176172759145045	245
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	s	5k	10	10	0.19153438095548	245
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	s	5k	5	5	0.183814416017982	245
nocomp.3_3_nvjid_bound.noweight.2.c.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	2	c	10k	10	10	0.181479706951777	227
nocomp.3_3_nvjid_bound.noweight.2.c.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	2	c	10k	5	5	0.184842411807988	227
nocomp.3_3_nvjid_bound.noweight.2.c.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	2	c	5k	10	10	0.176098501396129	227
nocomp.3_3_nvjid_bound.noweight.2.c.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	2	c	5k	5	5	0.183571359599476	227
nocomp.3_3_nvjid_bound.noweight.2.s.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	2	s	10k	10	10	0.185405529008502	227
nocomp.3_3_nvjid_bound.noweight.2.s.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	2	s	10k	5	5	0.176634775532461	227
nocomp.3_3_nvjid_bound.noweight.2.s.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	2	s	5k	10	10	0.189987747821962	227
nocomp.3_3_nvjid_bound.noweight.2.s.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	2	s	5k	5	5	0.182991400419377	227
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	10	10	0.173869128863859	245
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	5	5	0.177309854457298	245
