filename	type	socc	subset	tokens	threshold	stress
COHA.church.socc10k.min0	church	10k	NA	290	0	0.235842129506526
COHA.church.socc10k.min1	church	10k	NA	290	1	0.239720264382553
COHA.church.socc10k.min2	church	10k	NA	264	2	0.2425125748934
COHA.church.socc10k.min2_5	church	10k	NA	232	2.5	0.252962254740677
COHA.church.socc10k.nona.min0	church	10k	nona.	157	0	0.223973689933691
COHA.church.socc10k.nona.min1	church	10k	nona.	157	1	0.229894236463409
COHA.church.socc6k.min0	church	6k	NA	290	0	0.26106219137958
COHA.church.socc6k.min1	church	6k	NA	290	1	0.269368805999961
COHA.church.socc6k.min2	church	6k	NA	264	2	0.286197855353135
COHA.church.socc6k.min2_5	church	6k	NA	232	2.5	0.292290526078608
COHA.church.socc6k.nona.min0	church	6k	nona.	157	0	0.25200361929138
COHA.church.socc6k.nona.min1	church	6k	nona.	157	1	0.26570539539888
COHA.country.socc10k.min0	country	10k	NA	341	0	0.231346461693827
COHA.country.socc10k.min1	country	10k	NA	337	1	0.240677329814176
COHA.country.socc10k.min2	country	10k	NA	292	2	0.239435246968743
COHA.country.socc10k.min2_5	country	10k	NA	198	2.5	0.234709135396861
COHA.country.socc10k.nona.min0	country	10k	nona.	123	0	0.218374842089049
COHA.country.socc10k.nona.min1	country	10k	nona.	121	1	0.220626683830261
COHA.country.socc6k.min0	country	6k	NA	341	0	0.271923970183457
COHA.country.socc6k.min1	country	6k	NA	337	1	0.276059690017406
COHA.country.socc6k.min2	country	6k	NA	292	2	0.303565938551602
COHA.country.socc6k.min2_5	country	6k	NA	198	2.5	0.328350982051393
COHA.country.socc6k.nona.min0	country	6k	nona.	123	0	0.252060190708717
COHA.country.socc6k.nona.min1	country	6k	nona.	121	1	0.262139704357734
COHA.country_church.sample.socc10k.min0	country_church.sample	10k	NA	498	0	0.239440498296097
COHA.country_church.sample.socc10k.min1	country_church.sample	10k	NA	499	1	0.240786810696825
COHA.country_church.sample.socc10k.min2	country_church.sample	10k	NA	498	2	0.245337602858015
COHA.country_church.sample.socc6k.min0	country_church.sample	6k	NA	498	0	0.267470207055303
COHA.country_church.sample.socc6k.min1	country_church.sample	6k	NA	500	1	0.273100253985128
COHA.country_church.sample.socc6k.min2	country_church.sample	6k	NA	498	2	0.298845829693179
COHA.country_church.socc10k.min2_5	country_church	10k	NA	430	2.5	0.252959366597527
COHA.country_church.socc10k.nona.min0	country_church	10k	nona.	280	0	0.2306409671319
COHA.country_church.socc10k.nona.min1	country_church	10k	nona.	278	1	0.238131593820915
COHA.country_church.socc6k.min2_5	country_church	6k	NA	430	2.5	0.317801761764713
COHA.country_church.socc6k.nona.min0	country_church	6k	nona.	280	0	0.254462301391212
COHA.country_church.socc6k.nona.min1	country_church	6k	nona.	278	1	0.265252993318438
COHA.sample.socc10k.min0	sample	10k	NA	493	0	0.226579579924314
COHA.sample.socc10k.min1	sample	10k	NA	497	1	0.228396852087325
COHA.sample.socc10k.min2	sample	10k	NA	496	2	0.238890071838599
COHA.sample.socc10k.min2_5	sample	10k	NA	495	2.5	0.256926838201433
COHA.sample.socc10k.nona.min0	sample	10k	nona.	496	0	0.211601872725136
COHA.sample.socc10k.nona.min1	sample	10k	nona.	496	1	0.220967455972455
COHA.sample.socc6k.min0	sample	6k	NA	497	0	0.274420342555155
COHA.sample.socc6k.min1	sample	6k	NA	498	1	0.275983834322391
COHA.sample.socc6k.min2	sample	6k	NA	496	2	0.304443659719706
COHA.sample.socc6k.min2_5	sample	6k	NA	495	2.5	0.30541398991356
COHA.sample.socc6k.nona.min0	sample	6k	nona.	497	0	0.261017057860193
COHA.sample.socc6k.nona.min1	sample	6k	nona.	496	1	0.265716725280941
COHA.state.sample.socc10k.min0	state.sample	10k	NA	498	0	0.235958986489779
COHA.state.sample.socc10k.min1	state.sample	10k	NA	492	1	0.226973838979508
COHA.state.sample.socc6k.min0	state.sample	6k	NA	498	0	0.274721036871833
COHA.state.sample.socc6k.min1	state.sample	6k	NA	495	1	0.282211266795212
COHA.state.socc10k.min2	state	10k	NA	477	2	0.24442769539472
COHA.state.socc10k.min2_5	state	10k	NA	299	2.5	0.234180708219311
COHA.state.socc10k.nona.min0	state	10k	nona.	353	0	0.209150875209985
COHA.state.socc10k.nona.min1	state	10k	nona.	336	1	0.206416644150953
COHA.state.socc6k.min2	state	6k	NA	477	2	0.294864932501337
COHA.state.socc6k.min2_5	state	6k	NA	299	2.5	0.282558215885413
COHA.state.socc6k.nona.min0	state	6k	nona.	353	0	0.253848881913878
COHA.state.socc6k.nona.min1	state	6k	nona.	336	1	0.261808195196556
COHA.state_church.sample.socc10k.min0	state_church.sample	10k	NA	496	0	0.226352265920667
COHA.state_church.sample.socc10k.min1	state_church.sample	10k	NA	493	1	0.231746562329878
COHA.state_church.sample.socc10k.min2	state_church.sample	10k	NA	495	2	0.252124220809447
COHA.state_church.sample.socc10k.min2_5	state_church.sample	10k	NA	492	2.5	0.249894638288591
COHA.state_church.sample.socc10k.nona.min0	state_church.sample	10k	nona.	496	0	0.218168754640047
COHA.state_church.sample.socc6k.min0	state_church.sample	6k	NA	497	0	0.273150470351533
COHA.state_church.sample.socc6k.min1	state_church.sample	6k	NA	496	1	0.280912465860082
COHA.state_church.sample.socc6k.min2	state_church.sample	6k	NA	493	2	0.291351127978871
COHA.state_church.sample.socc6k.min2_5	state_church.sample	6k	NA	492	2.5	0.283637963383277
COHA.state_church.sample.socc6k.nona.min0	state_church.sample	6k	nona.	496	0	0.257946664583622
COHA.state_church.socc10k.nona.min1	state_church	10k	nona.	493	1	0.210910773455553
COHA.state_church.socc6k.nona.min1	state_church	6k	nona.	493	1	0.263892130433148
COHA.state_country.sample.socc10k.min0	state_country.sample	10k	NA	496	0	0.236490317642938
COHA.state_country.sample.socc10k.min1	state_country.sample	10k	NA	494	1	0.225893530106426
COHA.state_country.sample.socc10k.min2	state_country.sample	10k	NA	492	2	0.245458147622253
COHA.state_country.sample.socc10k.min2_5	state_country.sample	10k	NA	493	2.5	0.25013924873159
COHA.state_country.sample.socc6k.min0	state_country.sample	6k	NA	497	0	0.269782221018547
COHA.state_country.sample.socc6k.min1	state_country.sample	6k	NA	500	1	0.280099259969379
COHA.state_country.sample.socc6k.min2	state_country.sample	6k	NA	495	2	0.304404902755267
COHA.state_country.sample.socc6k.min2_5	state_country.sample	6k	NA	493	2.5	0.309743462830042
COHA.state_country.socc10k.nona.min0	state_country	10k	nona.	476	0	0.213608848886348
COHA.state_country.socc10k.nona.min1	state_country	10k	nona.	457	1	0.210922631676522
COHA.state_country.socc6k.nona.min0	state_country	6k	nona.	476	0	0.257364531061351
COHA.state_country.socc6k.nona.min1	state_country	6k	nona.	457	1	0.264772584071588
