id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre	wordform	msOct	mcuesOct	mcommOct	determiner	premodifier	postmodifier	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization	msOct4
church/NN/br-a01/2073	-0.155677757625385	-0.216261858087858	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	2.29875384298412	0	3	press_reportage	press	church	c3	being at		none	NA	NA	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-a07/1303	0.0321301725743981	-0.0913342958503422	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	2.569645393721	0.333333333333333	4	press_reportage	press	church	a2	leaders		NA	NA	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1325	0.225444803568595	-0.0109890716036557	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	2	2.39560648483933	0.5	2	press_reportage	press	church	a1	Peace Corps;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1487	0.211834479810596	-0.162393460624136	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	1	2.39846976306005	0.25	3	press_reportage	press	church	a1	constitutional requirement;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a10/1754	0.206496205183119	-0.0362987184247619	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	2.24918894878551	1	2	press_reportage	press	church	d	vital contact with the;Americans		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	no	d
church/NN/br-a10/1769	0.106867750770423	0.0294165195389237	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	1	2.39598553113232	0.333333333333333	3	press_reportage	press	church	d	touch with the;religious life	opposition to religious life	the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	no	d
church/NN/br-a10/1940	0.288717077877441	-0.00841285284673618	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	2.5788701050302	0	2	press_reportage	press	church	a2	changes in methods;her methods		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a16/453	-0.174987096217411	0.00809538181114136	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	2.66853777552605	0.5	3	press_reportage	press	church	c1	noon;tomorrow;in St. Bernadine’s;Forest Park;reception		none	St. Bernadine’s	NA	yes	no	D	singular	no	no	no	no	yes	no	no	no	no	c
church/NN/br-a17/1636	-0.16658344278126	-0.0339030464767632	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	2.5481958954878	0.75	3	press_reportage	press	Church	c1	married;Saturday;at the Munger Place;Methodist		the	Munger Place Methodist	NA	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no	c
church/NN/br-a17/1770	-0.194674889425504	-0.098220885509829	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	2.34208115819546	0	3	press_reportage	press	Church	c1	chapel of the;First Presbyterian;of Houston;bride		the	First Presbyterian	NA	yes	yes	D	singular	yes	no	no	no	no	yes	no	no	no	c
church/NN/br-a17/2228	-0.0483710381179393	0.0264525993193061	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	3.25986261166042	0.4	5	press_reportage	press	church	c1	reception;held at the		the	NA	NA	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-a17/2233	-0.0517192549586165	0.0403008171677156	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	1	3.19717904654003	0.25	4	press_reportage	press	Church	c1	held;The First Christian;of Pampa;setting;wedding;Sunday		the	First Christian	of Pampa	yes	yes	D	singular	yes	yes	no	no	no	yes	no	no	no	c
church/NN/br-a21/677	-0.058162596659412	0.12991463933296	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	4	1	3.09181756714658	0.25	3	press_reportage	press	Church	c1	10 a.m.;in St. Anne’s Catholic;Mound		none	St. Anne’s Catholic	NA	yes	no	D	singular	yes	no	no	no	yes	yes	no	no	no	c
church/NN/br-a22/1206	-0.374759278612822	0.246548710415297	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 World War 1,. He was a member of the Baptist <font color=green>church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John	2	0	2.95575187998929	0	1	press_reportage	press	church	a2	member of the;Baptist		the	Baptist	NA	no	yes	B	singular	no	no	no	no	no	yes	no	NA	yes	a
church/NN/br-a22/1283	-0.253813676384881	0.0341138124842566	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	2	0	2.72430970162398	0	3	press_reportage	press	Church	c2	member of the;Oakland City;Methodist		the	Oakland City Methodist	NA	yes	yes	C	singular	yes	no	no	yes	no	yes	yes	no	no	c
church/NN/br-a22/307	-0.0176957724305438	0.0325573462461822	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	4	1	2.96487488590881	0.25	2	press_reportage	press	Church	a2	affiliated with the;Methodist		the	Methodist	NA	no	yes	B	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-a22/310	-0.00934642976242376	0.0285574159803045	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	1	2.89369637906625	0.2	3	press_reportage	press	church	a2	leaders;clerical;lay		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a31/1395	-0.280835486453914	0.0109460994440227	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 from 4 to 8 p. m. Sunday at First Presbyterian <font color=green>Church</font> . At that time the second half of the Christian Youth	5	0	2.97029003843532	0	1	press_reportage	press	Church	c1	4 to 8 p.m.;Sunday;at First Presbyterian		none	First Presbyterian	NA	yes	no	D	singular	yes	no	no	no	no	yes	no	no	no	c
