id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
country/NN/br-b20/2202	-0.00790057530475747	-0.0410997241116114	country	NN	B2	B	B23	B	country%1:14:00::	B2	B	BB2	B	 more serious should the cold war mount in frenzy. The <font color=green>country</font>  is committed to the doctrine of security by military means	5	2	1.64796691068195	0.4	7	press_editorial	press
country/NN/br-b20/308	-0.0119097006403534	-0.0678437543123718	country	NN	B4	B	B14	B	country%1:15:00::	B1	B	B1	B	 that of diplomatic policy''. Morrison points out that since our <font color=green>country</font>  is more urbanized than the Soviet Union or Red China	5	3	2.03538009573162	0.6	6	press_editorial	press
country/NN/br-c01/2379	-0.0276882899872786	0.0118223923585315	country	NN	B	B	B14	B	country%1:14:00::	B2	B	BB2	B	 in this last of the Russian films to reach this <font color=green>country</font>  in the program of joint cultural exchange. Also on the	4	3	1.93188991989019	0.75	6	press_reviews	press
country/NN/br-c01/621	0.22719064702643	-0.398460551757083	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 extraordinary, considers the finest house of its kind in the <font color=green>country</font> - and of course he does n't weep at the capacity	3	0	2.5133801027551	0	2	press_reviews	press
country/NN/br-c01/944	0.327476725508416	0.0974040861930388	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 bookers, cancellation of one of the richest bookings in the <font color=green>country</font> . Will somebody please reopen the Auditorium? Paintings and drawings by	2	0	2.09658491372532	0	4	press_reviews	press
country/NN/br-c02/2222	0.019409181105456	-0.201642240982671	country	NN	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 storylines too. He intimated that they were n't doing the <font color=green>country</font>  much good in the Cold War. And to an industry	2	0	2.21460407281564	0	2	press_reviews	press
country/NN/br-c02/2265	0.131609013671001	0.150091946504148	country	NN	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 globe'', he said,`` the major source of impressions about this <font color=green>country</font>  are in the movies they meet. Would we want a	1	0	1.73422745304094	0	3	press_reviews	press
country/NN/br-d03/1224	-0.0160695919405218	0.0723627608854418	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 seems no longer very meaningful to call England a`` Protestant <font color=green>country</font> ''. One of the ironies of the present crusade for Christian	2	2	1.89790226563564	1	4	religion	non-fiction
country/NN/br-d03/1509	0.105409533203806	-0.000638743251383458	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 Faith of our Fathers: Mary 's prayers/ Shall win our <font color=green>country</font>  back to thee''. The English saints are widely venerated, quite	3	1	1.6907780929904	0.333333333333333	5	religion	non-fiction
country/NN/br-d03/249	0.020843420788289	0.141674422891365	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 century literature of England, I knew only a Protestant dominated <font color=green>country</font> . Since arriving here, however, I have formed a far different	3	3	1.9787893278686	1	3	religion	non-fiction
country/NN/br-e28/1281	-0.0813560496196248	0.072853905686382	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 some benefit they can share? In one company covering the <font color=green>country</font>  with a high quality sales force of 10 men, the	2	0	1.7234782712975	0	3	skill_and_hobbies	non-fiction
country/NN/br-e29/1920	0.00898108860157777	0.314330845356067	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 a candidate. Since there are almost no schools in the <font color=green>country</font>  offering graduate work in interior design this rule cannot at	2	0	1.52515864928076	0	2	skill_and_hobbies	non-fiction
country/NN/br-e30/1177	-0.116977690351151	0.0763917492079177	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 What 's your profit margin? In what section of the <font color=green>country</font>  are you located? Are you in a rural or urban	4	1	1.97953637872164	0.25	3	skill_and_hobbies	non-fiction
country/NN/br-e31/1795	0.252609078856702	-0.128513104188112	country	NN	B4	B	B14	B	country%1:15:00::;1:14:00::	B1	B	B1	B	 and( 6) more education. The more people learn about their <font color=green>country</font> , the more they want to learn. Camping is family fun	3	2	1.64204139828729	0.666666666666667	3	skill_and_hobbies	non-fiction
country/NN/br-e31/1819	0.112494519849347	-0.0786146610008678	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 and it is helping more Americans see more of the <font color=green>country</font>  than they ever saw before. But make no mistake about	2	1	1.76374900193964	0.5	3	skill_and_hobbies	non-fiction
country/NN/br-f03/2248	0.155800436088816	0.036342804233171	country	NN	A	A	A	A	country%1:15:01::	A	A	A	A	 the convention, Depew was seated on the porch of a <font color=green>country</font>  home on the Hudson, gazing at the opposite shore.	4	4	1.85511695588716	1	7	popular_lore	fiction
