id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
church/NN/br-a01/2073	-0.27189705669183	-0.243853322369515	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	2.63262305854176	0	1	press_reportage	press
church/NN/br-a07/1303	0.240982048599841	-0.194385921635874	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	0	2.92529267250458	0	1	press_reportage	press
church/NN/br-a07/1325	0.0950705495222046	0.175362067499361	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	1	2.5788701050302	0.25	1	press_reportage	press
church/NN/br-a07/1487	0.369528450910212	-0.160879855407305	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	0	2.63262305854176	0	1	press_reportage	press
church/NN/br-a10/1769	-0.190750903752108	-0.28077468106038	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	0	2.80307503978033	0	1	press_reportage	press
church/NN/br-a10/1940	0.0950705495222046	0.175362067499361	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	2.5788701050302	0	2	press_reportage	press
church/NN/br-a16/453	-0.22681092103471	-0.0573961876914794	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	2.89785922178416	0.5	2	press_reportage	press
church/NN/br-a17/1636	-0.176061399331249	-0.100094066839251	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	2	2.65075531690574	0.5	2	press_reportage	press
church/NN/br-a17/1770	-0.33210142130943	-0.129211894758985	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	2.75977823402701	0	1	press_reportage	press
church/NN/br-a17/2228	-0.088768644903428	-0.00700831982211217	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	3.25986261166042	0.4	5	press_reportage	press
church/NN/br-a17/2233	-0.099353826765149	0.0126535980890084	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	0	3.47051497405507	0	3	press_reportage	press
church/NN/br-a21/677	-0.148409475640632	0.125067934517182	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	4	0	3.53277890921495	0	2	press_reportage	press
church/NN/br-a22/1206	-0.385546798233344	-0.164729367257334	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 World War 1,. He was a member of the Baptist <font color=green>church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John	2	0	2.95575187998929	0	1	press_reportage	press
church/NN/br-a22/1283	-0.284138231624772	-0.102546042772441	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	2	0	3.08196358212076	0	2	press_reportage	press
church/NN/br-a22/307	-0.121825998918443	0.0301605111754022	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	4	0	3.46314696865849	0	1	press_reportage	press
church/NN/br-a22/310	-0.0973081320994254	0.029107140612512	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	0	3.10724316701982	0	2	press_reportage	press
church/NN/br-a31/1395	-0.249274416081532	-0.0988256221483921	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 from 4 to 8 p. m. Sunday at First Presbyterian <font color=green>Church</font> . At that time the second half of the Christian Youth	5	0	2.97029003843532	0	1	press_reportage	press
church/NN/br-a31/1842	-0.260678015677129	0.237424417406297	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	3	0	3.94694392003656	0	1	press_reportage	press
church/NN/br-a31/2087	-0.249274416081532	-0.0988256221483921	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=green>Church</font> . Mr. and Mrs. George Treadwell will be honored at a	3	0	2.97029003843532	0	1	press_reportage	press
church/NN/br-a31/2112	-0.113610430862139	-0.000357899258334872	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	3	0	3.21671850354691	0	2	press_reportage	press
church/NN/br-a31/2120	-0.084645807138841	0.029812026872316	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	4	0	3.52118305428487	0	2	press_reportage	press
church/NN/br-a31/2212	-0.385552317607442	0.072204744165793	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 participate. To start the week of special programs at the <font color=green>church</font> , the Rev. John D. Henderson will preach on`` A Successful	4	1	2.86702376438061	0.25	1	press_reportage	press
church/NN/br-a31/2280	-0.143022318812491	-0.0750544894172984	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 held at 6: 15 p. m. Monday and the annual <font color=green>church</font>  picnic at 4 p. m. next Saturday. The week will	3	2	2.82807374233884	0.666666666666667	4	press_reportage	press
church/NN/br-b08/1866	-0.105231865589783	0.0355125842448304	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector	2	0	3.47527927965831	0	2	press_editorial	press
church/NN/br-b08/1871	-0.105231865589783	0.0355125842448304	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 a decade of service to this majestic church.`` Such a <font color=green>church</font>  needs vigor and vitality in its rector and one man	4	1	3.47527927965831	0.25	2	press_editorial	press
church/NN/br-b12/2009	-0.110374647660473	-0.231482797803592	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 new version retains, however, the old phrase`` angel of the <font color=green>church</font> '' which Biblical scholars have previously interpreted as meaning bishop. This	4	2	2.59640315414351	0.5	2	press_editorial	press
church/NN/br-b12/2115	-0.238033113919103	0.107075354429984	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible	5	0	2.8800524959404	0	2	press_editorial	press
church/NN/br-b12/2217	-0.0758030407584492	0.01048298630299	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 of a joint committee made up of representatives of the <font color=green>Church</font>  of England, Church of Scotland, Methodist Church, Congregational Union, Baptist	6	1	3.20279289999902	0.166666666666667	2	press_editorial	press
church/NN/br-b12/2226	-0.0676822660120062	0.0193836340250415	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 representatives of the Church of England, Church of Scotland, Methodist <font color=green>Church</font> , Congregational Union, Baptist Union, Presbyterian Church of England, Churches in	7	2	3.35722592839927	0.285714285714286	4	press_editorial	press
church/NN/br-b12/2235	-0.0507912453204675	0.0203901699855274	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 Church of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian <font color=green>Church</font>  of England, Churches in Wales, Churches in Ireland, Society of	9	3	2.99578428404628	0.333333333333333	5	press_editorial	press
church/NN/br-b15/1190	-0.338166165271769	0.0315528297702412	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 El; Rev. DeWitt Clemens, pastor of the Mathewson Street Methodist <font color=green>Church</font> ; Mr. Felix Miranda, of the Imperial Knife Co.; and to	2	1	3.31833526061419	0.5	1	press_editorial	press
church/NN/br-d01/1628	-0.110987294705395	-0.324710894458593	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	3	1	2.83714093027039	0.333333333333333	2	religion	non-fiction
church/NN/br-d02/1641	0.0184695413440022	0.382741687077449	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	2	0	3.65926184758478	0	1	religion	non-fiction
church/NN/br-d02/706	-0.132549948101299	0.236411567163085	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	4	1	2.93197040002816	0.25	2	religion	non-fiction
church/NN/br-d02/786	-0.295131564743281	0.046670948075548	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	3	0	2.96611466702484	0	2	religion	non-fiction
church/NN/br-d02/877	-0.315367725303501	0.0922264863784519	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	4	1	2.71827850312026	0.25	1	religion	non-fiction
church/NN/br-d02/923	0.234841610820696	0.356416597363842	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	3	0	3.13601370382024	0	1	religion	non-fiction
church/NN/br-d02/949	0.108704739834267	0.450790733737745	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	2	0	2.98716807622267	0	1	religion	non-fiction
church/NN/br-d02/969	-0.236004676876438	0.279176825779003	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	4	1	2.75133936538115	0.25	1	religion	non-fiction
church/NN/br-d03/1080	-0.0622179664670115	0.262507150446547	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	2	1	2.51982756439642	0.5	1	religion	non-fiction
church/NN/br-d03/1342	-0.092287271467003	0.0489405605515136	church	NN	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	5	1	3.40197754256237	0.2	2	religion	non-fiction
church/NN/br-d03/1350	-0.0503534448630508	0.028387600740234	church	NN	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	5	3	3.11937550744955	0.6	5	religion	non-fiction
church/NN/br-d03/1871	-0.0534272827840578	0.0630341264885548	church	NN	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	2	2	3.30850675750524	1	5	religion	non-fiction
church/NN/br-d03/1909	-0.0722134921128745	0.0256448618886388	church	NN	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	6	2	3.06249172106459	0.333333333333333	3	religion	non-fiction
church/NN/br-d03/2097	-0.117873137807547	0.0473475091387167	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice	4	0	2.94243883133955	0	1	religion	non-fiction
church/NN/br-d03/2336	-0.0576230845680538	0.0498090700788692	church	NN	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	2	0	3.36994872248674	0	4	religion	non-fiction
church/NN/br-d03/2341	-0.0576230845680538	0.0498090700788692	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	2	1	3.36994872248674	0.5	4	religion	non-fiction
church/NN/br-d03/721	-0.246157678385309	-0.0172103166887933	church	NN	B	B	AB	AB	church%1:06:00::	D	D	DE	CDE	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as	1	0	3.10841486998202	0	2	religion	non-fiction
