id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
church/NN/br-a07/1303	-0.0153076375577982	0.0296438143388965	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	2.569645393721	0.333333333333333	4	press_reportage	press
church/NN/br-a10/1754	0.0131740027664986	-0.0567544739951827	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	2.24918894878551	1	2	press_reportage	press
church/NN/br-a10/1769	-0.00437894009396485	-0.00196980165857156	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	1	2.39598553113232	0.333333333333333	3	press_reportage	press
church/NN/br-a10/1940	-0.0317618243582836	-0.109278825343304	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	2.5788701050302	0	2	press_reportage	press
church/NN/br-a17/1636	0.11912147678332	0.0612568935748785	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	2.5481958954878	0.75	3	press_reportage	press
church/NN/br-a17/2228	0.0802514826239878	0.0453421618002356	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	3.25986261166042	0.4	5	press_reportage	press
church/NN/br-a17/2233	0.0823792430860302	0.0475774216364718	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	1	3.19717904654003	0.25	4	press_reportage	press
church/NN/br-a22/1283	0.109028722300293	0.0851183750870002	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	2	0	2.72430970162398	0	3	press_reportage	press
church/NN/br-a22/310	0.00816547306656462	0.0307142169834264	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	1	2.89369637906625	0.2	3	press_reportage	press
church/NN/br-a31/1842	0.0146476972561153	0.212195917545893	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	3	0	3.20740587275114	0	2	press_reportage	press
church/NN/br-a31/2172	0.179456697550752	0.0732835499864888	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 service marking National Family Week. Every family of Riviera Presbyterian <font color=green>Church</font>  has been asked to read the Bible and pray together	6	2	2.22692286301387	0.333333333333333	2	press_reportage	press
church/NN/br-b08/1912	-0.0161011382528302	-0.0243874691974371	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 stay`` beyond the time that his leadership should benefit'' his <font color=green>church</font> , he wrote,`` for he becomes ordinary''. And so the young	2	1	2.1332700492533	0.5	3	press_editorial	press
church/NN/br-b08/2245	-0.0405004797949796	0.156804977434036	church	NN	E	E	DE	CDE	Z	Z	Z	Z	Z	 them to bestow saintliness upon us in return for ostentatious <font color=green>church</font>  attendance and a few bucks a week, American cash. If	1	0	2.35431312591885	0	1	press_editorial	press
church/NN/br-b12/2115	0.13214585422268	-0.0162395056340059	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible	5	0	2.8800524959404	0	2	press_editorial	press
church/NN/br-b12/2226	0.0665409562441326	0.055014957338153	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 representatives of the Church of England, Church of Scotland, Methodist <font color=green>Church</font> , Congregational Union, Baptist Union, Presbyterian Church of England, Churches in	7	2	3.35722592839927	0.285714285714286	4	press_editorial	press
church/NN/br-d01/1628	0.0741149972113989	0.226680437199698	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	3	1	2.83714093027039	0.333333333333333	2	religion	non-fiction
church/NN/br-d02/1641	-0.00890681369168376	-0.0742543814180414	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	2	1	2.83709208603536	0.5	3	religion	non-fiction
church/NN/br-d02/706	0.0755751636334301	-0.0425623676561745	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	4	2	2.59583043756589	0.5	4	religion	non-fiction
church/NN/br-d02/877	0.0644784996154204	-0.0204162610648242	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	4	3	2.56413187014748	0.75	3	religion	non-fiction
church/NN/br-d03/1342	0.105043005578602	0.0452776251680329	church	NN	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	5	2	2.95195484225548	0.4	3	religion	non-fiction
church/NN/br-d03/1871	0.0173488542625037	-0.00185893106812309	church	NN	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	2	2	3.09803328542137	1	6	religion	non-fiction
church/NN/br-d03/1909	0.0386837335386249	0.011635225356165	church	NN	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	6	2	2.85615829924049	0.333333333333333	4	religion	non-fiction
church/NN/br-d03/2336	0.031328260463029	0.0111531132021699	church	NN	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	2	1	2.99059766646577	0.5	6	religion	non-fiction
