id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
state/JJ/br-d12/2233	-0.0746582984425033	0.132931017177678	state	JJ	Z	Z	Z	Z	Z	Z	Z	Z	Z	 the narrow sense of skillfulness in meeting a client 's <font color=green>stated</font>  needs as already noted? Our faculty and students pressed this	1	0	3.62481113419976	0	4	religion	non-fiction
state/JJ/br-e21/1143	-0.0163903554694408	-0.0681035983052917	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 which the area is blessed. Just as the national and <font color=green>state</font>  parks place emphasis on features which are of national or	3	1	4.1892029127673	0.333333333333333	3	skill_and_hobbies	non-fiction
state/JJ/br-e21/1154	-0.0286728317802873	-0.000812366187087838	state	JJ	A3	A	AB	ABC	state%5:00:01:public:00	A2	A	AB	ABC	 parks place emphasis on features which are of national or <font color=green>state</font>  significance, counties should seek out these features which are distinctive	3	2	3.91173688847231	0.666666666666667	6	skill_and_hobbies	non-fiction
state/JJ/br-e31/1555	-0.12927508277301	0.00428550867557159	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 to make their cooking easy and their sleeping comfortable. Harassed <font color=green>state</font>  park officials often have more campers than they know what	2	2	3.83496979982777	1	5	skill_and_hobbies	non-fiction
state/JJ/br-e31/651	-0.0255248237892304	0.0434828900312	state	JJ	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 the shooting development program have proudly participated in over 53 <font color=green>state</font>  and regional workshops, at which hundreds of school administrators, teachers	3	2	3.46611435937353	0.666666666666667	4	skill_and_hobbies	non-fiction
state/JJ/br-g17/2159	-0.0652136778928184	-0.0981526221059233	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 is involved. How did it happen, for example, that the <font color=green>state</font>  university, that great symbol of American democracy, failed to flourish	3	2	3.94294718290988	0.666666666666667	3	belles_lettres	fiction
state/JJ/br-g17/2327	0.0597563508949979	0.0872318805297659	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 been the very last of the forty-eight to establish a <font color=green>state</font>  university? The state universities of Maine, New Hampshire, And Vermont	4	1	4.7922511801185	0.25	3	belles_lettres	fiction
state/JJ/br-g17/2331	0.0436722396510531	0.0437255441228089	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 last of the forty-eight to establish a state university? The <font color=green>state</font>  universities of Maine, New Hampshire, And Vermont are older and	4	2	4.60830081089113	0.5	4	belles_lettres	fiction
state/JJ/br-g23/486	-0.119675350422974	-0.0323747666360104	state	JJ	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 The writer took a class of college students to the <font color=green>state</font>  hospital for the mentally ill in St. Joseph, Missouri. An	2	1	3.91646324673885	0.5	5	belles_lettres	fiction
state/JJ/br-h11/1931	-0.0296404854971444	0.0344689534583117	state	JJ	D	D	D	D	solid-state%5:00:02:solid:01	D2	D	D	D	 addition to the basic programs in wavelength standards, spectroscopy, solid <font color=green>state</font>  physics, interactions of the free electron and atomic constants which	3	2	3.77584296122678	0.666666666666667	6	miscellaneous	non-fiction
