id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
country/NN/br-b20/2202	-0.0394571761791356	0.0126915474219354	country	NN	B2	B	B23	B	country%1:14:00::	B2	B	BB2	B	 more serious should the cold war mount in frenzy. The <font color=green>country</font>  is committed to the doctrine of security by military means	5	2	1.64796691068195	0.4	7	press_editorial	press
country/NN/br-b20/308	-0.0567156840144972	-0.00901200182951663	country	NN	B4	B	B14	B	country%1:15:00::	B1	B	B1	B	 that of diplomatic policy''. Morrison points out that since our <font color=green>country</font>  is more urbanized than the Soviet Union or Red China	5	3	2.03538009573162	0.6	6	press_editorial	press
country/NN/br-c01/2379	-0.0110350308776721	0.0182080522834822	country	NN	B	B	B14	B	country%1:14:00::	B2	B	BB2	B	 in this last of the Russian films to reach this <font color=green>country</font>  in the program of joint cultural exchange. Also on the	4	3	1.93188991989019	0.75	6	press_reviews	press
country/NN/br-c01/621	-0.384850598181342	0.101255594021026	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 extraordinary, considers the finest house of its kind in the <font color=green>country</font> - and of course he does n't weep at the capacity	3	0	2.5133801027551	0	2	press_reviews	press
country/NN/br-c01/944	-0.249362580999822	-0.174671207302089	country	NN	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 bookers, cancellation of one of the richest bookings in the <font color=green>country</font> . Will somebody please reopen the Auditorium? Paintings and drawings by	2	0	2.09658491372532	0	4	press_reviews	press
country/NN/br-c02/2222	-0.187378712945462	0.00886741710619446	country	NN	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 storylines too. He intimated that they were n't doing the <font color=green>country</font>  much good in the Cold War. And to an industry	2	0	2.21460407281564	0	2	press_reviews	press
country/NN/br-c02/2265	-0.182463102336962	0.0282102351725144	country	NN	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 globe'', he said,`` the major source of impressions about this <font color=green>country</font>  are in the movies they meet. Would we want a	1	0	1.73422745304094	0	3	press_reviews	press
country/NN/br-d03/1224	-0.0516649958518054	0.0334319468755395	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 seems no longer very meaningful to call England a`` Protestant <font color=green>country</font> ''. One of the ironies of the present crusade for Christian	2	2	1.89790226563564	1	4	religion	non-fiction
country/NN/br-d03/1509	-0.113516626832805	-0.0316435398069798	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 Faith of our Fathers: Mary 's prayers/ Shall win our <font color=green>country</font>  back to thee''. The English saints are widely venerated, quite	3	1	1.6907780929904	0.333333333333333	5	religion	non-fiction
country/NN/br-d03/249	-0.134285573312079	0.032474529503359	country	NN	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 century literature of England, I knew only a Protestant dominated <font color=green>country</font> . Since arriving here, however, I have formed a far different	3	3	1.9787893278686	1	3	religion	non-fiction
