_model	model.x	model.y	token_window	tokpos	mincws	socccorpus	socclength	socc_window	stress	tokens	socclength_group
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.10_10	-0.2586319714918496	-0.26522357599479474	10:10	NVJ	1	COHA	10000	10:10	0.234224257755321	249	10000
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.5_5	-0.2757437854811867	-0.2750976610569215	10:10	NVJ	1	COHA	10000	5:5	0.247540622073434	249	10000
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.10_10	-0.20774377585974757	-0.16134930853054472	10:10	NVJ	1	COHA	5000	10:10	0.221515828395679	249	5000
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.5_5	-0.17109312612687577	-0.08388456110297605	10:10	NVJ	1	COHA	5000	5:5	0.243919225773383	249	5000
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.10_10	-0.25927201399344396	0.10498492625580075	10:10	NVJ	1	Semcor	10000	10:10	0.253537936759264	249	10000
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.5_5	-0.27929447388823825	0.15924391114183317	10:10	NVJ	1	Semcor	10000	5:5	0.261022789890225	249	10000
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.10_10	-0.21056327667758934	0.060777034001900154	10:10	NVJ	1	Semcor	5000	10:10	0.246857118152603	249	5000
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.5_5	-0.22336654870507308	0.09712385294261475	10:10	NVJ	1	Semcor	5000	5:5	0.257972720938108	249	5000
nocomp.10_10_nvj_nobound.noweight.2.c.10k_all.10_10	-0.258631971491195	-0.2652235759952415	10:10	NVJ	2	COHA	10000	10:10	0.234224257755321	249	10000
nocomp.10_10_nvj_nobound.noweight.2.c.10k_all.5_5	-0.2668816627905978	-0.24872738256579952	10:10	NVJ	2	COHA	10000	5:5	0.247182430952478	249	10000
nocomp.10_10_nvj_nobound.noweight.2.c.5k_all.10_10	-0.20002240358878173	-0.1584919694061314	10:10	NVJ	2	COHA	5000	10:10	0.221337535515419	249	5000
nocomp.10_10_nvj_nobound.noweight.2.c.5k_all.5_5	-0.22307423267880447	-0.08124058358322586	10:10	NVJ	2	COHA	5000	5:5	0.242885427547201	249	5000
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.10_10	-0.2631958189811285	0.09774842994580897	10:10	NVJ	2	Semcor	10000	10:10	0.252553583948561	249	10000
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.5_5	-0.2701061503798158	0.14523384479443843	10:10	NVJ	2	Semcor	10000	5:5	0.260170531565213	249	10000
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.10_10	-0.23178670043101407	0.07354297947077537	10:10	NVJ	2	Semcor	5000	10:10	0.24647747587289	249	5000
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.5_5	-0.22243703663802447	0.09771523038706204	10:10	NVJ	2	Semcor	5000	5:5	0.257704808915412	249	5000
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.10_10	0.3482152475295414	-0.20646083520328978	3:3	NVJID	1	COHA	10000	10:10	0.233674337720886	245	10000
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.5_5	0.42609348508032985	-0.10860930695158054	3:3	NVJID	1	COHA	10000	5:5	0.234234160161015	245	10000
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.10_10	0.19060662336738307	-0.12554232184006137	3:3	NVJID	1	COHA	5000	10:10	0.220835403335841	245	5000
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.5_5	0.3244070785344975	-0.11764384893613848	3:3	NVJID	1	COHA	5000	5:5	0.22770271949493	245	5000
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.10_10	0.4553588163105516	0.10542795248146926	3:3	NVJID	1	Semcor	10000	10:10	0.244509879554124	245	10000
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.5_5	0.6058479950234218	0.06393469260272557	3:3	NVJID	1	Semcor	10000	5:5	0.226040355735666	245	10000
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.10_10	0.35560989957799766	0.09149004010071467	3:3	NVJID	1	Semcor	5000	10:10	0.254539964785043	245	5000
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.5_5	0.5371508346561656	0.025375054490876268	3:3	NVJID	1	Semcor	5000	5:5	0.242124022913509	245	5000
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.10_10	0.2638014836981275	-0.13630421787788738	3:3	NVJID	2	COHA	10000	10:10	0.244280903131562	227	10000
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.5_5	0.37658852921776065	-0.13781729996667888	3:3	NVJID	2	COHA	10000	5:5	0.249325328651036	227	10000
nocomp.3_3_nvjid_nobound.noweight.2.c.5k_all.10_10	0.24207428112105797	-0.1826823902969631	3:3	NVJID	2	COHA	5000	10:10	0.238495325026659	227	5000
