id	model.x	model.y	lemma	wf	pos	newPos	genre	broadGenre	newBroadGenre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW
church/NN/br-a01/2073	-0.321302482093489	-0.0267678220312941	church	church	NN	NN	press_reportage	others	informative	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	0.95	0	9
church/NN/br-a07/1303	0.0162888472654522	-0.0713680259042088	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	1.72	0.33	7
church/NN/br-a07/1325	-0.0077383997611185	-0.0489378542743618	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	4	1.1	1	9
church/NN/br-a07/1487	0.0430167640827479	0.12308627064071	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	2	1.46	0.5	8
church/NN/br-a10/1754	-0.00183728482608945	-0.0732221335800832	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	1.32	1	6
church/NN/br-a10/1769	-0.0261435375718291	-0.0250387785960931	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	3	1.49	1	8
church/NN/br-a10/1850	0.0559794523432081	0.0371338342467064	church	church	NN	NN	press_reportage	others	informative	C	C	C	CDE	Z	Z	Z	Z	Z	 adding that the denomination had a national goal of one <font color=green>church</font>  for every 10000 persons.`` In this light we need 1000	3	2	0.52	0.67	6
church/NN/br-a10/1940	-0.0547443276488346	-0.0551124554106281	church	church	NN	NN	press_reportage	others	informative	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	1.22	0	8
church/NN/br-a16/453	-0.204810219548646	0.0760783292130547	church	church	NN	NN	press_reportage	others	informative	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	1.57	0.5	6
church/NN/br-a17/1770	-0.227795317138729	0.170402151573417	church	Church	NN	NNP	press_reportage	others	informative	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	2.16	0	4
