id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre	wordform	msOct	mcuesOct	mcommOct	determiner	premodifier	postmodifier	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization
church/NN/br-a01/2073	-0.0902004746981288	0.417623122256103	church	NN	press_reportage	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	NN	informative	1	0	2.63	0	1	church	others	church	c3	being at		none	NA	NA	yes	no	E	singular	no	no	no	no	no	no	no	yes	no
church/NN/br-a07/1303	0.159972790109973	-0.362951312061812	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	NN	informative	3	0	2.93	0	1	church	others	church	a2	leaders		NA	NA	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a07/1325	-0.251916459739109	-0.126907166593817	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	NN	informative	4	1	2.58	0.25	1	church	others	church	a1	Peace Corps;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a07/1487	-0.447454521953499	0.108592519214859	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	NN	informative	4	0	2.63	0	1	church	others	church	a1	constitutional requirement;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a10/1769	-0.00617175731302602	0.372762240560256	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	NN	informative	3	0	2.8	0	1	church	others	church	d	touch with the;religious life	opposition to religious life	the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	no
church/NN/br-a10/1940	-0.251916459739109	-0.126907166593817	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	NN	informative	1	0	2.58	0	2	church	others	church	a2	changes in methods;her methods		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a16/453	0.194546696335223	0.125290382908821	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	NN	informative	4	2	2.9	0.5	2	church	others	church	c1	noon;tomorrow;in St. Bernadine’s;Forest Park;reception		none	St. Bernadine’s	NA	yes	no	D	singular	no	no	no	no	yes	no	no	no	no
church/NN/br-a17/1636	0.150534662759646	0.175652125439942	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	NNP	informative	4	2	2.65	0.5	2	Church	others	Church	c1	married;Saturday;at the Munger Place;Methodist		the	Munger Place Methodist	NA	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no
church/NN/br-a17/1770	0.234419500368569	0.345424123291723	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	NNP	informative	2	0	2.76	0	1	Church	others	Church	c1	chapel of the;First Presbyterian;of Houston;bride		the	First Presbyterian	NA	yes	yes	D	singular	yes	no	no	no	no	yes	no	no	no
church/NN/br-a17/2228	0.0376661116476045	0.0202113699805954	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	NN	informative	5	2	3.26	0.4	5	church	others	church	c1	reception;held at the		the	NA	NA	yes	yes	D	singular	no	no	no	no	no	no	no	no	no
