id	model.x	model.y	lemma	pos	genre	broadGenre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf
church/NN/br-d01/1628	-0.120966718499645	-0.149614272610442	church	NN	religion	non-fiction	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	NN	informative	3	2	1.45	0.67	7	church
church/NN/br-d02/1641	-0.202184982091022	-0.145791178801474	church	NN	religion	non-fiction	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	NN	informative	2	1	2.36	0.5	4	church
church/NN/br-d02/786	-0.278141372149761	0.0372303212900034	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	NN	informative	3	0	1.89	0	5	church
church/NN/br-d02/877	-0.240292448952389	-0.0324948704610204	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	NN	informative	4	3	1.68	0.75	5	church
church/NN/br-d02/969	-0.18219292628117	-0.104138002246319	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	NN	informative	4	3	1.5	0.75	5	church
church/NN/br-d03/1080	-0.175506133164057	-0.0809407193027128	church	NN	religion	non-fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	NN	informative	2	2	1.3	1	7	church
church/NN/br-d03/1350	-0.101085663665426	-0.00836279316371137	church	NN	religion	non-fiction	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	NN	informative	5	4	2.39	0.8	10	church
church/NN/br-d03/1871	-0.155032054202629	-0.041281156296904	church	NN	religion	non-fiction	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	NNP	informative	2	2	2.11	1	10	Church
church/NN/br-d03/1909	-0.190945908875209	0.0205593267219812	church	NN	religion	non-fiction	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	NNP	informative	6	2	2.46	0.33	5	Church
church/NN/br-d03/2097	-0.0847628916884835	-0.00977283932807659	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice	NN	informative	4	2	1.23	0.5	9	church
church/NN/br-d03/2336	-0.13286754141044	-0.043025730060649	church	NN	religion	non-fiction	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	NN	informative	2	1	2.61	0.5	7	church
church/NN/br-d03/2341	-0.176949279704313	-0.0499902194559249	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	NNP	informative	2	1	3.17	0.5	5	Church
church/NN/br-d03/862	-0.0489738025502006	0.0282707067132593	church	NN	religion	non-fiction	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 to a newspaper report of the 1961 statistics of the <font color=green>Church</font>  of England, the`` total of confirmed members is 9748000, but	NNP	informative	3	2	1.85	0.67	7	Church
church/NN/br-d03/883	-0.283653239106411	-0.174286053038214	church	NN	religion	non-fiction	C	C	C	CDE	church_roll%1:10:00::	C	C	C	CDE	 is 9748000, but only 2887671 are registered on the parochial <font color=green>church</font>  rolls'', and`` over 27 million people in England are baptized	NN	informative	4	3	1.98	0.75	4	church
church/NN/br-d03/899	-0.246543733924393	0.0409566329802945	church	NN	religion	non-fiction	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 over 27 million people in England are baptized into the <font color=green>Church</font>  of England, but roughly only a tenth of them continue	NNP	informative	3	2	2.18	0.67	4	Church
church/NN/br-d03/945	-0.0457789065499233	0.0292935142745942	church	NN	religion	non-fiction	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant	NNP	informative	1	0	1.27	0	8	Church
church/NN/br-d04/56	-0.170891604182055	-0.0794336509916907	church	NN	religion	non-fiction	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal	NN	informative	4	6	2.11	1.5	7	church
church/NN/br-d05/1163	-0.25289363124597	0.0888337810553031	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 Parker as the ultra-liberal minister within the pale of a <font color=green>church</font>  which had proclaimed itself the repository of liberality poses a	NN	informative	2	0	1.94	0	5	church
church/NN/br-d06/2048	-0.0598050140598238	-0.00238848330074325	church	NN	religion	non-fiction	E	E	DE	CDE	Z	Z	Z	Z	Z	 not one of the 70000000 Americans who do not attend <font color=green>church</font> , but who feel that various forms of recreation are more	NN	informative	1	1	1.37	1	7	church
church/NN/br-d07/216	-0.143476968774862	0.00371122766134787	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 of the most wholesome things you could schedule in your <font color=green>church</font>  would thus be a group confessional where people could admit	NN	informative	4	2	1.22	0.5	5	church
church/NN/br-d09/1044	-0.115096041442875	-0.0143482446846402	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 such topics as:`` What Christ Means to Me'',`` What the <font color=green>Church</font>  Means to Me'',`` Why Join the Church'',`` The Duties of	NNP	informative	3	2	2.23	0.67	5	Church
church/NN/br-d09/1054	-0.0606370910562742	0.0113095052447289	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 Me'',`` What the Church Means to Me'',`` Why Join the <font color=green>Church</font> '',`` The Duties of Church Members'', etc.. Assign a series of	NNP	informative	3	3	2.72	1	6	Church
church/NN/br-d09/1260	-1.5361571445e-05	-0.0120052309609335	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 provides a natural transition into the life of the local <font color=green>church</font>  and its organizations. The total process of evangelism reaches the	NN	informative	4	3	1.3	0.75	9	church
church/NN/br-d09/1619	-0.0519631445642831	0.0337678710272319	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 the group of new members to be put in the <font color=green>church</font>  paper or placed on the bulletin board. Have a fellowship	NN	informative	5	4	1.09	0.8	7	church
church/NN/br-d09/1641	-0.0827682948053835	0.060405637688433	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 fellowship luncheon or dinner with new members as guests. The <font color=green>church</font>  is`` the family of God''. The members of the`` family	NN	informative	3	4	1.86	1.33	8	church
church/NN/br-d09/1829	-0.0353529289051249	0.00418607972540487	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 during the same period there were 1080062 additions. Another major <font color=green>church</font>  body had 4499608 members and twenty years later its membership	NN	informative	5	4	1.31	0.8	6	church
church/NN/br-d09/2026	-0.0242195199202091	-0.0408835842949109	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 planned and carefully developed. The entire membership of the local <font color=green>church</font>  must be alerted to their part in this dynamic process	NN	informative	3	3	1.11	1	11	church
church/NN/br-d09/742	-0.0284085644698626	-0.00702654918761974	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 may be invited to speak on the various phases of <font color=green>church</font>  life, service opportunities, the church school, missions, men 's work	NN	informative	6	3	2.11	0.5	10	church
church/NN/br-d09/749	-0.0266732153902117	-0.00466461999609374	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 on the various phases of church life, service opportunities, the <font color=green>church</font>  school, missions, men 's work, women 's work, youth program	NN	informative	9	5	2.15	0.56	9	church
church/NN/br-d09/775	-0.00445923041498194	-0.000702825009352053	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 youth program, social activities, and finances. The budget of the <font color=green>church</font>  may be presented and pledges solicited at this session. An	NN	informative	5	4	1.31	0.8	6	church
church/NN/br-d09/825	-0.0256015301312564	-0.00334462353253254	church	NN	religion	non-fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 fourth session may be concluded with a tour of the <font color=green>church</font>  facilities and refreshments. The social time gives an opportunity for	NN	informative	4	3	1.5	0.75	8	church
church/NN/br-d09/837	-0.03146548187757	-0.00465930265843572	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 facilities and refreshments. The social time gives an opportunity for <font color=green>church</font>  leaders to become acquainted with the new members. In conducting	NN	informative	5	4	1.85	0.8	6	church
church/NN/br-d10/2187	-0.360602968014745	-0.190893900137144	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 for insisting that there is no salvation outside the visible <font color=green>church</font> . In mentioning this under`` salvation reconsidered'' I do not mean	NN	informative	1	2	2.33	2	4	church
church/NN/br-d12/1462	-0.0437593486454493	-0.0415500149583513	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 is discussed must surely be raised. The role of both <font color=green>church</font>  and university as sources of information and settings within which	NN	informative	3	1	1.41	0.33	7	church
church/NN/br-d12/233	-0.07217166411067	-0.0815928146970786	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 social change? What social, ethical and theological insights can the <font color=green>church</font>  and university help him bring to bear upon his situation	NN	informative	5	6	1.89	1.2	8	church
church/NN/br-d12/976	-0.0419159513249046	0.0116766717531433	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 social and professional organizations, as citizens and civic leaders, as <font color=green>church</font>  laymen, as university alumni, as newspaper readers, etc.. From such	NN	informative	4	3	1.99	0.75	8	church
church/NN/br-d14/428	-0.0435814935909081	-0.0250023649748498	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 standards of morality increased or declined as the proportion of <font color=green>church</font>  members in the population rose. The temptation is to say	NN	informative	2	2	1.72	1	9	church
church/NN/br-d14/446	-0.0396819810221362	-0.0212579364188675	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 The temptation is to say that, as the percentage of <font color=green>church</font>  members mounted, the degree of discipline exercised by the churches	NN	informative	3	3	1.41	1	9	church
church/NN/br-d14/557	0.0396860720301643	-0.189887045574489	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 If guilty, the offender might be excluded from membership. As <font color=green>church</font>  membership burgeoned, such measures faded into desuetude. But whether this	NN	informative	2	3	1.97	1.5	5	church
church/NN/br-d14/726	-0.211849798625514	-0.0699298461124171	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 stock. By the end of the century the Roman Catholic <font color=green>Church</font>  was beginning to make itself felt, mainly through such institutions	NNP	informative	3	2	1.72	0.67	7	Church
church/NN/br-d16/1644	-0.288626927340564	0.341279220791467	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 and zealously keep all the sacraments and ceremonies of the <font color=green>church</font> ; you may have the final and extreme unction but if	NN	informative	5	1	2.1	0.2	2	church
church/NN/br-d16/1947	-0.2867337032295	-0.0542561705980834	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 Him. You can ignore His Book, the Bible, and His <font color=green>church</font> . You can laugh at His blood-bought salvation, curse His followers	NN	informative	6	2	2.23	0.33	5	church
church/NN/br-d16/220	-0.219678536007753	-0.0764641121034575	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 a short reading of the Holy Scriptures''. Since the Catholic <font color=green>Church</font>  expresses such desire that the Sacred Scriptures be read, the	NNP	informative	4	3	2.34	0.75	8	Church
church/NN/br-d17/1073	-0.1032755063827	-0.0857007715214381	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 different, and something important: Ruth Peale, her wide experience in <font color=green>church</font>  work; Sidney Fields, years of experience as a New York	NN	informative	2	3	1.03	1.5	7	church
church/NN/br-e13/272	-0.16835046119484	-0.0185093682241239	church	NN	skill_and_hobbies	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 shifted religions- although the Patriarch, or Pope, of the Orthodox <font color=green>Church</font>  continued to live there, and still does- and became the	NNP	informative	3	1	1.26	0.33	4	Church
church/NN/br-e13/754	-0.0570689890382574	0.158097348275906	church	NN	skill_and_hobbies	non-fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 the first of which was begun by Constantine, this fourth <font color=green>church</font>  was started by Justinian in 532 and completed twenty years	NN	informative	4	4	0.53	1	4	church
church/NN/br-h17/1199	-0.00501418011103243	0.0693949449863913	church	NN	miscellaneous	non-fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 because of his willingness to kill in defense of his <font color=green>church</font>  and home. Upon administrative approval of the reclassification, he was	NN	informative	2	1	1.75	0.5	6	church
church/NN/br-h17/1434	-0.00449701149273661	0.0189991908983009	church	NN	miscellaneous	non-fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 preaching and from 20 to 25 hours per month to <font color=green>church</font>  activities. His claim was therefore`` so highly exaggerated'', the Department	NN	informative	1	1	1.32	1	8	church
church/NN/br-j57/958	-0.132959870984892	-0.0014282095285425	church	NN	learned	non-fiction	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 all possessions. This conception was taken up by the early <font color=green>Church</font>  Fathers and by canon lawyers and theologians in the Middle	NNP	informative	5	3	1.69	0.6	6	Church
church/NN/br-j58/1496	-0.0157105259874626	0.0785432390481336	church	NN	learned	non-fiction	D	D	DE	CDE	church_bell%1:06:00::	D	D	DE	CDE	 In many Northern towns and cities meetings were held and <font color=green>church</font>  bells were tolled. Such was not the case in Rhode	NN	informative	4	2	1.21	0.5	7	church
church/NNP/br-d03/1914	-0.210702954925982	-0.00245142578391594	church	NNP	religion	non-fiction	B	B	AB	AB	group%1:03:00::	C	C	C	CDE	 the Observer depicting clergymen of the Church of England, the <font color=green>Church</font>  of Rome and the Nonconformist Church. The Catholic priest, though	NNP	informative	5	2	4.13	0.4	6	Church
church/NNP/br-d03/2022	-0.26806006120193	-0.00919231197225989	church	NNP	religion	non-fiction	B	B	AB	AB	group%1:03:00::	C	C	C	CDE	 comments were equally made by an Anglican parson, a Free <font color=green>Church</font>  minister and a Catholic priest. Catholic priests have frequently appeared	NNP	informative	3	2	4.17	0.67	7	Church
church/NNP/br-d05/1515	-0.392404645971053	-0.0578658976964966	church	NNP	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 the world-at-large, disguised as the minister of a`` twenty-eighth Congregational <font color=green>Church</font> '' which bore no resemblance to the Congregational polities descended from	NNP	informative	2	3	4.42	1.5	6	Church
church/NNP/br-d05/207	-0.0608479372244492	0.00317594767032259	church	NNP	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 existed for their returning the Public Lecture to the First <font color=green>Church</font> , and so to suppress it, rather than let Parker use	NNP	informative	2	1	1.8	0.5	7	Church
church/NNP/br-d09/1115	-0.140902507266892	-0.0153713341221858	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 Reception Service. There is a growing conviction among pastors and <font color=green>Church</font>  leaders that all those who come into the fellowship of	NNP	informative	3	2	2.27	0.67	6	Church
church/NNP/br-d09/1127	-0.0611736791371899	-0.0217285702902925	church	NNP	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 that all those who come into the fellowship of the <font color=green>Church</font>  need preparatory training, including those coming by transfer of membership	NNP	informative	3	2	2.24	0.67	7	Church
church/NNP/br-d09/1156	-0.118084888704262	-0.00878571458244656	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 There is danger in trying to make admission to the <font color=green>Church</font>  so easy and painless that people will scarcely know that	NNP	informative	1	1	1.73	1	9	Church
church/NNP/br-d09/129	-0.119073842691342	-0.0599036413393434	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 one-third of those visited make commitments to Christ and the <font color=green>Church</font> . The pastor and the Membership Preparation and Assimilation Committee must	NNP	informative	2	1	3.27	0.5	7	Church
church/NNP/br-d09/1404	0.00195835174607002	-0.00858475547782984	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 to determine the attitude of the new members toward the <font color=green>Church</font> . It can mean the difference between participation and inaction, spiritual	NNP	informative	5	4	2.26	0.8	7	Church
church/NNP/br-d09/1436	-0.021638192219905	-0.00710311273454852	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 natural and logical time to receive new members into the <font color=green>Church</font> . The atmosphere for this momentous experience can be created most	NNP	informative	3	3	2.04	1	9	Church
church/NNP/br-d09/172	-0.0127004242672948	-0.018695784911265	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 determine their interest and participation in the life of the <font color=green>Church</font> . Neglect means spiritual paralysis or death. Churches that have a	NNP	informative	3	2	2.15	0.67	8	Church
church/NNP/br-d09/1774	-0.0566112175333678	0.0369098303645893	church	NNP	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 that nearly 40 per cent of those who joined the <font color=green>Church</font>  were lost to the Church within seven years. One denomination	NNP	informative	3	2	2.05	0.67	5	Church
church/NNP/br-d09/2155	-0.045320027352697	-0.00981350898976986	church	NNP	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 needs or they will never mature into effective Christians. The <font color=green>Church</font>  expects certain things of those who become members. The new	NNP	informative	5	4	2.01	0.8	8	Church
