id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	wf	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
church/NN/br-a16/453	-0.292228236144845	0.0524750661928809	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	1	300	25	1	church	NN	press	3	0.25
church/NN/br-a17/2228	-0.12839703072461	-0.0371299606668837	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	1	338	20	4	church	NN	press	3.38	0.2
church/NN/br-a17/2233	-0.129181296172761	-0.0431421025134949	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	0	347	0	3	Church	NNP	press	3.47	0
church/NN/br-a21/677	-0.148456043134264	-0.215534353589248	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	4	0	438	0	1	Church	NNP	press	4.38	0
church/NN/br-a22/1283	-0.310256243740673	0.0802935216902972	church	NN	press_reportage	press	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	2	0	308	0	2	Church	NNP	press	3.08	0
church/NN/br-a22/307	-0.160764398479143	-0.071330500672814	church	NN	press_reportage	press	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	4	0	346	0	1	Church	NNP	press	3.46	0
church/NN/br-a22/310	-0.160764398479143	-0.071330500672814	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	0	346	0	1	church	NN	press	3.46	0
church/NN/br-a31/1842	-0.256832745608931	-0.302554672663406	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	3	0	395	0	1	Church	NNP	press	3.95	0
church/NN/br-a31/2112	-0.160764398479143	-0.071330500672814	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	3	0	346	0	1	Church	NNP	press	3.46	0
church/NN/br-a31/2120	-0.121554122094599	-0.0701777688242401	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	4	0	352	0	2	church	NN	press	3.52	0
church/NN/br-b08/1866	-0.146546872928986	-0.0699436627070695	church	NN	press_editorial	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector	2	0	348	0	2	church	NN	press	3.48	0
church/NN/br-b08/1871	-0.146546872928986	-0.0699436627070695	church	NN	press_editorial	press	C	C	C	CDE	Z	Z	Z	Z	Z	 a decade of service to this majestic church.`` Such a <font color=green>church</font>  needs vigor and vitality in its rector and one man	4	1	348	25	2	church	NN	press	3.48	0.25
church/NN/br-b12/2115	-0.24582270131021	-0.384377656140571	church	NN	press_editorial	press	A	A	AB	AB	Z	Z	Z	Z	Z	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible	5	0	304	0	1	church	NN	press	3.04	0
church/NN/br-b12/2217	-0.160764398479143	-0.071330500672814	church	NN	press_editorial	press	B	B	AB	AB	Z	Z	Z	Z	Z	 of a joint committee made up of representatives of the <font color=green>Church</font>  of England, Church of Scotland, Methodist Church, Congregational Union, Baptist	6	0	346	0	1	Church	NNP	press	3.46	0
church/NN/br-b12/2226	-0.155800626261271	-0.0810861397755813	church	NN	press_editorial	press	B	B	AB	AB	Z	Z	Z	Z	Z	 representatives of the Church of England, Church of Scotland, Methodist <font color=green>Church</font> , Congregational Union, Baptist Union, Presbyterian Church of England, Churches in	7	1	350	14	3	Church	NNP	press	3.5	0.14
church/NN/br-b12/2235	-0.155800626261271	-0.0810861397755813	church	NN	press_editorial	press	B	B	AB	AB	Z	Z	Z	Z	Z	 Church of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian <font color=green>Church</font>  of England, Churches in Wales, Churches in Ireland, Society of	9	1	351	11	2	Church	NNP	press	3.51	0.11
church/NN/br-b15/1190	-0.313350774074659	-0.249030925134837	church	NN	press_editorial	press	C	C	C	CDE	Z	Z	Z	Z	Z	 El; Rev. DeWitt Clemens, pastor of the Mathewson Street Methodist <font color=green>Church</font> ; Mr. Felix Miranda, of the Imperial Knife Co.; and to	2	1	332	50	1	Church	NNP	press	3.32	0.5
church/NN/br-d01/1628	-0.102193311137961	-0.509238941184034	church	NN	religion	non-fiction	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	3	1	310	33	1	church	NN	essays	3.1	0.33
church/NN/br-d02/1641	-0.200869106523107	-0.356525284544611	church	NN	religion	non-fiction	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	2	0	366	0	1	church	NN	essays	3.66	0
church/NN/br-d02/706	-0.236324735743233	-0.41202493039967	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	4	0	312	0	1	church	NN	essays	3.12	0
church/NN/br-d02/923	-0.101269013353904	-0.463337972722444	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	3	0	314	0	1	church	NN	essays	3.14	0
church/NN/br-d03/1342	-0.14794708275259	-0.0832593082794546	church	NN	religion	non-fiction	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	5	1	340	20	2	church	NN	essays	3.4	0.2
church/NN/br-d03/1350	-0.135652382984989	-0.0814019784059274	church	NN	religion	non-fiction	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	5	3	329	60	3	church	NN	essays	3.29	0.6
church/NN/br-d03/1871	-0.146227509864321	-0.166321881714739	church	NN	religion	non-fiction	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	2	1	390	50	2	Church	NNP	essays	3.9	0.5
church/NN/br-d03/1909	-0.320996462897382	-0.244085139162672	church	NN	religion	non-fiction	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	6	0	342	0	1	Church	NNP	essays	3.42	0
church/NN/br-d03/2336	-0.118865719355727	-0.0904436268011743	church	NN	religion	non-fiction	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	2	0	392	0	2	church	NN	essays	3.92	0
church/NN/br-d03/2341	-0.118865719355727	-0.0904436268011743	church	NN	religion	non-fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	2	0	392	0	2	Church	NNP	essays	3.92	0
church/NN/br-d03/721	-0.26255701511203	-0.00260746906085892	church	NN	religion	non-fiction	B	B	AB	AB	church%1:06:00::	D	D	DE	CDE	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as	1	0	311	0	2	Church	NNP	essays	3.11	0
church/NN/br-d05/1163	-0.301678803934588	-0.117048411507779	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 Parker as the ultra-liberal minister within the pale of a <font color=green>church</font>  which had proclaimed itself the repository of liberality poses a	2	0	308	0	1	church	NN	essays	3.08	0
church/NN/br-d06/2174	-0.411387232211485	-0.0975283302314362	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 spiritually. No amount of religious ceremonies or even joining a <font color=green>church</font>  will relieve the gnawing of your`` inner'' space. Why? Because	3	1	347	33	1	church	NN	essays	3.47	0.33
church/NN/br-d09/1044	-0.160764398479143	-0.071330500672814	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 such topics as:`` What Christ Means to Me'',`` What the <font color=green>Church</font>  Means to Me'',`` Why Join the Church'',`` The Duties of	3	0	346	0	1	Church	NNP	essays	3.46	0
church/NN/br-d09/1054	-0.160764398479143	-0.071330500672814	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 Me'',`` What the Church Means to Me'',`` Why Join the <font color=green>Church</font> '',`` The Duties of Church Members'', etc.. Assign a series of	3	0	346	0	2	Church	NNP	essays	3.46	0
church/NN/br-d09/1061	-0.160764398479143	-0.071330500672814	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 Means to Me'',`` Why Join the Church'',`` The Duties of <font color=green>Church</font>  Members'', etc.. Assign a series of catechism questions to be	4	0	346	0	1	Church	NNP	essays	3.46	0
church/NN/br-d09/2026	0.0515306374968169	-0.411244857081695	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 planned and carefully developed. The entire membership of the local <font color=green>church</font>  must be alerted to their part in this dynamic process	3	0	363	0	1	church	NN	essays	3.63	0
church/NN/br-d09/2040	0.0515306374968402	-0.411244857081883	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 alerted to their part in this dynamic process. If the <font color=green>church</font>  has followed the plan of cultivation of prospects and carried	3	0	363	0	1	church	NN	essays	3.63	0
church/NN/br-d09/724	-0.112976757273535	-0.0465453230919248	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 as well as the program and activities of the local <font color=green>church</font> . The lay leadership of the church may be invited to	5	0	325	0	2	church	NN	essays	3.25	0
church/NN/br-d09/731	-0.0689862839488459	-0.0403142627810727	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 activities of the local church. The lay leadership of the <font color=green>church</font>  may be invited to speak on the various phases of	2	0	334	0	3	church	NN	essays	3.34	0
church/NN/br-d09/742	-0.0576517060629293	-0.0328622472985705	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 may be invited to speak on the various phases of <font color=green>church</font>  life, service opportunities, the church school, missions, men 's work	6	1	330	17	4	church	NN	essays	3.3	0.17
church/NN/br-d09/749	-0.0682539534335298	-0.0501845244518439	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 on the various phases of church life, service opportunities, the <font color=green>church</font>  school, missions, men 's work, women 's work, youth program	9	1	339	11	3	church	NN	essays	3.39	0.11
church/NN/br-d10/1913	-0.124096007160308	-0.181892853542096	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 impressive Roman Catholic defense of the practical autonomy of both <font color=green>church</font>  and state. The failure at that time of the Puerto	2	0	387	0	2	church	NN	essays	3.87	0
church/NN/br-d10/2166	-0.127528134709729	-0.158213345092787	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 the Christian claim is of considerable significance. The Roman Catholic <font color=green>Church</font>  has excommunicated one of its priests, Father Feeney, for insisting	6	3	362	50	3	Church	NNP	essays	3.62	0.5
church/NN/br-d10/2187	-0.143188225834328	-0.318817365369928	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 for insisting that there is no salvation outside the visible <font color=green>church</font> . In mentioning this under`` salvation reconsidered'' I do not mean	1	2	355	200	2	church	NN	essays	3.55	2
church/NN/br-d14/209	-0.110370722664839	-0.277408150836931	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 of churches. Presumably those who did not have a formal <font color=green>church</font>  connexion had also felt the influence of Christianity to a	3	1	306	33	1	church	NN	essays	3.06	0.33
church/NN/br-d14/234	-0.110370722664839	-0.277408150836931	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 extent. Many of them had once been members of a <font color=green>church</font>  or at least had been given instruction in Christianity but	3	1	306	33	1	church	NN	essays	3.06	0.33
church/NN/br-d14/410	0.113962627613559	-0.336012421546349	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 be absurd. For instance, we cannot know whether even for <font color=green>church</font>  members the degree of conformity to Christian standards of morality	5	1	302	20	1	church	NN	essays	3.02	0.2
church/NN/br-d14/428	0.113962627613088	-0.336012421546378	church	NN	religion	non-fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 standards of morality increased or declined as the proportion of <font color=green>church</font>  members in the population rose. The temptation is to say	2	0	302	0	1	church	NN	essays	3.02	0
church/NN/br-d14/726	-0.124096007160308	-0.181892853542096	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 stock. By the end of the century the Roman Catholic <font color=green>Church</font>  was beginning to make itself felt, mainly through such institutions	3	2	387	67	2	Church	NNP	essays	3.87	0.67
church/NN/br-d16/1644	-0.411378870872825	-0.0975697180641586	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 and zealously keep all the sacraments and ceremonies of the <font color=green>church</font> ; you may have the final and extreme unction but if	5	1	347	20	1	church	NN	essays	3.47	0.2
church/NN/br-d16/1947	-0.143188225834327	-0.318817365369926	church	NN	religion	non-fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 Him. You can ignore His Book, the Bible, and His <font color=green>church</font> . You can laugh at His blood-bought salvation, curse His followers	6	1	355	17	1	church	NN	essays	3.55	0.17
church/NN/br-d16/220	-0.155337815983052	-0.193742247824162	church	NN	religion	non-fiction	B	B	AB	AB	Z	Z	Z	Z	Z	 a short reading of the Holy Scriptures''. Since the Catholic <font color=green>Church</font>  expresses such desire that the Sacred Scriptures be read, the	4	2	397	50	3	Church	NNP	essays	3.97	0.5
church/NN/br-f15/713	-0.124096007160308	-0.181892853542096	church	NN	popular_lore	fiction	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning	5	2	387	40	2	Church	NNP	essays	3.87	0.4
church/NN/br-f15/754	-0.124096007160308	-0.181892853542096	church	NN	popular_lore	fiction	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as	1	0	387	0	2	Church	NNP	essays	3.87	0
church/NN/br-f44/1076	-0.194258319444035	-0.191494340670291	church	NN	popular_lore	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry	5	1	320	20	1	church	NN	essays	3.2	0.2
church/NN/br-f44/1285	-0.194258342582507	-0.191494313321162	church	NN	popular_lore	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 co-optation is the principal form of mission in the contemporary <font color=green>church</font> ; economic integration and co-optation are the two methods by which	3	1	320	33	1	church	NN	essays	3.2	0.33
church/NN/br-f44/647	-0.118457684083106	-0.0613260688836438	church	NN	popular_lore	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 denominations. There is much talk in theological circles about the`` <font color=green>Church</font>  as Mission'' and the`` Church 's Mission''; theologians have been	4	2	329	50	3	Church	NNP	essays	3.29	0.5
church/NN/br-f44/654	-0.118457684083106	-0.0613260688836438	church	NN	popular_lore	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 in theological circles about the`` Church as Mission'' and the`` <font color=green>Church</font>  's Mission''; theologians have been stressing the fact that the	4	2	329	50	3	Church	NNP	essays	3.29	0.5
church/NN/br-g12/1271	-0.0454933295116635	-0.444326041009414	church	NN	belles_lettres	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 and gestured toward the Madeleine. The classical lines of the <font color=green>church</font>  which Napoleon thought of as a Temple of Glory, dominated	5	1	321	20	1	church	NN	fiction	3.21	0.2
church/NN/br-h17/1199	-0.200869110291023	-0.356525279145648	church	NN	miscellaneous	non-fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 because of his willingness to kill in defense of his <font color=green>church</font>  and home. Upon administrative approval of the reclassification, he was	2	0	366	0	1	church	NN	technical	3.66	0
church/NN/br-j57/2237	-0.110370722664839	-0.277408150836931	church	NN	learned	non-fiction	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 which reached Christianity by the way of Stoicism through the <font color=green>Church</font>  Fathers of Late Antiquity.	3	1	306	33	1	Church	NNP	essays	3.06	0.33
church/NN/br-k04/1117	-0.46396856379631	0.0966022085968007	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of gambling in both. On the other side of the <font color=green>church</font>  was a quiet, well-kept house with shutters and recently painted	4	0	366	0	1	church	NN	fiction	3.66	0
church/NN/br-k04/1485	-0.126883868502542	-0.0518142309058064	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 that clear as this was, they must have a better <font color=green>church</font> , a more business-like conduct of the church organization, and an	2	0	325	0	2	church	NN	fiction	3.25	0
church/NN/br-k04/1493	-0.126883868502542	-0.0518142309058064	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 have a better church, a more business-like conduct of the <font color=green>church</font>  organization, and an effort to get this religious center out	4	0	325	0	2	church	NN	fiction	3.25	0
church/NN/br-k04/1514	-0.0966541830105281	-0.301506155725249	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 out of its rut of wild worship into a modern <font color=green>church</font>  organization. He emphasized to the Presiding Elder the plan of	5	1	358	20	1	church	NN	fiction	3.58	0.2
church/NN/br-k04/1807	-0.463968615908169	0.0966022593499738	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of money that has been invested by whites around that <font color=green>church</font> ? Tenements, stores, saloons, some gambling, I hope not too much	5	0	366	0	1	church	NN	fiction	3.66	0
