id	model.x	model.y	lemma	pos	genre	broadGenre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf
country/NN/br-a06/106	-0.211861852370438	0.0850090778102071	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 Westfield Young Democratic Club cocktail party at the Scotch Plains <font color=green>Country</font>  Club. It was greeted with a chorus of boos by	NNP	informative	4	2	2.63	0.5	4	Country
country/NN/br-a08/443	0.0522043663350237	-0.0658252888848673	country	NN	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 the National Archives building where hundreds of thousands of this <font color=green>country</font>  's most valuable records are kept. Also the department of	NN	informative	2	0	2.09	0	1	country
country/NN/br-a10/426	-0.23758476331568	0.101844079092887	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 States must plan to absorb the exported goods of the <font color=green>country</font> , at what he termed a`` social cost''. Martin said the	NN	informative	4	1	2.49	0.25	2	country
country/NN/br-a16/837	-0.296138146475108	0.124726102868053	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 his brother would meet her at the border of that <font color=green>country</font> - so newly separated from Egypt and the United Arab Republic	NN	informative	2	1	2.3	0.5	2	country
country/NN/br-a17/346	-0.195385557075214	0.144322423872633	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 will be a stag dinner Friday evening at the Denver <font color=green>Country</font>  Club which will precede the opening of the 1961 golf	NNP	informative	2	1	2.67	0.5	3	Country
country/NN/br-a18/24	-0.218906108684227	0.125687608283336	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 of the Thrift Shop Committee for May 6 at Philmont <font color=green>Country</font>  Club. The women have a reputation for giving parties that	NNP	informative	3	1	3.3	0.33	2	Country
country/NN/br-a18/734	-0.151655621974029	0.144775733741901	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 contributions may be made there will be facilities at Philmont <font color=green>Country</font>  Club for those who would like to bring the bundles	NNP	informative	2	1	2.66	0.5	2	Country
country/NN/br-a26/490	-0.243026927091233	-0.00776408433276064	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 price would be quoted regularly in newspapers all over the <font color=green>country</font> . He was also pleased with the wide distribution because he	NN	informative	5	1	2.5	0.2	3	country
country/NN/br-a27/436	-0.380750385776878	-0.26964555117991	country	NN	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 the steel strike. Draper declared,`` As I see it, this <font color=green>country</font>  has never faced such great dangers as threaten us today	NN	informative	4	1	2.74	0.25	1	country
country/NN/br-a28/645	0.00530926205826644	0.149823323880601	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 the rural recovery are being felt almost immediately by the <font color=green>country</font>  's farm equipment manufacturers. For example, farm equipment shipments of	NN	informative	3	1	2.34	0.33	2	country
country/NN/br-a29/2062	-0.118292865619968	0.084438910159477	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 weekend they have reserved the entire Stagecoach Inn and adjoining <font color=green>country</font>  club, Saledo, for festivities. Invitations have been extended to some	NN	informative	3	1	2.78	0.33	4	country
country/NN/br-a30/380	-0.156681727845628	0.058376421262772	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 A. Swim celebrated his 75 th birthday at the Wilshire <font color=green>Country</font>  Club, guests came by chartered plane from all over the	NNP	informative	4	2	2.63	0.5	5	Country
country/NN/br-a30/392	-0.213021059269202	0.0415206754025524	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Club, guests came by chartered plane from all over the <font color=green>country</font> . A flight originating in Florida picked up guests on the	NN	informative	4	2	2.54	0.5	4	country
country/NN/br-a33/1449	0.0884048873113374	0.38058803449466	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 that the National Gallery`` is the only museum in the <font color=green>country</font>  to have a full-time music director, Richard Bales, I 'm	NN	informative	4	0	2.01	0	1	country
