id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre
country/NN/br-d03/249	-0.099725739039504	0.0446806842096956	country	NN	religion	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 century literature of England, I knew only a Protestant dominated <font color=green>country</font> . Since arriving here, however, I have formed a far different	NN	informative	3	3	1.25	1	7	country	others
country/NN/br-d06/2068	-0.116980706410467	-0.0138474191082494	country	NN	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 are more important than worshipping the God who made our <font color=green>country</font>  great. Is forgiveness of past sins, assurance of present help	NN	informative	2	1	1.17	0.5	8	country	others
country/NN/br-d07/523	-0.157463407416891	-0.013612779107743	country	NN	religion	B	B	B14	B	Z	Z	Z	Z	Z	 are tearing us apart. A visitor from a more peaceful <font color=green>country</font>  across the sea was taken to one of our amusement	NN	informative	4	1	1.3	0.25	6	country	others
country/NN/br-d11/1770	-0.116773726472943	-0.0224249820000306	country	NN	religion	B1	B	B14	B	Z	Z	Z	Z	Z	 would far rather die after a Russian occupation of this <font color=green>country</font> - by some deliberate act of refusal- than die uselessly by	NN	informative	1	1	1.48	1	7	country	others
country/NN/br-d12/128	-0.0668952222850726	-0.0145686337806619	country	NN	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 for the human aspirations of racial minority groups in this <font color=green>country</font> . It is not surprising that, as spokesman for real estate	NN	informative	3	3	1.45	1	10	country	others
country/NN/br-d14/653	-0.0755443865036493	-0.0606535024951251	country	NN	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 ways in which it helped shape the ideals of the <font color=green>country</font>  and of the manner in which it stimulated efforts to	NN	informative	1	0	1.36	0	8	country	others
country/NN/br-d14/68	-0.0613403642012809	-0.0134913982349575	country	NN	religion	B	B	B14	B	Z	Z	Z	Z	Z	 the social, economic, and political life and institutions of the <font color=green>country</font> ? A complete picture is impossible- partly because of the limitations	NN	informative	4	3	0.84	0.75	9	country	others
country/NN/br-d14/772	-0.420501672746354	0.0812042228168201	country	NN	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 the Protestantism of the nineteenth-century immigration. The ideals of the <font color=green>country</font>  were deeply indebted to the Protestantism of the older stock	NN	informative	3	3	2.33	1	5	country	others
country/NN/br-d17/1276	-0.231067130834329	0.0308965770164167	country	NN	religion	B1	B	B14	B	Z	Z	Z	Z	Z	 during surgery, we asked others to pray; all over the <font color=green>country</font>  a massive shield of prayer was thrown around him. Today	NN	informative	4	3	1.88	0.75	8	country	others
country/NN/br-d17/859	-0.10110313117213	-0.044402213298656	country	NN	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 into schools the spiritual and moral values on which this <font color=green>country</font>  was built. Thousands of free copies are sent each month	NN	informative	4	4	1.32	1	8	country	others
country/NN/br-d17/983	-0.121059325724023	-0.00641856948698294	country	NN	religion	B1	B	B14	B	Z	Z	Z	Z	Z	 in spiritual stories, my roving editors cover not only the <font color=green>country</font> , but the whole world. Glenn Kittler has been twice to	NN	informative	3	3	0.87	1	7	country	others
country/NN/br-e06/1085	-0.131277044179007	-0.071648607872469	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 making life easier for the growing boating population of the <font color=green>country</font> ; and to making the owning of a boat simpler. There	NN	informative	2	2	1.18	1	7	country	tech
country/NN/br-e06/237	-0.184442569318384	-0.0101045437055732	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 fringe benefit, providing boating and fishing havens all over the <font color=green>country</font> . No matter how determined or wealthy boating lovers of the	NN	informative	3	2	1.9	0.67	9	country	tech
country/NN/br-e06/608	-0.185601518457696	-0.053282618269819	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 hauled to new horizons. The variety of craft on the <font color=green>country</font>  's waters today is overwhelming. They range from an eight-foot	NN	informative	3	2	1.56	0.67	8	country	tech
country/NN/br-e06/952	-0.0702412508048577	0.020639613598009	country	NN	skill_and_hobbies	B3	B	B23	B	Z	Z	Z	Z	Z	 comes to boats and their motors, Americans excel over any <font color=green>country</font>  in the world in the long run. Russia, whose technology	NN	informative	3	2	1.23	0.67	7	country	tech
country/NN/br-e12/1062	-0.150520627070175	0.0563122713807123	country	NN	skill_and_hobbies	A1	A	A	A	Z	Z	Z	Z	Z	 museums. In contrast are the vast open stretches of ranch <font color=green>country</font>  and oil wells. In San Antonio visit the famous Alamo	NN	informative	5	4	1.35	0.8	8	country	tech
country/NN/br-e12/175	0.232582511752529	-0.0144159692241444	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 this special U. S. A. vacation feature. We divided the <font color=green>country</font>  into five regions plus Hawaii and Alaska and in each	NN	informative	2	2	1.63	1	6	country	tech
country/NN/br-e12/31	-0.0341833881624648	0.00351944950421373	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 textbook description alone, the overwhelming space and variety of this <font color=green>country</font>  held together under one government. The miracle of democratic America	NN	informative	6	5	1.46	0.83	9	country	tech
country/NN/br-e17/338	0.0521155875721137	-0.174077224208118	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 that building codes and regulations vary so much throughout the <font color=green>country</font> , the first thing to do is to find out what	NN	informative	4	3	1.45	0.75	6	country	tech
country/NN/br-e20/6	-0.146042711725019	0.127916426148829	country	NN	skill_and_hobbies	B1	B	B14	B	Z	Z	Z	Z	Z	 Draw a line across the <font color=green>country</font>  at the latitude of lower Pennsylvania. Any house built now	NN	informative	3	2	1.02	0.67	7	country	tech
country/NN/br-e28/1281	-0.0406336055581499	-0.0147986908690759	country	NN	skill_and_hobbies	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 some benefit they can share? In one company covering the <font color=green>country</font>  with a high quality sales force of 10 men, the	NN	informative	2	2	0.95	1	8	country	tech
country/NN/br-e29/1920	-0.0593330728001204	0.0471564221315435	country	NN	skill_and_hobbies	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 a candidate. Since there are almost no schools in the <font color=green>country</font>  offering graduate work in interior design this rule cannot at	NN	informative	2	1	0.67	0.5	9	country	tech
country/NN/br-e31/1819	-0.106158223024889	0.024366069494146	country	NN	skill_and_hobbies	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 and it is helping more Americans see more of the <font color=green>country</font>  than they ever saw before. But make no mistake about	NN	informative	2	2	0.89	1	9	country	tech
country/NN/br-h02/105	-0.0238179319730782	-0.0111518102631882	country	NN	miscellaneous	B2	B	B23	B	Z	Z	Z	Z	Z	 growth nor a development program can be imposed on a <font color=green>country</font> ; it must express the nation 's own will and goal	NN	informative	4	4	0.98	1	8	country	tech
country/NN/br-h02/1401	-0.0150098239345601	-0.014326290510152	country	NN	miscellaneous	B3	B	B23	B	Z	Z	Z	Z	Z	 show substantial success in this effort will vary greatly from <font color=green>country</font>  to country. In several significant cases, such as India, a	NN	informative	4	3	1.59	0.75	11	country	tech
