pmi	raw_freq	raw_co	cw
-0.1405906	62265	46	's/adv
-0.9612835	24865	8	14/noun
1.0596404	817	2	1905/noun
-0.94819933	55236	18	2001/noun
1.1952757	364	1	Ajax_supporter/noun
-0.6369483	231449	102	Amerikaans/adj
-0.025975185	49844	40	Amsterdams/adj
-0.8465546	139420	50	Belgisch/adj
-0.13291751	27261	20	Chinees/adj
-0.33777493	104339	62	Duits/adj
-0.5425522	98844	48	Frans/adj
0.6049	9059	14	Hollands/adj
-1.9441077	16622	2	Iraaks/adj
-0.19760247	49706	34	Italiaans/adj
0.99710506	1748	4	Latijns-Amerikaans/adj
0.05054886	1128	1	Mexicaan/noun
-0.36170456	241254	140	Nederlands/adj
0.28753656	19011	21	Rotterdams/adj
3.029921	229	4	Spielbergs/det
1.0031621	6487	15	T-shirt/noun
-0.55404115	2120	1	Tiense/adj
-0.2915757	30463	19	Turks/adj
1.4580222	274	1	Vlaams_nationalist/noun
0.68450665	4183	7	Westers/adj
0.31298885	392664	455	aan/part
-0.24024005	2153601	1435	aan/prep
0.074916855	72257	66	aandacht/noun
0.15037143	3043	3	aangesloten/adj
-0.8204152	21410	8	aanleiding/noun
-0.9754412	235279	75	aantal/noun
0.050048236	20232	18	aarde/noun
1.9040236	2103	12	achteloos/adj
1.6513902	150814	666	achter/prep
0.42492798	23095	30	achtergrond/noun
0.5593853	7435	11	achteruit/adv
3.7094345	374	13	achteruitkijk_spiegel/noun
1.6234735	1411	6	adem/part
-0.96429765	52878	17	advocaat/noun
1.5629319	28306	115	af/adv
0.2265935	321541	341	af/part
1.1546292	5931	16	afbeelding/noun
-1.0839189	34907	10	afdeling/noun
0.24153933	12082	13	affiche/noun
-0.6973118	25991	11	afkomstig/adj
1.6095576	708	3	afspraakje/noun
2.7815173	2331	32	afstandelijk/adj
0.46757	12666	17	afval/noun
-0.75054854	9985	4	afwezigheid/noun
-0.185995	1066466	752	al/adv
0.6901887	73011	124	al/det
-0.16645245	422543	303	alle/det
0.13878809	266562	260	alleen/adv
1.3960879	295	1	aller/det
-0.09764744	37558	29	allerlei/det
0.10758244	209596	198	alles/noun
0.4330629	7630	10	alles/pron
-0.33534047	11534	7	allicht/adv
-0.19240667	1263756	885	als/prep
1.3263223	1273	4	alstublieft/adv
1.1758909	1453	4	altaar/noun
0.22122361	292821	310	altijd/adv
0.19871302	33813	35	alvast/adv
0.2879694	26735	30	alweer/adv
1.527224	2052	8	amusant/adj
0.17520492	663512	672	ander/adj
0.0033297304	142075	121	anders/adj
3.0315323	3472	61	angstig/adj
0.84497213	6145	12	applaus/noun
0.95930386	8638	19	archief/noun
0.9412865	25767	56	arm/noun
0.04236775	124344	109	auto/noun
0.12370484	47971	46	avond/noun
0.4007828	14282	18	avontuur/noun
-1.4736229	67383	13	baan/noun
1.9992872	3354	21	baard/noun
-0.026977312	3657	3	ballet/noun
-0.42729494	56065	31	band/noun
0.5621573	37776	56	bang/adj
-0.3962252	88074	50	bank/noun
0.35162258	26564	32	bed/noun
2.068292	1039	7	bedachtzaam/adj
-0.48983777	9585	5	bedoeld/adj
0.66912687	101423	168	beeld/noun
0.22375797	9454	10	beest/noun
-0.9532221	18380	6	begeleid/verb
-0.8322017	13552	5	begeleiding/noun
5.274734	339	56	begerig/adj
0.820302	1549	3	beginjaar/noun
0.47915888	61997	85	begrijp/verb
0.8285424	1029	2	behaag/verb
-2.0326114	27083	3	behandeling/noun
