_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
dof.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.23764373608375192	-0.07101573992508124	bound	nav	10_10	weight	809	1	5000	5000	nav	4_4	317	dof	0.2488851891784053
dof.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.2526878704775742	-0.05071832445659703	bound	nav	10_10	weight	809	1	10000	10000	nav	4_4	317	dof	0.2440086732478686
dof.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.25381827402259083	-0.06958825817093608	bound	nav	10_10	weight	809	1	FOC	809	nav	4_4	317	dof	0.22352510140560597
dof.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.2207312050992231	-0.12042328782380593	bound	nav	10_10	weight	809	1	5000	5000	nav	10_10	317	dof	0.23565981409102835
dof.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.2364322508414822	-0.08851920106731918	bound	nav	10_10	weight	809	1	10000	10000	nav	10_10	317	dof	0.23996175191760485
dof.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.23429601958209134	-0.10834756558164052	bound	nav	10_10	weight	809	1	FOC	809	nav	10_10	317	dof	0.22525409297708082
dof.foc10.nav.weight.bound.min1.soc4.all.5000	-0.23482893896400628	-0.07893288326353567	bound	nav	10_10	weight	809	1	5000	5000	all	4_4	317	dof	0.24570969121560485
dof.foc10.nav.weight.bound.min1.soc4.all.10000	-0.2433730942342428	-0.0608035457883079	bound	nav	10_10	weight	809	1	10000	10000	all	4_4	317	dof	0.2481578589620457
dof.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.25381828087781244	-0.06958823135347429	bound	nav	10_10	weight	809	1	FOC	809	all	4_4	317	dof	0.22352510140560597
dof.foc10.nav.weight.bound.min1.soc10.all.5000	-0.2204064167135521	-0.1318017164497353	bound	nav	10_10	weight	809	1	5000	5000	all	10_10	317	dof	0.23644784141661437
dof.foc10.nav.weight.bound.min1.soc10.all.10000	-0.23595153068551403	-0.10225649901867334	bound	nav	10_10	weight	809	1	10000	10000	all	10_10	317	dof	0.2394592184663154
dof.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.2342959863239823	-0.10834758826969908	bound	nav	10_10	weight	809	1	FOC	809	all	10_10	317	dof	0.22525409297708082
dof.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.008595786783554119	-0.2418505644628445	bound	nav	10_10	selection	809	1	5000	5000	nav	4_4	317	dof	0.2623340336841691
dof.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.011222025320041308	-0.20992897130891242	bound	nav	10_10	selection	809	1	10000	10000	nav	4_4	317	dof	0.2645737732725868
dof.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.06383525589558586	-0.1592379474576356	bound	nav	10_10	selection	809	1	FOC	809	nav	4_4	317	dof	0.24502094440373756
dof.foc10.nav.selection.bound.min1.soc10.nav.5000	-0.011137113791769869	-0.2618032210607639	bound	nav	10_10	selection	809	1	5000	5000	nav	10_10	317	dof	0.2511587020870143
dof.foc10.nav.selection.bound.min1.soc10.nav.10000	-0.016439520697579268	-0.22730200956027335	bound	nav	10_10	selection	809	1	10000	10000	nav	10_10	317	dof	0.25253770395578456
dof.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.072444602457548607	-0.18460280762335343	bound	nav	10_10	selection	809	1	FOC	809	nav	10_10	317	dof	0.2395368706680638
dof.foc10.nav.selection.bound.min1.soc4.all.5000	-0.0037293548884773584	-0.26072596876506937	bound	nav	10_10	selection	809	1	5000	5000	all	4_4	317	dof	0.26130711599267464
dof.foc10.nav.selection.bound.min1.soc4.all.10000	-0.001303066565826954	-0.22913548673450418	bound	nav	10_10	selection	809	1	10000	10000	all	4_4	317	dof	0.263745333258976
dof.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.06383519834576293	-0.15923789995904553	bound	nav	10_10	selection	809	1	FOC	809	all	4_4	317	dof	0.24502094440373756
dof.foc10.nav.selection.bound.min1.soc10.all.5000	0.005230038171646559	-0.2796116958358632	bound	nav	10_10	selection	809	1	5000	5000	all	10_10	317	dof	0.2510019942543541
dof.foc10.nav.selection.bound.min1.soc10.all.10000	-0.009400024636116834	-0.2493331938299166	bound	nav	10_10	selection	809	1	10000	10000	all	10_10	317	dof	0.253467912581399
dof.foc10.nav.selection.bound.min1.soc10.all.FOC	-0.07244469339919105	-0.184602881447889	bound	nav	10_10	selection	809	1	FOC	809	all	10_10	317	dof	0.2395368706680638
dof.foc10.nav.no.bound.min1.soc4.nav.5000	-0.008595757254236527	-0.24185055378306017	bound	nav	10_10	no	809	1	5000	5000	nav	4_4	317	dof	0.2623340336841691
dof.foc10.nav.no.bound.min1.soc4.nav.10000	-0.011222058120530039	-0.20992899316799002	bound	nav	10_10	no	809	1	10000	10000	nav	4_4	317	dof	0.2645737732725868
dof.foc10.nav.no.bound.min1.soc4.nav.FOC	-0.06383516915759323	-0.15923787586391228	bound	nav	10_10	no	809	1	FOC	809	nav	4_4	317	dof	0.24502094440373756
dof.foc10.nav.no.bound.min1.soc10.nav.5000	-0.01113707561791254	-0.2618032105446924	bound	nav	10_10	no	809	1	5000	5000	nav	10_10	317	dof	0.2511587020870143
dof.foc10.nav.no.bound.min1.soc10.nav.10000	-0.016439488572981872	-0.22730199092542258	bound	nav	10_10	no	809	1	10000	10000	nav	10_10	317	dof	0.25253770395578456
dof.foc10.nav.no.bound.min1.soc10.nav.FOC	-0.0724446331529898	-0.18460283219495557	bound	nav	10_10	no	809	1	FOC	809	nav	10_10	317	dof	0.2395368706680638
dof.foc10.nav.no.bound.min1.soc4.all.5000	-0.0037293130593082147	-0.2607259489220741	bound	nav	10_10	no	809	1	5000	5000	all	4_4	317	dof	0.26130711599267464
dof.foc10.nav.no.bound.min1.soc4.all.10000	-0.0013030336149796138	-0.22913546766499657	bound	nav	10_10	no	809	1	10000	10000	all	4_4	317	dof	0.263745333258976
dof.foc10.nav.no.bound.min1.soc4.all.FOC	-0.06383522670428597	-0.15923792336276446	bound	nav	10_10	no	809	1	FOC	809	all	4_4	317	dof	0.24502094440373756
dof.foc10.nav.no.bound.min1.soc10.all.5000	0.005230007191431449	-0.2796117073234867	bound	nav	10_10	no	809	1	5000	5000	all	10_10	317	dof	0.2510019942543541
dof.foc10.nav.no.bound.min1.soc10.all.10000	-0.009400052066105976	-0.24933320164837827	bound	nav	10_10	no	809	1	10000	10000	all	10_10	317	dof	0.253467912581399
dof.foc10.nav.no.bound.min1.soc10.all.FOC	-0.07244466343469412	-0.1846028562257279	bound	nav	10_10	no	809	1	FOC	809	all	10_10	317	dof	0.2395368706680638
dof.foc10.all.weight.bound.min1.soc4.nav.5000	-0.20622599581905646	-0.0602829257600954	bound	all	10_10	weight	930	1	5000	5000	nav	4_4	319	dof	0.25614532961181175
dof.foc10.all.weight.bound.min1.soc4.nav.10000	-0.2238075170458317	-0.03768721220682418	bound	all	10_10	weight	930	1	10000	10000	nav	4_4	319	dof	0.25181259449496957
dof.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.2176357239916841	-0.041308587539712276	bound	all	10_10	weight	930	1	FOC	930	nav	4_4	319	dof	0.23027977450549098
dof.foc10.all.weight.bound.min1.soc10.nav.5000	-0.19835911512671342	-0.10461697184104216	bound	all	10_10	weight	930	1	5000	5000	nav	10_10	319	dof	0.24023212146468814
dof.foc10.all.weight.bound.min1.soc10.nav.10000	-0.2066031930331539	-0.07510532383631294	bound	all	10_10	weight	930	1	10000	10000	nav	10_10	319	dof	0.2450695212610598
dof.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.19780946296230342	-0.0891922490448328	bound	all	10_10	weight	930	1	FOC	930	nav	10_10	319	dof	0.22942040101436229
dof.foc10.all.weight.bound.min1.soc4.all.5000	-0.2041443824661264	-0.06787224259914353	bound	all	10_10	weight	930	1	5000	5000	all	4_4	319	dof	0.25595581955141145
dof.foc10.all.weight.bound.min1.soc4.all.10000	-0.21453734191546384	-0.05222063213397578	bound	all	10_10	weight	930	1	10000	10000	all	4_4	319	dof	0.25400242566299747
dof.foc10.all.weight.bound.min1.soc4.all.FOC	-0.21763576143365915	-0.04130858988799685	bound	all	10_10	weight	930	1	FOC	930	all	4_4	319	dof	0.23027977450549098
dof.foc10.all.weight.bound.min1.soc10.all.5000	-0.19509356414048523	-0.11578997174168643	bound	all	10_10	weight	930	1	5000	5000	all	10_10	319	dof	0.2412382328504528
dof.foc10.all.weight.bound.min1.soc10.all.10000	-0.20944169890992528	-0.09292337136281206	bound	all	10_10	weight	930	1	10000	10000	all	10_10	319	dof	0.24445472354297487
dof.foc10.all.weight.bound.min1.soc10.all.FOC	-0.19780948837329812	-0.08919222445973896	bound	all	10_10	weight	930	1	FOC	930	all	10_10	319	dof	0.22942040101436229
dof.foc10.all.selection.bound.min1.soc4.nav.5000	0.42438916675006294	-0.08984042241778309	bound	all	10_10	selection	930	1	5000	5000	nav	4_4	319	dof	0.25326300363754467
dof.foc10.all.selection.bound.min1.soc4.nav.10000	0.4323955816317476	-0.06004013498156956	bound	all	10_10	selection	930	1	10000	10000	nav	4_4	319	dof	0.2517882184784113
dof.foc10.all.selection.bound.min1.soc4.nav.FOC	0.30579831894631226	-0.05835490696963772	bound	all	10_10	selection	930	1	FOC	930	nav	4_4	319	dof	0.24242950071237707
dof.foc10.all.selection.bound.min1.soc10.nav.5000	0.3074682685281206	-0.1655380079066734	bound	all	10_10	selection	930	1	5000	5000	nav	10_10	319	dof	0.24545933537484527
dof.foc10.all.selection.bound.min1.soc10.nav.10000	0.30531778564498785	-0.13269268310296406	bound	all	10_10	selection	930	1	10000	10000	nav	10_10	319	dof	0.2427444917182195
dof.foc10.all.selection.bound.min1.soc10.nav.FOC	0.21984511217337419	-0.11768569861069018	bound	all	10_10	selection	930	1	FOC	930	nav	10_10	319	dof	0.24436364536133978
dof.foc10.all.selection.bound.min1.soc4.all.5000	0.42806519285263145	-0.10431689890628357	bound	all	10_10	selection	930	1	5000	5000	all	4_4	319	dof	0.25593910428346106
