_id	popular	pop_agree	batch	pop_conf
dof/adj/nrc_handelsblad_20010616_65/71	dof_2	1	dof_1	0.30587306740689835
dof/adj/nrc_handelsblad_20000124_59/398	dof_2	1	dof_1	0.01987217361248343
dof/adj/nrc_handelsblad_20010126_3/140	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20011019_50/108	dof_1	0.67	dof_1	0.08852677002038176
dof/adj/nrc_handelsblad_20030620_150/75	dof_2	1	dof_1	0.5421820270310003
dof/adj/nrc_handelsblad_20020826_54/610	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20010616_24/638	no_agreement	0.33	dof_1	-1.7627543891819506
dof/adj/nrc_handelsblad_20021004_159/2239	dof_1	1	dof_1	-0.333183316228084
dof/adj/nrc_handelsblad_20040427_75/32	dof_1	1	dof_1	-0.30692601247628143
dof/adj/nrc_handelsblad_20020406_61/116	dof_3	0.67	dof_1	-1.2696033933401072
dof/adj/nrc_handelsblad_20040305_08/110	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_19991217_1/465	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20010406_4/1637	dof_2	1	dof_1	-0.006385130139319147
dof/adj/nrc_handelsblad_20020607_175/786	dof_2	0.67	dof_1	-1.6083664953591739
dof/adj/nrc_handelsblad_20010430_78/527	dof_2	0.67	dof_1	-0.3622845534850617
dof/adj/nrc_handelsblad_20021014_112/728	dof_3	0.67	dof_1	0.04344462154851919
dof/adj/nrc_handelsblad_19991021_151/28	dof_1	1	dof_1	0.5421820270310003
dof/adj/nrc_handelsblad_20010618_114/147	dof_2	0.67	dof_1	-0.00782111404890884
dof/adj/nrc_handelsblad_20030807_121/308	dof_3	0.67	dof_1	-0.36798074632922034
dof/adj/nrc_handelsblad_20000928_167/642	dof_1	1	dof_1	-0.333183316228084
dof/adj/nrc_handelsblad_20000630_99/129	dof_3	0.67	dof_1	0.2778745587047639
dof/adj/nrc_handelsblad_20011228_20/187	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20030710_143/121	dof_3	0.67	dof_1	-0.7794061142069599
dof/adj/nrc_handelsblad_20020607_158/858	dof_1	0.67	dof_1	-1.9058680063537399
dof/adj/nrc_handelsblad_20030502_29/116	dof_1	1	dof_1	-0.1667448518413055
dof/adj/nrc_handelsblad_19990109_4/2093	dof_4	0.67	dof_1	-1.1908314820846995
dof/adj/nrc_handelsblad_20020302_211/158	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20030710_132/85	no_agreement	0.33	dof_1	-0.2689513935152237
dof/adj/nrc_handelsblad_20001007_165/479	dof_1	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20000923_135/128	dof_1	1	dof_1	0.24164114469403794
dof/adj/nrc_handelsblad_20020913_146/1125	dof_3	0.67	dof_1	0.6892999265825035
dof/adj/nrc_handelsblad_20031205f_154/411	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20010903_73/294	dof_1	0.67	dof_1	0.4429902094565346
dof/adj/nrc_handelsblad_20021009_189/216	dof_3	1	dof_1	0.26789844844584054
dof/adj/nrc_handelsblad_20000729_72/669	dof_2	1	dof_1	0.6064139497438605
dof/adj/nrc_handelsblad_20000815_67/1298	dof_2	1	dof_1	0.8427229093679625
dof/adj/nrc_handelsblad_20020628_22/226	dof_2	0.67	dof_1	0.893801532961978
dof/adj/nrc_handelsblad_20010403_146/243	dof_3	1	dof_1	-0.76782661651523
dof/adj/nrc_handelsblad_20010901_190/489	dof_1	1	dof_1	0.13379603049565678
dof/adj/nrc_handelsblad_20000828_46/163	dof_3	1	dof_2	-0.3280345266542617
dof/adj/nrc_handelsblad_19991011_122/694	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_19990421_91/193	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_20020719_12/1279	dof_1	1	dof_2	0.44804513469219875
dof/adj/nrc_handelsblad_20040415_18/45	dof_2	1	dof_2	0.14750425235523645
dof/adj/nrc_handelsblad_20000923_76/701	dof_3	0.67	dof_2	0.8014544587861052
dof/adj/nrc_handelsblad_20011019_161/147	dof_3	0.67	dof_2	-1.0139009675228468
dof/adj/nrc_handelsblad_20000713_113/290	dof_3	1	dof_2	-0.07694855532540888
dof/adj/nrc_handelsblad_20031110_81/116	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_20040519_92/235	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_19990409_125/115	dof_1	1	dof_2	0.44804513469219875
dof/adj/nrc_handelsblad_20020506_114/301	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_20031220_200/278	dof_1	0.67	dof_2	-0.1109954737924016
dof/adj/nrc_handelsblad_20000913_26/87	dof_3	1	dof_2	0.14389515716602982
dof/adj/nrc_handelsblad_20010806_15/168	dof_2	1	dof_2	0.7521951122183677
dof/adj/nrc_handelsblad_20031215_68/472	dof_1	1	dof_2	0.44804513469219875
dof/adj/nrc_handelsblad_19991231_84/198	dof_4	0.67	dof_2	-0.7047578875383634
