	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geestig/adj/nrc_handelsblad_20010831_117/100/L0	geestig/adj/nrc_handelsblad_20010831_117/100	L0	na	part	na/part	na	True	L	1	-0.08953113	50531.0	7.0
geestig/adj/nrc_handelsblad_20010831_117/100/L1	geestig/adj/nrc_handelsblad_20010831_117/100	L1	flauwiteit	noun	flauwiteit/noun	flauwiteit	True	L	2			
geestig/adj/nrc_handelsblad_20010831_117/100/L2	geestig/adj/nrc_handelsblad_20010831_117/100	L2	enkel	det	enkel/det	enkele	True	L	3	-0.09794193	319878.0	44.0
geestig/adj/nrc_handelsblad_20010831_117/100/L3	geestig/adj/nrc_handelsblad_20010831_117/100	L3	een	det	een/det	een	True	L	4	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20010831_117/100/L4	geestig/adj/nrc_handelsblad_20010831_117/100	L4	op	prep	op/prep	op	True	L	5	-0.23028633	4502370.0	540.0
geestig/adj/nrc_handelsblad_20010831_117/100/L5	geestig/adj/nrc_handelsblad_20010831_117/100	L5	`	punct	`/punct	`	True	L	6			
geestig/adj/nrc_handelsblad_20010831_117/100/L6	geestig/adj/nrc_handelsblad_20010831_117/100	L6	ben	verb	ben/verb	zijn	True	L	7	0.38828874	9938754.0	2217.0
geestig/adj/nrc_handelsblad_20010831_117/100/L7	geestig/adj/nrc_handelsblad_20010831_117/100	L7	verhaal	noun	verhaal/noun	verhalen	True	L	8	2.2468672	117716.0	169.0
geestig/adj/nrc_handelsblad_20010831_117/100/L8	geestig/adj/nrc_handelsblad_20010831_117/100	L8	de	det	de/det	de	True	L	9	-0.34015357	28074105.0	3021.0
geestig/adj/nrc_handelsblad_20010831_117/100/L9	geestig/adj/nrc_handelsblad_20010831_117/100	L9	en	vg	en/vg	en	True	L	10			
geestig/adj/nrc_handelsblad_20010831_117/100/L10	geestig/adj/nrc_handelsblad_20010831_117/100	L10	'	punct	'/punct	'	True	L	11			
geestig/adj/nrc_handelsblad_20010831_117/100/L11	geestig/adj/nrc_handelsblad_20010831_117/100	L11	ontroer	verb	ontroer/verb	ontroeren	True	L	12			
geestig/adj/nrc_handelsblad_20010831_117/100/L12	geestig/adj/nrc_handelsblad_20010831_117/100	L12	te	comp	te/comp	te	True	L	13			
geestig/adj/nrc_handelsblad_20010831_117/100/L13	geestig/adj/nrc_handelsblad_20010831_117/100	L13	toe	adv	toe/adv	toe	True	L	14	1.6990066000000001	32467.0	27.0
geestig/adj/nrc_handelsblad_20010831_117/100/L14	geestig/adj/nrc_handelsblad_20010831_117/100	L14	en	adv	en/adv	en	True	L	15	1.4884271999999998	50456.0	34.0
geestig/adj/nrc_handelsblad_20010831_117/100/L15												
geestig/adj/nrc_handelsblad_20010831_117/100/R0	geestig/adj/nrc_handelsblad_20010831_117/100	R0	en	vg	en/vg	en	True	R	1			
geestig/adj/nrc_handelsblad_20010831_117/100/R1	geestig/adj/nrc_handelsblad_20010831_117/100	R1	goed	adj	goed/adj	goed	True	R	2	0.31662437	987502.0	205.0
geestig/adj/nrc_handelsblad_20010831_117/100/R2	geestig/adj/nrc_handelsblad_20010831_117/100	R2	geschreven	adj	geschreven/adj	geschreven	True	R	3	3.5356581	9393.0	49.0
geestig/adj/nrc_handelsblad_20010831_117/100/R3	geestig/adj/nrc_handelsblad_20010831_117/100	R3	'	punct	'/punct	'	True	R	4			
geestig/adj/nrc_handelsblad_20010831_117/100/R4	geestig/adj/nrc_handelsblad_20010831_117/100	R4	(	punct	(/punct	(	True	R	5			
geestig/adj/nrc_handelsblad_20010831_117/100/R5	geestig/adj/nrc_handelsblad_20010831_117/100	R5	Pieter	name	Pieter/name	Pieter	True	R	6			
geestig/adj/nrc_handelsblad_20010831_117/100/R6	geestig/adj/nrc_handelsblad_20010831_117/100	R6	Steinz	name	Steinz/name	Steinz	True	R	7			
geestig/adj/nrc_handelsblad_20010831_117/100/R7	geestig/adj/nrc_handelsblad_20010831_117/100	R7	,	punct	,/punct	,	True	R	8			
geestig/adj/nrc_handelsblad_20010831_117/100/R8	geestig/adj/nrc_handelsblad_20010831_117/100	R8	3.11.00	num	3.11.00/num	3.11.00	True	R	9			
geestig/adj/nrc_handelsblad_20010831_117/100/R9	geestig/adj/nrc_handelsblad_20010831_117/100	R9	)	punct	)/punct	)	True	R	10			
geestig/adj/nrc_handelsblad_20010831_117/100/R10	geestig/adj/nrc_handelsblad_20010831_117/100	R10	.	punct	./punct	.	True	R	11			
geestig/adj/nrc_handelsblad_20010831_117/100/R11	geestig/adj/nrc_handelsblad_20010831_117/100	R11	sentence_delimiter	none	none	</sentence>	none	R	12			
geestig/adj/nrc_handelsblad_20010831_117/100/R12	geestig/adj/nrc_handelsblad_20010831_117/100	R12	sentence_delimiter	none	none	<sentence>	none	R	13			
geestig/adj/nrc_handelsblad_20010831_117/100/R13	geestig/adj/nrc_handelsblad_20010831_117/100	R13	in	prep	in/prep	In	False	R	14	-0.17375587	9492181.0	1204.0
geestig/adj/nrc_handelsblad_20010831_117/100/R14	geestig/adj/nrc_handelsblad_20010831_117/100	R14	The	name	The/name	The	False	R	15			
geestig/adj/nrc_handelsblad_20010831_117/100/R15												
geestig/adj/nrc_handelsblad_20000915_33/805/L0	geestig/adj/nrc_handelsblad_20000915_33/805	L0	en	vg	en/vg	en	True	L	1			
geestig/adj/nrc_handelsblad_20000915_33/805/L1	geestig/adj/nrc_handelsblad_20000915_33/805	L1	licht	adj	licht/adj	licht	True	L	2	0.64667934	48585.0	14.0
geestig/adj/nrc_handelsblad_20000915_33/805/L2	geestig/adj/nrc_handelsblad_20000915_33/805	L2	een	det	een/det	een	True	L	3	0.27271274	11075723.0	2204.0
geestig/adj/nrc_handelsblad_20000915_33/805/L3	geestig/adj/nrc_handelsblad_20000915_33/805	L3	ook	adv	ook/adv	ook	True	L	4	0.39413226	2214625.0	499.0
geestig/adj/nrc_handelsblad_20000915_33/805/L4	geestig/adj/nrc_handelsblad_20000915_33/805	L4	bied	verb	bied/verb	biedt	True	L	5	0.13440129	86654.0	15.0
geestig/adj/nrc_handelsblad_20000915_33/805/L5	geestig/adj/nrc_handelsblad_20000915_33/805	L5	maar	vg	maar/vg	maar	True	L	6			
geestig/adj/nrc_handelsblad_20000915_33/805/L6	geestig/adj/nrc_handelsblad_20000915_33/805	L6	,	punct	,/punct	,	True	L	7			
geestig/adj/nrc_handelsblad_20000915_33/805/L7	geestig/adj/nrc_handelsblad_20000915_33/805	L7	liefde	noun	liefde/noun	liefde	True	L	8	0.9403427	41505.0	16.0
