_id	_cws.gekleurd.foc10.nav.weight.bound	_count.gekleurd.foc10.nav.weight.bound	_cws.gekleurd.foc10.nav.selection.bound	_count.gekleurd.foc10.nav.selection.bound	_cws.gekleurd.foc10.nav.no.bound	_count.gekleurd.foc10.nav.no.bound	_cws.gekleurd.foc10.all.weight.bound	_count.gekleurd.foc10.all.weight.bound	_cws.gekleurd.foc10.all.selection.bound	_count.gekleurd.foc10.all.selection.bound	_cws.gekleurd.foc10.all.no.bound	_count.gekleurd.foc10.all.no.bound	_cws.gekleurd.foc5.nav.weight.bound	_count.gekleurd.foc5.nav.weight.bound	_cws.gekleurd.foc5.nav.selection.bound	_count.gekleurd.foc5.nav.selection.bound	_cws.gekleurd.foc5.nav.no.bound	_count.gekleurd.foc5.nav.no.bound	_cws.gekleurd.foc5.all.weight.bound	_count.gekleurd.foc5.all.weight.bound	_cws.gekleurd.foc5.all.selection.bound	_count.gekleurd.foc5.all.selection.bound	_cws.gekleurd.foc5.all.no.bound	_count.gekleurd.foc5.all.no.bound
gekleurd/adj/nrc_handelsblad_20010616_65/278	bal/noun;exemplaar/noun;gevuld/adj;liefhebber/noun;set/noun;stalen/adj;vrolijk/adj;water/noun	8	bal/noun;exemplaar/noun;gevuld/adj;liefhebber/noun;set/noun;stalen/adj;vrolijk/adj;water/noun	8	bal/noun;echt/adj;exemplaar/noun;ga/verb;gevuld/adj;liefhebber/noun;set/noun;stalen/adj;vrolijk/adj;water/noun	10	bal/noun;exemplaar/noun;gevuld/adj;liefhebber/noun;met/prep;set/noun;stalen/adj;vrolijk/adj;water/noun	9	bal/noun;exemplaar/noun;gevuld/adj;liefhebber/noun;met/prep;set/noun;stalen/adj;vrolijk/adj;water/noun	9	bal/noun;de/det;echt/adj;exemplaar/noun;ga/verb;gevuld/adj;liefhebber/noun;met/prep;set/noun;stalen/adj;van/prep;vrolijk/adj;water/noun	13	bal/noun;gevuld/adj;stalen/adj;vrolijk/adj;water/noun	5	bal/noun;gevuld/adj;stalen/adj;vrolijk/adj;water/noun	5	bal/noun;gevuld/adj;stalen/adj;vrolijk/adj;water/noun	5	bal/noun;gevuld/adj;met/prep;stalen/adj;vrolijk/adj;water/noun	6	bal/noun;gevuld/adj;met/prep;stalen/adj;vrolijk/adj;water/noun	6	bal/noun;gevuld/adj;met/prep;stalen/adj;vrolijk/adj;water/noun	6
gekleurd/adj/nrc_handelsblad_20011112_101/496	voor/adj	1	voor/adj	1	gebeur/verb;heb/verb;houd/verb;mogelijk/adj;voor/adj;zaterdag/noun	6	voor/adj	1	voor/adj	1	gebeur/verb;heb/verb;het/det;houd/verb;in/prep;mogelijk/adj;voor/adj;zaterdag/noun	8		0		0	gebeur/verb;zaterdag/noun	2		0		0	gebeur/verb;het/det;in/prep;zaterdag/noun	4
gekleurd/adj/nrc_handelsblad_20030722_88/144	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	de/det;waarheid/noun	2	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	waarheid/noun	1	de/det;waarheid/noun	2
gekleurd/adj/nrc_handelsblad_20040323_92/392	buurvrouw/noun;matras/noun;nestel/verb;zwager/noun	4	buurvrouw/noun;matras/noun;nestel/verb;zwager/noun	4	buurvrouw/noun;heb/verb;matras/noun;nestel/verb;zwager/noun	5	buurvrouw/noun;haar/det;matras/noun;met/prep;nestel/verb;op/prep;zwager/noun	7	buurvrouw/noun;haar/det;matras/noun;met/prep;nestel/verb;op/prep;zwager/noun	7	buurvrouw/noun;de/det;haar/det;heb/verb;matras/noun;met/prep;nestel/verb;op/prep;zich/pron;zwager/noun	10	matras/noun;nestel/verb	2	matras/noun;nestel/verb	2	heb/verb;matras/noun;nestel/verb	3	matras/noun;met/prep;nestel/verb;op/prep	4	matras/noun;met/prep;nestel/verb;op/prep	4	de/det;heb/verb;matras/noun;met/prep;nestel/verb;op/prep;zich/pron	7
gekleurd/adj/nrc_handelsblad_20010426_136/775	besta/verb;bestelling/noun;klein/adj;model/noun;prototype/noun;vervaardig/verb	6	besta/verb;bestelling/noun;klein/adj;model/noun;prototype/noun;vervaardig/verb	6	besta/verb;bestelling/noun;kan/verb;klein/adj;model/noun;momenteel/adj;prototype/noun;vervaardig/verb;word/verb	9	alleen/adv;als/prep;besta/verb;bestelling/noun;klein/adj;model/noun;op/prep;prototype/noun;vervaardig/verb	9	alleen/adv;als/prep;besta/verb;bestelling/noun;klein/adj;model/noun;op/prep;prototype/noun;vervaardig/verb	9	alleen/adv;als/prep;besta/verb;bestelling/noun;kan/verb;klein/adj;model/noun;momenteel/adj;op/prep;prototype/noun;vervaardig/verb;word/verb	12	bestelling/noun;klein/adj;model/noun;prototype/noun	4	bestelling/noun;klein/adj;model/noun;prototype/noun	4	bestelling/noun;kan/verb;klein/adj;model/noun;prototype/noun;word/verb	6	bestelling/noun;klein/adj;model/noun;op/prep;prototype/noun	5	bestelling/noun;klein/adj;model/noun;op/prep;prototype/noun	5	bestelling/noun;kan/verb;klein/adj;model/noun;op/prep;prototype/noun;word/verb	7
gekleurd/adj/nrc_handelsblad_20001223_93/258	breng_aan/verb;diagonaal/adj;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj;verticaal/adj	7	breng_aan/verb;diagonaal/adj;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj;verticaal/adj	7	breng_aan/verb;diagonaal/adj;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj;verticaal/adj	7	breng_aan/verb;diagonaal/adj;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj;verticaal/adj	7	breng_aan/verb;diagonaal/adj;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj;verticaal/adj	7	breng_aan/verb;diagonaal/adj;glas/noun;hij/pron;horizontaal/adj;in/prep;lijn/noun;slechts/adv;spaarzaam/adj;verticaal/adj	10	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj	5	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj	5	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj	5	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj	5	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;spaarzaam/adj	5	breng_aan/verb;glas/noun;horizontaal/adj;lijn/noun;slechts/adv;spaarzaam/adj	6
gekleurd/adj/nrc_handelsblad_20020531_79/379	breed/adj	1	breed/adj	1	breed/adj;coalitie/noun;lief/adj;wil/verb	4	breed/adj;een/det	2	breed/adj;een/det	2	breed/adj;coalitie/noun;een/det;ik/pron;lief/adj;wil/verb	6	breed/adj	1	breed/adj	1	breed/adj;coalitie/noun;lief/adj;wil/verb	4	breed/adj;een/det	2	breed/adj;een/det	2	breed/adj;coalitie/noun;een/det;ik/pron;lief/adj;wil/verb	6
gekleurd/adj/nrc_handelsblad_20020119_38/3	bordeel/noun;hip/adj;maak/verb	3	bordeel/noun;hip/adj;maak/verb	3	bordeel/noun;hip/adj;maak/verb	3	bordeel/noun;een/det;elk/det;hip/adj;maak/verb	5	bordeel/noun;een/det;elk/det;hip/adj;maak/verb	5	bordeel/noun;een/det;elk/det;hip/adj;maak/verb;van/prep	6	maak/verb	1	maak/verb	1	maak/verb	1	elk/det;maak/verb	2	elk/det;maak/verb	2	elk/det;maak/verb;van/prep	3
gekleurd/adj/nrc_handelsblad_20010329_127/307	dakpan/noun;genummerd/adj;hoek/noun;houten/adj;ornament/noun;reliëf/noun;tegel/noun;versleten/adj	8	dakpan/noun;genummerd/adj;hoek/noun;houten/adj;ornament/noun;reliëf/noun;tegel/noun;versleten/adj	8	dakpan/noun;genummerd/adj;hoek/noun;houten/adj;ornament/noun;reliëf/noun;tegel/noun;versleten/adj	8	dakpan/noun;een/det;genummerd/adj;hoek/noun;houten/adj;met/prep;ornament/noun;reliëf/noun;tegel/noun;versleten/adj;vol/prep	11	dakpan/noun;een/det;genummerd/adj;hoek/noun;houten/adj;met/prep;ornament/noun;reliëf/noun;tegel/noun;versleten/adj;vol/prep	11	dakpan/noun;een/det;genummerd/adj;hoek/noun;houten/adj;met/prep;ornament/noun;reliëf/noun;tegel/noun;versleten/adj;vol/prep	11	hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj	5	hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj	5	hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj	5	een/det;hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj;vol/prep	7	een/det;hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj;vol/prep	7	een/det;hoek/noun;houten/adj;reliëf/noun;tegel/noun;versleten/adj;vol/prep	7
gekleurd/adj/nrc_handelsblad_19990709_3/579	bloemlezing/noun;gedicht/noun;helder/adj;kat/noun;vele/adj	5	bloemlezing/noun;gedicht/noun;helder/adj;kat/noun;vele/adj	5	bloemlezing/noun;gedicht/noun;helder/adj;kat/noun;vele/adj	5	bloemlezing/noun;door/prep;gedicht/noun;helder/adj;kat/noun;met/prep;vele/adj	7	bloemlezing/noun;door/prep;gedicht/noun;helder/adj;kat/noun;met/prep;vele/adj	7	bloemlezing/noun;door/prep;gedicht/noun;helder/adj;kat/noun;met/prep;over/prep;van/prep;vele/adj	9	helder/adj;vele/adj	2	helder/adj;vele/adj	2	helder/adj;vele/adj	2	door/prep;helder/adj;met/prep;vele/adj	4	door/prep;helder/adj;met/prep;vele/adj	4	door/prep;helder/adj;met/prep;vele/adj	4
