_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
gekleurd.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.16113094176388765	-0.1255631710843445	bound	861	nav	10_10	1	weight	5000	5000	nav	4_4	277	gekleurd	0.23099680147776894
gekleurd.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.1745711432217174	-0.11383021314560364	bound	861	nav	10_10	1	weight	10000	10000	nav	4_4	277	gekleurd	0.23214192022450358
gekleurd.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.20277148646223728	-0.11432852000944392	bound	861	nav	10_10	1	weight	FOC	861	nav	4_4	277	gekleurd	0.2298206427422643
gekleurd.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.15769120502589004	-0.14586002608094553	bound	861	nav	10_10	1	weight	5000	5000	nav	10_10	277	gekleurd	0.2290909132113375
gekleurd.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.1589554017698034	-0.1279531411590633	bound	861	nav	10_10	1	weight	10000	10000	nav	10_10	277	gekleurd	0.2299062126671313
gekleurd.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.19859778486395838	-0.12391077345434894	bound	861	nav	10_10	1	weight	FOC	861	nav	10_10	277	gekleurd	0.219452169257048
gekleurd.foc10.nav.weight.bound.min1.soc4.all.5000	-0.15879674346208833	-0.13419476915622333	bound	861	nav	10_10	1	weight	5000	5000	all	4_4	277	gekleurd	0.23332073513806542
gekleurd.foc10.nav.weight.bound.min1.soc4.all.10000	-0.16581410233163352	-0.11913089469967272	bound	861	nav	10_10	1	weight	10000	10000	all	4_4	277	gekleurd	0.23622582962906707
gekleurd.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.2027714864620721	-0.11432852000938569	bound	861	nav	10_10	1	weight	FOC	861	all	4_4	277	gekleurd	0.2298206427422643
gekleurd.foc10.nav.weight.bound.min1.soc10.all.5000	-0.1615189937149936	-0.15756029660788257	bound	861	nav	10_10	1	weight	5000	5000	all	10_10	277	gekleurd	0.23053449269980758
gekleurd.foc10.nav.weight.bound.min1.soc10.all.10000	-0.15590743454696934	-0.13748158514607603	bound	861	nav	10_10	1	weight	10000	10000	all	10_10	277	gekleurd	0.23421491578221243
gekleurd.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.19859778486583396	-0.12391077345513545	bound	861	nav	10_10	1	weight	FOC	861	all	10_10	277	gekleurd	0.219452169257048
gekleurd.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.04108629267016238	-0.17860822440140603	bound	861	nav	10_10	1	selection	5000	5000	nav	4_4	277	gekleurd	0.24276215021391606
gekleurd.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.03739131945440057	-0.1718247777522181	bound	861	nav	10_10	1	selection	10000	10000	nav	4_4	277	gekleurd	0.2403498009637893
gekleurd.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.09053379151276952	-0.1350802019552326	bound	861	nav	10_10	1	selection	FOC	861	nav	4_4	277	gekleurd	0.23111115507313465
