pmi	raw_freq	raw_co	cw
0.96898574	2192	1	1942/noun
-0.5410606	29771	3	1996/noun
-1.6871542	62906	2	2000/noun
-0.44915202	18321	2	22/noun
1.8878092	16737	19	Afrikaans/adj
0.072475694	49844	9	Amsterdams/adj
3.3527076	203	1	Balinese/adj
0.8946619	9655	4	Braziliaans/adj
2.407137	523	1	Caraïbische/adj
0.36687446	4031	1	Deen/noun
0.58906823	35568	11	Engels/adj
1.0633686	3992	2	Frans/noun
0.080573976	16042	3	Franstalig/adj
1.2814456	3229	2	Indisch/adj
-0.6780437	34697	3	Israëlisch/adj
2.370101	552	1	Mechelaar/noun
1.4147118	4270	3	Mexicaans/adj
0.047958896	241254	43	Nederlands/adj
1.0911094	5850	3	Romeins/adj
2.6095228	433	1	Studio/noun
1.6724775	3261	3	Surinamer/noun
2.524275	6487	14	T-shirt/noun
-0.22818565	124773	17	Vlaams/adj
2.1047132	7928	11	Zuidafrikaans/adj
0.32609195	392664	94	aan/part
-0.12299667	2153601	329	aan/prep
2.0319123	2270	3	aanblik/noun
0.18341807	72257	15	aandacht/noun
1.1963687	1748	1	aangelegd/adj
2.249197	608	1	aangezet/adj
-0.17646304	235279	34	aantal/noun
2.674938	5157	13	abstract/adj
1.7977732	8676	9	accent/noun
3.2833173	1950	9	accessoire/noun
1.7023699	2103	2	achteloos/adj
0.6320266	150814	49	achter/prep
1.2946779	36670	23	acteur/noun
1.4101561	2835	2	adembenemend/adj
-0.9349259	14895	1	af/adj
-0.20852074	321541	45	af/part
-0.6494223	144650	13	afgelopen/adj
0.3500085	4067	1	afgezien/prep
1.7826675	9728	10	afkomst/noun
0.44080883	25991	7	afkomstig/adj
0.2014346	42494	9	afstand/noun
0.5356333	3386	1	aftrek/noun
1.7042652	2111	2	afval_water/noun
0.9093733	2318	1	afwisseling/noun
1.3737282	7303	5	afzonderlijk/adj
-0.22141328	1066466	148	al/adv
3.329671	622	3	alge/noun
-0.47366548	46530	5	algemeen/adj
-0.013413375	422543	72	alle/det
0.15132454	178364	36	alleen/adj
0.22865522	266562	58	alleen/adv
0.08421056	127360	24	allemaal/adv
0.20317794	4720	1	allemaal/pron
1.3032163	37558	24	allerlei/det
-0.12484293	209596	32	alles/noun
0.10927967	1263756	244	als/prep
-0.118580446	292821	45	altijd/adv
-0.38023493	33813	4	alvast/adv
0.050842885	663512	121	ander/adj
0.53531456	142075	42	anders/adj
0.21066709	14095	3	anoniem/adj
3.366156	396	2	antilichaam/noun
2.4102457	2088	4	apartheid/noun
2.2468393	1222	2	apparaat_DIM/noun
-1.1126112	70988	4	april/noun
2.9052408	1586	5	aquarel/noun
2.4900126	476	1	archetypisch/adj
1.852327	908	1	armband/noun
0.9587357	4435	2	arrogant/adj
0.49052536	17727	5	artiest/noun
1.6330074	6775	6	autentiek/adj
2.6788464	1204	3	autoband/noun
0.68034863	8792	3	bak/noun
2.4323056	2033	4	bak_DIM/noun
3.0548294	3005	11	baksteen/noun
1.3221064	50751	33	bal/noun
2.781989	2868	8	bal_DIM/noun
3.1183345	3627	14	ballon/noun
3.187913	477	2	bamboe/noun
1.5772688	2404	2	banaan/noun
0.6409689	3043	1	band_DIM/noun
2.189752	2595	4	bank_DIM/noun
2.728821	380	1	barst_DIM/noun
0.16112481	19607	4	baseer/verb
2.9658074	297	1	bastaard/noun
2.5703218	3976	9	bedek/verb
1.5534855	1244	1	bedevaart/noun
0.053943608	10958	2	bedien/verb
1.2421994	1668	1	bedreig/adj
