_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
geldig.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.19014102458231402	-0.12236831913412803	bound	502	nav	10_10	1	weight	5000	5000	nav	4_4	237	geldig	0.25030654618599313
geldig.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.22469150991331985	-0.13712193179824914	bound	502	nav	10_10	1	weight	10000	10000	nav	4_4	237	geldig	0.24744459216813447
geldig.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.1661705589454976	-0.18459811015169833	bound	502	nav	10_10	1	weight	FOC	502	nav	4_4	237	geldig	0.25728838023357875
geldig.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.18466908843947463	-0.15626195248003388	bound	502	nav	10_10	1	weight	5000	5000	nav	10_10	237	geldig	0.24578794456256825
geldig.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.2151482463177816	-0.1563730714398489	bound	502	nav	10_10	1	weight	10000	10000	nav	10_10	237	geldig	0.2441263404222116
geldig.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.17433217517860408	-0.20967258104155384	bound	502	nav	10_10	1	weight	FOC	502	nav	10_10	237	geldig	0.2345354446962572
geldig.foc10.nav.weight.bound.min1.soc4.all.5000	-0.16062047878825333	-0.12416793742741032	bound	502	nav	10_10	1	weight	5000	5000	all	4_4	237	geldig	0.2541058360416503
geldig.foc10.nav.weight.bound.min1.soc4.all.10000	-0.18286981820355394	-0.12500543083515536	bound	502	nav	10_10	1	weight	10000	10000	all	4_4	237	geldig	0.25291625136984724
geldig.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.1661705589454976	-0.18459811015169833	bound	502	nav	10_10	1	weight	FOC	502	all	4_4	237	geldig	0.25728838023357875
geldig.foc10.nav.weight.bound.min1.soc10.all.5000	-0.1553921114889927	-0.15696800395767424	bound	502	nav	10_10	1	weight	5000	5000	all	10_10	237	geldig	0.24894088955716104
geldig.foc10.nav.weight.bound.min1.soc10.all.10000	-0.1809721413550016	-0.15312842082140773	bound	502	nav	10_10	1	weight	10000	10000	all	10_10	237	geldig	0.24848963193993592
geldig.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.17433217517860408	-0.20967258104155384	bound	502	nav	10_10	1	weight	FOC	502	all	10_10	237	geldig	0.2345354446962572
geldig.foc10.nav.selection.bound.min1.soc4.nav.5000	0.026248266394644847	-0.1475603682937355	bound	502	nav	10_10	1	selection	5000	5000	nav	4_4	237	geldig	0.26175041684555617
