_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
gemeen.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.2451101406578578	-0.06218805550872758	bound	791	nav	10_10	1	weight	5000	5000	nav	4_4	316	gemeen	0.24993902630817785
gemeen.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.25943601774977754	-0.07031574124698554	bound	791	nav	10_10	1	weight	10000	10000	nav	4_4	316	gemeen	0.2488235216225456
gemeen.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.25930088520674416	-0.07403341210205533	bound	791	nav	10_10	1	weight	FOC	791	nav	4_4	316	gemeen	0.2728126082115689
gemeen.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.22473809148327498	-0.039239037142436733	bound	791	nav	10_10	1	weight	5000	5000	nav	10_10	316	gemeen	0.2436570353204512
gemeen.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.2552824037334287	-0.06327418035445699	bound	791	nav	10_10	1	weight	10000	10000	nav	10_10	316	gemeen	0.23459030907191553
gemeen.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.23500474937668356	-0.05274089949216063	bound	791	nav	10_10	1	weight	FOC	791	nav	10_10	316	gemeen	0.26278582229867986
gemeen.foc10.nav.weight.bound.min1.soc4.all.5000	-0.23919549354683262	-0.060578048370851643	bound	791	nav	10_10	1	weight	5000	5000	all	4_4	316	gemeen	0.2513348151897074
gemeen.foc10.nav.weight.bound.min1.soc4.all.10000	-0.2549721315514144	-0.06980515977837515	bound	791	nav	10_10	1	weight	10000	10000	all	4_4	316	gemeen	0.24745867436781227
gemeen.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.2593008853751221	-0.07403341095891319	bound	791	nav	10_10	1	weight	FOC	791	all	4_4	316	gemeen	0.2728126082115689
gemeen.foc10.nav.weight.bound.min1.soc10.all.5000	-0.2149211308311487	-0.03285650136704606	bound	791	nav	10_10	1	weight	5000	5000	all	10_10	316	gemeen	0.2510178946099379
gemeen.foc10.nav.weight.bound.min1.soc10.all.10000	-0.2426861205386781	-0.057017583288871077	bound	791	nav	10_10	1	weight	10000	10000	all	10_10	316	gemeen	0.23905307601846967
gemeen.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.23500474933475385	-0.052740907271697585	bound	791	nav	10_10	1	weight	FOC	791	all	10_10	316	gemeen	0.26278582229867986
gemeen.foc10.nav.selection.bound.min1.soc4.nav.5000	0.04815525528416986	0.22792063970227824	bound	791	nav	10_10	1	selection	5000	5000	nav	4_4	316	gemeen	0.2810625441372059
gemeen.foc10.nav.selection.bound.min1.soc4.nav.10000	0.05527815712555098	0.25707258105384573	bound	791	nav	10_10	1	selection	10000	10000	nav	4_4	316	gemeen	0.27504487944312
gemeen.foc10.nav.selection.bound.min1.soc4.nav.FOC	0.018613187287472566	0.1551151205759232	bound	791	nav	10_10	1	selection	FOC	791	nav	4_4	316	gemeen	0.28749538673930836
gemeen.foc10.nav.selection.bound.min1.soc10.nav.5000	0.03320886820226097	0.18916896367853647	bound	791	nav	10_10	1	selection	5000	5000	nav	10_10	316	gemeen	0.2725056433059783
