pmi	raw_freq	raw_co	cw
1.1487583	11206	4	's/det
0.8582402	3701	1	1965/noun
0.7916634	3955	1	1971/noun
-0.025900561	26842	3	1995/noun
-0.041837312	36388	4	1997/noun
-0.39482325	13107	1	29/noun
-0.06186877	56013	6	Amerikaan/noun
1.0249218	6289	2	Braziliaan/noun
1.8499373	1385	1	Colombiaan/noun
1.0543983	3144	1	Colombiaans/adj
0.16742235	22423	3	EK/noun
-0.5365741	165681	11	Europees/adj
0.5877658	4860	1	Fin/noun
-0.11518741	19659	2	Fransman/noun
0.24388553	13810	2	Grieks/adj
0.66429067	9327	2	Indonesisch/adj
0.18844791	7273	1	Japanner/noun
3.6695132	229	1	Louis/det
-0.59967095	64503	4	Nederlander/noun
-0.043823756	241254	26	Nederlands/adj
1.6154361	3495	2	Oostenrijker/noun
1.1582458	2784	1	Rwandees/adj
-0.060044184	37678	4	Spaans/adj
1.4876517	4018	2	Vaticaan/noun
-0.5706365	124773	8	Vlaams/adj
0.9696137	3336	1	Waal/noun
1.1347388	2893	1	Zuidkoreaans/adj
-0.43858606	392664	29	aan/part
-0.2766249	2153601	187	aan/prep
1.902206	1300	1	aandrang/noun
1.2704003	2453	1	aanmerkelijk/adj
3.6763353	3113	14	aantijging/noun
1.9266348	1269	1	aantoonbaar/adj
-0.023548743	8979	1	aanvoerder/noun
-0.11253148	19470	2	aanwezigheid/noun
1.1399573	5689	2	aardbeving/noun
1.3509725	2350	1	aas/verb
0.019583967	34221	4	absoluut/adj
0.94152087	3403	1	accommodatie/noun
-0.3635661	150814	12	achter/prep
0.41145164	23095	4	achtergrond/noun
1.3043331	28306	12	af/adv
0.059699345	321541	39	af/part
0.37116385	12082	2	affiche/noun
1.6023068	14118	8	agressief/adj
1.9438787	2506	2	akelig/adj
-0.35295734	1066466	86	al/adv
0.70454717	73011	17	al/det
0.45725626	11060	2	album/noun
-0.35442665	176667	14	aldus/prep
0.26437616	422543	63	alle/det
0.11462074	178364	23	alleen/adj
0.10589366	266562	34	alleen/adv
1.6192297	1724	1	allerijl/adv
0.07883863	209596	26	alles/noun
0.38940838	1263756	214	als/prep
1.9449714	1244	1	alter/noun
0.31471938	292821	46	altijd/adv
0.35410127	12314	2	ambitieus/adj
0.12558043	31013	4	ambtenaar/noun
3.3125317	644	2	amok/noun
-0.056960616	663512	72	ander/adj
-1.0132215	23974	1	ander/noun
-0.3061275	142075	12	anders/adj
1.4668012	2013	1	angstaanjagend/adj
0.2165229	14095	2	anoniem/adj
2.525564	2811	4	arbiter/noun
1.0040724	16020	5	artistiek/adj
0.4858684	16083	3	automatisch/adj
2.136675	1039	1	automerk/noun
0.1749971	7340	1	bad/noun
1.068255	3005	1	baksteen/noun
0.72182643	50751	12	bal/noun
3.4958234	262	1	bas_lijn/noun
1.1320615	19607	7	baseer/verb
-0.72497517	35982	2	basis/noun
1.1584117	10958	4	bedien/verb
