_id	_cws.goedkoop.foc10.nav.weight.bound	_count.goedkoop.foc10.nav.weight.bound	_cws.goedkoop.foc10.nav.selection.bound	_count.goedkoop.foc10.nav.selection.bound	_cws.goedkoop.foc10.nav.no.bound	_count.goedkoop.foc10.nav.no.bound	_cws.goedkoop.foc10.all.weight.bound	_count.goedkoop.foc10.all.weight.bound	_cws.goedkoop.foc10.all.selection.bound	_count.goedkoop.foc10.all.selection.bound	_cws.goedkoop.foc10.all.no.bound	_count.goedkoop.foc10.all.no.bound	_cws.goedkoop.foc5.nav.weight.bound	_count.goedkoop.foc5.nav.weight.bound	_cws.goedkoop.foc5.nav.selection.bound	_count.goedkoop.foc5.nav.selection.bound	_cws.goedkoop.foc5.nav.no.bound	_count.goedkoop.foc5.nav.no.bound	_cws.goedkoop.foc5.all.weight.bound	_count.goedkoop.foc5.all.weight.bound	_cws.goedkoop.foc5.all.selection.bound	_count.goedkoop.foc5.all.selection.bound	_cws.goedkoop.foc5.all.no.bound	_count.goedkoop.foc5.all.no.bound
goedkoop/adj/nrc_handelsblad_19991014_35/14	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun;verwerk/verb	6	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun;verwerk/verb	6	bedrijf/noun;boer/noun;eigen/adj;ga/verb;help/verb;mest/noun;verwerk/verb	7	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun;verwerk/verb	6	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun;verwerk/verb	6	bedrijf/noun;boer/noun;eigen/adj;ga/verb;help/verb;het/det;mest/noun;op/prep;verwerk/verb	9	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun	5	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun	5	bedrijf/noun;boer/noun;eigen/adj;ga/verb;help/verb;mest/noun	6	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun	5	bedrijf/noun;boer/noun;eigen/adj;help/verb;mest/noun	5	bedrijf/noun;boer/noun;eigen/adj;ga/verb;help/verb;het/det;mest/noun;op/prep	8
goedkoop/adj/nrc_handelsblad_20000805_127/272	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	door/prep;genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	7	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	6	door/prep;genetisch/adj;kan/verb;modificatie/noun;produceer/verb;word/verb;zal/verb	7
goedkoop/adj/nrc_handelsblad_20040221_196/122	ben/verb;goed/adj;technologie/noun;uiteindelijk/adj	4	ben/verb;goed/adj;technologie/noun;uiteindelijk/adj	4	ben/verb;eenmaal/noun;ga/verb;goed/adj;leg_uit/verb;technologie/noun;uiteindelijk/adj;zie_in/verb	8	ben/verb;dat/det;goed/adj;ons/det;technologie/noun;uit/part;uiteindelijk/adj;ze/pron	8	ben/verb;dat/det;goed/adj;ons/det;technologie/noun;uit/part;uiteindelijk/adj;ze/pron	8	ben/verb;dat/det;eenmaal/noun;ga/verb;goed/adj;leg_uit/verb;ons/det;technologie/noun;uit/part;uiteindelijk/adj;ze/pron;zie_in/verb	12	ben/verb;goed/adj;technologie/noun;uiteindelijk/adj	4	ben/verb;goed/adj;technologie/noun;uiteindelijk/adj	4	ben/verb;goed/adj;technologie/noun;uiteindelijk/adj	4	ben/verb;goed/adj;ons/det;technologie/noun;uiteindelijk/adj;ze/pron	6	ben/verb;goed/adj;ons/det;technologie/noun;uiteindelijk/adj;ze/pron	6	ben/verb;goed/adj;ons/det;technologie/noun;uiteindelijk/adj;ze/pron	6
goedkoop/adj/nrc_handelsblad_20030522_86/294	ben/verb;beweer/verb;keten/noun	3	ben/verb;beweer/verb;keten/noun	3	ben/verb;beweer/verb;indruk/noun;keten/noun;ontsta/verb	5	ben/verb;beweer/verb;keten/noun;niet/adv;wel/adv;zo/adv	6	ben/verb;beweer/verb;keten/noun;niet/adv;wel/adv;zo/adv	6	ben/verb;beweer/verb;de/det;helemaal/adv;indruk/noun;keten/noun;niet/adv;ontsta/verb;wel/adv;zo/adv	10	ben/verb;keten/noun	2	ben/verb;keten/noun	2	ben/verb;keten/noun	2	ben/verb;keten/noun;niet/adv;wel/adv;zo/adv	5	ben/verb;keten/noun;niet/adv;wel/adv;zo/adv	5	ben/verb;de/det;helemaal/adv;keten/noun;niet/adv;wel/adv;zo/adv	7
goedkoop/adj/nrc_handelsblad_20000325_120/378	ander/adj;concurrentie/noun;even/adj;kan/verb;zal/verb	5	ander/adj;concurrentie/noun;even/adj;kan/verb;zal/verb	5	ander/adj;concurrentie/noun;doe/verb;even/adj;houd/verb;kan/verb;partij/noun;zal/verb	8	altijd/adv;ander/adj;concurrentie/noun;dat/det;die/pron;even/adj;kan/verb;ook/adv;zal/verb	9	altijd/adv;ander/adj;concurrentie/noun;dat/det;die/pron;even/adj;kan/verb;ook/adv;zal/verb	9	altijd/adv;ander/adj;concurrentie/noun;dat/det;die/pron;doe/verb;even/adj;houd/verb;kan/verb;met/prep;ook/adv;partij/noun;zal/verb	13	ander/adj;even/adj;kan/verb	3	ander/adj;even/adj;kan/verb	3	ander/adj;doe/verb;even/adj;kan/verb;partij/noun	5	ander/adj;dat/det;die/pron;even/adj;kan/verb;ook/adv	6	ander/adj;dat/det;die/pron;even/adj;kan/verb;ook/adv	6	ander/adj;dat/det;die/pron;doe/verb;even/adj;kan/verb;ook/adv;partij/noun	8
goedkoop/adj/nrc_handelsblad_20020302_35/513	ben/verb;erg/adj;eten/noun;goed/adj;nadeel/noun;vrij/adj	6	ben/verb;erg/adj;eten/noun;goed/adj;nadeel/noun;vrij/adj	6	ben/verb;erg/adj;eten/noun;goed/adj;heb/verb;nadeel/noun;vrij/adj	7	ben/verb;erg/adj;eten/noun;goed/adj;nadeel/noun;niet/adv;overigens/adv;vrij/adj	8	ben/verb;erg/adj;eten/noun;goed/adj;nadeel/noun;niet/adv;overigens/adv;vrij/adj	8	ben/verb;er/adv;erg/adj;eten/noun;goed/adj;heb/verb;het/det;nadeel/noun;niet/adv;overigens/adv;vrij/adj	11	ben/verb;erg/adj;eten/noun;vrij/adj	4	ben/verb;erg/adj;eten/noun;vrij/adj	4	ben/verb;erg/adj;eten/noun;vrij/adj	4	ben/verb;erg/adj;eten/noun;niet/adv;overigens/adv;vrij/adj	6	ben/verb;erg/adj;eten/noun;niet/adv;overigens/adv;vrij/adj	6	ben/verb;er/adv;erg/adj;eten/noun;het/det;niet/adv;overigens/adv;vrij/adj	8
goedkoop/adj/nrc_handelsblad_20001107_29/82	Zuidamerikaans/adj;arbeid_kracht/noun;bied_aan/verb;lok/verb;word/verb	5	Zuidamerikaans/adj;arbeid_kracht/noun;bied_aan/verb;lok/verb;word/verb	5	Zuidamerikaans/adj;arbeid_kracht/noun;bied_aan/verb;club/noun;lok/verb;speler/noun;word/verb	7	Zuidamerikaans/adj;arbeid_kracht/noun;bied_aan/verb;lok/verb;naar/prep;word/verb	6	Zuidamerikaans/adj;arbeid_kracht/noun;bied_aan/verb;lok/verb;naar/prep;word/verb	6	Zuidamerikaans/adj;aan/prep;arbeid_kracht/noun;bied_aan/verb;club/noun;de/det;lok/verb;naar/prep;speler/noun;word/verb	10	arbeid_kracht/noun;lok/verb;word/verb	3	arbeid_kracht/noun;lok/verb;word/verb	3	arbeid_kracht/noun;club/noun;lok/verb;word/verb	4	arbeid_kracht/noun;lok/verb;word/verb	3	arbeid_kracht/noun;lok/verb;word/verb	3	aan/prep;arbeid_kracht/noun;club/noun;de/det;lok/verb;word/verb	6
goedkoop/adj/nrc_handelsblad_20040109_143/151	ben/verb;schaars/adj;straat_beeld/noun	3	ben/verb;schaars/adj;straat_beeld/noun	3	ben/verb;neem_op/verb;reeks/noun;schaars/adj;straat_beeld/noun	5	ben/verb;schaars/adj;straat_beeld/noun;uit/prep	4	ben/verb;schaars/adj;straat_beeld/noun;uit/prep	4	ben/verb;de/det;het/det;in/prep;neem_op/verb;reeks/noun;schaars/adj;straat_beeld/noun;uit/prep	9	ben/verb;straat_beeld/noun	2	ben/verb;straat_beeld/noun	2	ben/verb;neem_op/verb;reeks/noun;straat_beeld/noun	4	ben/verb;straat_beeld/noun	2	ben/verb;straat_beeld/noun	2	ben/verb;het/det;in/prep;neem_op/verb;reeks/noun;straat_beeld/noun	6
goedkoop/adj/nrc_handelsblad_20020904_35/76	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;omstreden/adj;opkomst/noun	4	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	bij/prep;de/det;draadloos/adj;internet/verb;omstreden/adj;opkomst/noun;van/prep	7	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	draadloos/adj;internet/verb;opkomst/noun	3	de/det;draadloos/adj;internet/verb;opkomst/noun;van/prep	5
goedkoop/adj/nrc_handelsblad_20020516_44/82	ben/verb;populist/noun	2	ben/verb;populist/noun	2	ben/verb;besef/noun;bevolking/noun;groei/verb;haarscherp/adj;neem_waar/verb;populist/noun;wetenschapper/noun	8	ben/verb;die/pron;een/det;populist/noun	4	ben/verb;die/pron;een/det;populist/noun	4	ben/verb;besef/noun;bevolking/noun;de/det;die/pron;een/det;geen/det;groei/verb;haarscherp/adj;het/det;neem_waar/verb;populist/noun;van/prep;wat/pron;wetenschapper/noun	15	ben/verb;populist/noun	2	ben/verb;populist/noun	2	ben/verb;groei/verb;populist/noun	3	ben/verb;een/det;populist/noun	3	ben/verb;een/det;populist/noun	3	ben/verb;een/det;geen/det;groei/verb;populist/noun	5
