_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.2102331634843206	-0.060941651220884734	bound	nav	10_10	weight	724	1	5000	5000	nav	4_4	311	grijs	0.25589703822264614
grijs.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.22120423781816084	-0.04863344473817952	bound	nav	10_10	weight	724	1	10000	10000	nav	4_4	311	grijs	0.2528825580405782
grijs.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.24100363123232357	-0.07171190848952369	bound	nav	10_10	weight	724	1	FOC	724	nav	4_4	311	grijs	0.2534815734690278
grijs.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.2147222424989021	-0.08377137983044794	bound	nav	10_10	weight	724	1	5000	5000	nav	10_10	311	grijs	0.24851513228032004
grijs.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.2063797650013931	-0.06852052950505465	bound	nav	10_10	weight	724	1	10000	10000	nav	10_10	311	grijs	0.24592227720017237
grijs.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.2506550294048229	-0.07673070614696499	bound	nav	10_10	weight	724	1	FOC	724	nav	10_10	311	grijs	0.2408190557536054
grijs.foc10.nav.weight.bound.min1.soc4.all.5000	-0.2118442254067467	-0.07080877124331854	bound	nav	10_10	weight	724	1	5000	5000	all	4_4	311	grijs	0.25653388259394216
grijs.foc10.nav.weight.bound.min1.soc4.all.10000	-0.20413784150158715	-0.05161706896650054	bound	nav	10_10	weight	724	1	10000	10000	all	4_4	311	grijs	0.25448544695167347
grijs.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.24100351847089277	-0.07171207824203796	bound	nav	10_10	weight	724	1	FOC	724	all	4_4	311	grijs	0.2534815734690278
grijs.foc10.nav.weight.bound.min1.soc10.all.5000	-0.2235111694104797	-0.09735033431370661	bound	nav	10_10	weight	724	1	5000	5000	all	10_10	311	grijs	0.24861583966372516
grijs.foc10.nav.weight.bound.min1.soc10.all.10000	-0.20196496022734797	-0.0744478219370685	bound	nav	10_10	weight	724	1	10000	10000	all	10_10	311	grijs	0.2483514092274459
grijs.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.2506550294048229	-0.07673070614696499	bound	nav	10_10	weight	724	1	FOC	724	all	10_10	311	grijs	0.2408190557536054
grijs.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.16581076246379634	-0.21759424051042955	bound	nav	10_10	selection	724	1	5000	5000	nav	4_4	311	grijs	0.25269923548210865
grijs.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.151045413515293	-0.22469527047018154	bound	nav	10_10	selection	724	1	10000	10000	nav	4_4	311	grijs	0.24829631836268157
grijs.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.16288514023012524	-0.1324678236312959	bound	nav	10_10	selection	724	1	FOC	724	nav	4_4	311	grijs	0.2484184823582475
grijs.foc10.nav.selection.bound.min1.soc10.nav.5000	-0.17935244894397323	-0.19918286788627235	bound	nav	10_10	selection	724	1	5000	5000	nav	10_10	311	grijs	0.24645905243188557
grijs.foc10.nav.selection.bound.min1.soc10.nav.10000	-0.1618809086365273	-0.19071516001833647	bound	nav	10_10	selection	724	1	10000	10000	nav	10_10	311	grijs	0.2443690538830936
grijs.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.1749476575477052	-0.14261079609444552	bound	nav	10_10	selection	724	1	FOC	724	nav	10_10	311	grijs	0.23394393574352876
grijs.foc10.nav.selection.bound.min1.soc4.all.5000	-0.17179366631723214	-0.23998155444989822	bound	nav	10_10	selection	724	1	5000	5000	all	4_4	311	grijs	0.255554835301926
grijs.foc10.nav.selection.bound.min1.soc4.all.10000	-0.14829583608591157	-0.22411997343963486	bound	nav	10_10	selection	724	1	10000	10000	all	4_4	311	grijs	0.25368578764268007
grijs.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.162884991263911	-0.13246793032929963	bound	nav	10_10	selection	724	1	FOC	724	all	4_4	311	grijs	0.2484184823582475
grijs.foc10.nav.selection.bound.min1.soc10.all.5000	-0.1922718583468605	-0.21869795955385754	bound	nav	10_10	selection	724	1	5000	5000	all	10_10	311	grijs	0.25011200888424406
grijs.foc10.nav.selection.bound.min1.soc10.all.10000	-0.16812543301515132	-0.19334049748391566	bound	nav	10_10	selection	724	1	10000	10000	all	10_10	311	grijs	0.24950835120543022
