_id	popular	pop_agree	batch	pop_conf
grijs/adj/nrc_handelsblad_20020717_6/269	grijs_6	1	grijs_1	-0.3441567864149215
grijs/adj/nrc_handelsblad_19991005_94/174	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20000111_26/106	no_agreement	0.33	grijs_1	-1.401200687716856
grijs/adj/nrc_handelsblad_20010906_0/595	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20011129_53/505	grijs_3	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20030820_05/321	grijs_6	0.67	grijs_1	-0.3490939696188601
grijs/adj/nrc_handelsblad_20001020_117/574	no_agreement	0.33	grijs_1	-0.4950255632180035
grijs/adj/nrc_handelsblad_20001207_156/890	grijs_5	0.67	grijs_1	-0.6717539612466679
grijs/adj/nrc_handelsblad_20000617_13/601	grijs_3	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020712_29/1197	grijs_1	1	grijs_1	0.4836326017699152
grijs/adj/nrc_handelsblad_20010731_65/192	grijs_6	1	grijs_1	-0.8828748407464573
grijs/adj/nrc_handelsblad_20001125_93/131	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20040605_214/475	grijs_1	0.67	grijs_1	0.11073081578758631
grijs/adj/nrc_handelsblad_20021009_135/356	grijs_1	0.67	grijs_1	0.6051103253703604
grijs/adj/nrc_handelsblad_19990702_153/664	grijs_1	1	grijs_1	0.5040248091310523
grijs/adj/nrc_handelsblad_19991004_26/297	grijs_3	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20031213_115/145	grijs_6	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20040331_136/247	grijs_4	0.67	grijs_1	0.2870422270406202
grijs/adj/nrc_handelsblad_20001216_64/672	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020510_127/668	grijs_4	1	grijs_1	0.12071842608033966
grijs/adj/nrc_handelsblad_20020202_193/369	grijs_6	0.67	grijs_1	-0.8696912638281293
grijs/adj/nrc_handelsblad_19991007_7/1734	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020919_122/276	grijs_3	0.67	grijs_1	0.7962332862352102
grijs/adj/nrc_handelsblad_20000406_101/823	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020719_12/479	grijs_3	0.67	grijs_1	0.7962332862352102
grijs/adj/nrc_handelsblad_19990417_120/620	grijs_4	0.67	grijs_1	0.6051103253703604
grijs/adj/nrc_handelsblad_19990415_204/241	grijs_1	0.67	grijs_1	-1.5928177539169277
grijs/adj/nrc_handelsblad_20001101_126/19	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20000224_137/286	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020506_57/22	grijs_1	1	grijs_1	-0.8624826333853202
grijs/adj/nrc_handelsblad_19990402_149/564	grijs_1	1	grijs_1	0.5040248091310523
grijs/adj/nrc_handelsblad_20020930_52/10	grijs_5	0.67	grijs_1	0.22127371165914125
grijs/adj/nrc_handelsblad_20010413_10/717	grijs_6	0.67	grijs_1	-0.6671620679486003
grijs/adj/nrc_handelsblad_20020618_88/553	grijs_4	1	grijs_1	0.5040248091310523
grijs/adj/nrc_handelsblad_20000204_139/142	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20020202_102/272	grijs_6	0.67	grijs_1	-1.1877593621578697
grijs/adj/nrc_handelsblad_20000807_60/486	no_agreement	0.33	grijs_1	-1.7482655505230356
grijs/adj/nrc_handelsblad_20010830_0/875	grijs_1	1	grijs_1	0.6956780006564086
grijs/adj/nrc_handelsblad_20000623_103/244	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/nrc_handelsblad_20000403_114/616	grijs_5	0.67	grijs_2	-0.45713530448306694
grijs/adj/nrc_handelsblad_20000712_137/443	grijs_4	1	grijs_2	0.0649690472366888
grijs/adj/volkskrant_20001219_76/788	grijs_1	1	grijs_2	0.0649690472366888
grijs/adj/volkskrant_20010908_168/1127	grijs_1	1	grijs_2	0.0649690472366888
grijs/adj/volkskrant_20030517_256/238	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20000715_112/1259	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20020523_113/343	grijs_5	1	grijs_2	0.0649690472366888
grijs/adj/volkskrant_20010512_16/635	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20010216_60/1192	no_agreement	0.33	grijs_2	-1.5208562718093743
grijs/adj/volkskrant_20020115_37/135	grijs_5	0.67	grijs_2	-2.029479492012328
grijs/adj/volkskrant_19990212_1872/32	grijs_4	0.67	grijs_2	-3.2410753323379895
grijs/adj/volkskrant_20000427_111/963	grijs_1	1	grijs_2	0.0649690472366888
