_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.23973777804773785	-0.014407211320347365	bound	nav	10_10	weight	555	1	5000	5000	nav	4_4	238	hachelijk	0.24916530316099206
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.24945936865604537	-0.02299132423913723	bound	nav	10_10	weight	555	1	10000	10000	nav	4_4	238	hachelijk	0.23932331474187576
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.2175369553826375	-0.038585650627462525	bound	nav	10_10	weight	555	1	FOC	555	nav	4_4	238	hachelijk	0.24473821321048975
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.2316188970984234	0.0029479657916586404	bound	nav	10_10	weight	555	1	5000	5000	nav	10_10	238	hachelijk	0.22494862665440848
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.23658052466279508	-0.00354786085675793	bound	nav	10_10	weight	555	1	10000	10000	nav	10_10	238	hachelijk	0.22312256511893214
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.2090408243218533	-0.01940707225651363	bound	nav	10_10	weight	555	1	FOC	555	nav	10_10	238	hachelijk	0.23179595149029522
hachelijk.foc10.nav.weight.bound.min1.soc4.all.5000	-0.23435878952740363	-0.013897643566063036	bound	nav	10_10	weight	555	1	5000	5000	all	4_4	238	hachelijk	0.25000947864884143
hachelijk.foc10.nav.weight.bound.min1.soc4.all.10000	-0.24280475039128496	-0.019746931651556457	bound	nav	10_10	weight	555	1	10000	10000	all	4_4	238	hachelijk	0.24228281170505134
hachelijk.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.21753695614805996	-0.03858564381251484	bound	nav	10_10	weight	555	1	FOC	555	all	4_4	238	hachelijk	0.24473821321048975
hachelijk.foc10.nav.weight.bound.min1.soc10.all.5000	-0.22619525953960146	0.006594333115513409	bound	nav	10_10	weight	555	1	5000	5000	all	10_10	238	hachelijk	0.22676839849558728
hachelijk.foc10.nav.weight.bound.min1.soc10.all.10000	-0.23601751564602114	6.56709553272636e-4	bound	nav	10_10	weight	555	1	10000	10000	all	10_10	238	hachelijk	0.22119608306811855
hachelijk.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.20904082420460904	-0.019407072203334836	bound	nav	10_10	weight	555	1	FOC	555	all	10_10	238	hachelijk	0.23179595149029522
hachelijk.foc10.nav.selection.bound.min1.soc4.nav.5000	0.04614996729346121	0.2364372346105497	bound	nav	10_10	selection	555	1	5000	5000	nav	4_4	238	hachelijk	0.2640644537328701
hachelijk.foc10.nav.selection.bound.min1.soc4.nav.10000	0.029333089501509174	0.22285008516534816	bound	nav	10_10	selection	555	1	10000	10000	nav	4_4	238	hachelijk	0.264306147437225
hachelijk.foc10.nav.selection.bound.min1.soc4.nav.FOC	0.0541579201839532	0.1674801330171693	bound	nav	10_10	selection	555	1	FOC	555	nav	4_4	238	hachelijk	0.2544556650738305
hachelijk.foc10.nav.selection.bound.min1.soc10.nav.5000	0.060277605375739174	0.22447605812474442	bound	nav	10_10	selection	555	1	5000	5000	nav	10_10	238	hachelijk	0.24904291045117946
hachelijk.foc10.nav.selection.bound.min1.soc10.nav.10000	0.04340308138695333	0.2202561918714445	bound	nav	10_10	selection	555	1	10000	10000	nav	10_10	238	hachelijk	0.24953420217511918
