cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_20010405_29/236/L0	hoekig/adj/nrc_handelsblad_20010405_29/236	L0	in	prep	in/prep	in	True	L	1	-0.101870835	9492181	406	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L1	hoekig/adj/nrc_handelsblad_20010405_29/236	L1	tafereel	noun	tafereel/noun	tafereel	True	L	2	1.2706333	5910	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L2	hoekig/adj/nrc_handelsblad_20010405_29/236	L2	het	det	het/det	het	True	L	3	-0.1670006	11650779	468	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L3	hoekig/adj/nrc_handelsblad_20010405_29/236	L3	beschrijf	verb	beschrijf/verb	beschrijft	True	L	4	-0.05909964400000001	22233	1	TRUE	FALSE	FALSE	1
hoekig/adj/nrc_handelsblad_20010405_29/236/L4	hoekig/adj/nrc_handelsblad_20010405_29/236	L4	Ferron	name	Ferron/name	Ferron	True	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L5	hoekig/adj/nrc_handelsblad_20010405_29/236	L5	sentence_delimiter	none	none	<sentence>	none	L	6	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L6	hoekig/adj/nrc_handelsblad_20010405_29/236	L6	sentence_delimiter	none	none	</sentence>	none	L	7	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L7	hoekig/adj/nrc_handelsblad_20010405_29/236	L7	.	punct	./punct	.	False	L	8	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L8	hoekig/adj/nrc_handelsblad_20010405_29/236	L8	vast	part	vast/part	vast	False	L	9	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L9	hoekig/adj/nrc_handelsblad_20010405_29/236	L9	niet	adv	niet/adv	niet	False	L	10	-0.5057626000000001	3455007	99	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L10	hoekig/adj/nrc_handelsblad_20010405_29/236	L10	sta_vast	verb	sta_vast/verb	staat	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L11	hoekig/adj/nrc_handelsblad_20010405_29/236	L11	,	punct	,/punct	,	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L12	hoekig/adj/nrc_handelsblad_20010405_29/236	L12	krijg	verb	krijg/verb	krijgen	False	L	13	-0.34603906	746610	25	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L13	hoekig/adj/nrc_handelsblad_20010405_29/236	L13	vast	adj	vast/adj	vast	False	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L14	hoekig/adj/nrc_handelsblad_20010405_29/236	L14	weer	adv	weer/adv	weer	False	L	15	0.24759796	396780	24	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/L15	hoekig/adj/nrc_handelsblad_20010405_29/236	L15	ooit	adv	ooit/adv	ooit	False	L	16	-0.23418665	106607	4	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R0	hoekig/adj/nrc_handelsblad_20010405_29/236	R0	,	punct	,/punct	,	True	R	1	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R1	hoekig/adj/nrc_handelsblad_20010405_29/236	R1	onaf	adj	onaf/adj	onaffe	True	R	2	5.022485700000001	277	2	TRUE	FALSE	TRUE	2
hoekig/adj/nrc_handelsblad_20010405_29/236/R2	hoekig/adj/nrc_handelsblad_20010405_29/236	R2	spier_bal_zinnetje	noun	spier_bal_zinnetje/noun	spierballenzinnetjes	True	R	3	NA	NA	NA	TRUE	TRUE	TRUE	3
hoekig/adj/nrc_handelsblad_20010405_29/236/R3	hoekig/adj/nrc_handelsblad_20010405_29/236	R3	met	prep	met/prep	met	True	R	4	0.64480525	4230163	383	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R4	hoekig/adj/nrc_handelsblad_20010405_29/236	R4	een	det	een/det	een	True	R	5	0.31287128	11075723	720	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R5	hoekig/adj/nrc_handelsblad_20010405_29/236	R5	raak	adj	raak/adj	raak	True	R	6	2.3318675	8166	4	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R6	hoekig/adj/nrc_handelsblad_20010405_29/236	R6	soort	noun	soort/noun	soort	True	R	7	0.73565453	100421	10	FALSE	FALSE	FALSE	0
