_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.0028119226102137126	-0.2405901416474231	bound	nav	10_10	weight	887	1	5000	5000	nav	4_4	277	hoekig	0.2433612963584288
hoekig.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.00255296610271018	-0.23073877867332226	bound	nav	10_10	weight	887	1	10000	10000	nav	4_4	277	hoekig	0.2438268408895749
hoekig.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.006952719362971464	-0.20311224109719575	bound	nav	10_10	weight	887	1	FOC	887	nav	4_4	277	hoekig	0.23470148394434978
hoekig.foc10.nav.weight.bound.min1.soc10.nav.5000	0.0046130369488161915	-0.2655951117168534	bound	nav	10_10	weight	887	1	5000	5000	nav	10_10	277	hoekig	0.23423982485176523
hoekig.foc10.nav.weight.bound.min1.soc10.nav.10000	9.560271705693335e-4	-0.24717699898557038	bound	nav	10_10	weight	887	1	10000	10000	nav	10_10	277	hoekig	0.2415304530296086
hoekig.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.008789889526325763	-0.21352109062775423	bound	nav	10_10	weight	887	1	FOC	887	nav	10_10	277	hoekig	0.22747517674797943
hoekig.foc10.nav.weight.bound.min1.soc4.all.5000	-6.978607125071453e-4	-0.25647060911905517	bound	nav	10_10	weight	887	1	5000	5000	all	4_4	277	hoekig	0.2434133811663488
hoekig.foc10.nav.weight.bound.min1.soc4.all.10000	-0.003924428074219679	-0.23517480988359268	bound	nav	10_10	weight	887	1	10000	10000	all	4_4	277	hoekig	0.24460747897398075
hoekig.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.006952719362971873	-0.20311224109719703	bound	nav	10_10	weight	887	1	FOC	887	all	4_4	277	hoekig	0.23470148394434978
hoekig.foc10.nav.weight.bound.min1.soc10.all.5000	2.4793970195590093e-4	-0.2823932661549715	bound	nav	10_10	weight	887	1	5000	5000	all	10_10	277	hoekig	0.23275258922489872
hoekig.foc10.nav.weight.bound.min1.soc10.all.10000	-0.005349276994455462	-0.2598079759968637	bound	nav	10_10	weight	887	1	10000	10000	all	10_10	277	hoekig	0.23512429118766323
hoekig.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.008789889480380978	-0.21352109058867538	bound	nav	10_10	weight	887	1	FOC	887	all	10_10	277	hoekig	0.22747517674797943
hoekig.foc10.nav.selection.bound.min1.soc4.nav.5000	0.055795159033080695	-0.2655538146583246	bound	nav	10_10	selection	887	1	5000	5000	nav	4_4	277	hoekig	0.24098906202297007
hoekig.foc10.nav.selection.bound.min1.soc4.nav.10000	0.05827534938417628	-0.2577748460180501	bound	nav	10_10	selection	887	1	10000	10000	nav	4_4	277	hoekig	0.23582912480735513
hoekig.foc10.nav.selection.bound.min1.soc4.nav.FOC	0.04109990780022131	-0.2049143171966702	bound	nav	10_10	selection	887	1	FOC	887	nav	4_4	277	hoekig	0.2227737154340097
hoekig.foc10.nav.selection.bound.min1.soc10.nav.5000	0.07480632576848206	-0.2639134670205822	bound	nav	10_10	selection	887	1	5000	5000	nav	10_10	277	hoekig	0.23670279509148548
hoekig.foc10.nav.selection.bound.min1.soc10.nav.10000	0.07211187588376143	-0.23384933305475053	bound	nav	10_10	selection	887	1	10000	10000	nav	10_10	277	hoekig	0.2353567725325798
hoekig.foc10.nav.selection.bound.min1.soc10.nav.FOC	0.05683869045054973	-0.2076894163476381	bound	nav	10_10	selection	887	1	FOC	887	nav	10_10	277	hoekig	0.2144961738432018
