_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.2297202285432125	-0.13945831260033104	577	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	309	hoop	0.2796157924367418
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.23975761920778008	-0.17321834465947475	577	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	309	hoop	0.2662959897780034
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.2504455894288397	-0.15442318180167708	577	1	nav	bound	ppmi_weight	10_10	foc	577	nav	4_4	309	hoop	0.2990308020850162
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.22238648565540137	-0.10935115259379186	577	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	309	hoop	0.2750561424399341
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.2341207853343084	-0.15603054844729172	577	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	309	hoop	0.2669796482482816
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.24504947525959933	-0.1260602452010655	577	1	nav	bound	ppmi_weight	10_10	foc	577	nav	10_10	309	hoop	0.285230447467181
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.21717327550240345	-0.13053062327739035	577	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	309	hoop	0.284187352125251
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.22785154489157566	-0.15586594751587832	577	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	309	hoop	0.27444932800363825
hoop.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.25044585766874505	-0.15442318028425667	577	1	nav	bound	ppmi_weight	10_10	foc	577	all	4_4	309	hoop	0.2995489010046303
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.21443843560364287	-0.09928068371972808	577	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	309	hoop	0.2793554067856144
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.22013670776616925	-0.1347835681181629	577	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	309	hoop	0.2746395479570358
hoop.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.24504932528191767	-0.12606024374977925	577	1	nav	bound	ppmi_weight	10_10	foc	577	all	10_10	309	hoop	0.285230447467181
hoop.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.16995173843225475	0.18592541468596643	577	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	309	hoop	0.28055184028407787
