	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
hoopvol/adj/nrc_handelsblad_20030620_101/383/L0	hoopvol/adj/nrc_handelsblad_20030620_101/383	L0	even	adj	even/adj	even	True	L	1	0.60773814	172619.0	44.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L1	hoopvol/adj/nrc_handelsblad_20030620_101/383	L1	al	adv	al/adv	al	True	L	2	0.08040897	1066466.0	161.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L2	hoopvol/adj/nrc_handelsblad_20030620_101/383	L2	een	det	een/det	een	True	L	3	0.045558932999999996	11075723.0	1612.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L3	hoopvol/adj/nrc_handelsblad_20030620_101/383	L3	dat	pron	dat/pron	dat	True	L	4	-0.055186953	552171.0	73.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L4	hoopvol/adj/nrc_handelsblad_20030620_101/383	L4	Tiravanija	name	Tiravanija/name	Tiravanija	True	L	5			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L5	hoopvol/adj/nrc_handelsblad_20030620_101/383	L5	Rirkrit	name	Rirkrit/name	Rirkrit	True	L	6			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L6	hoopvol/adj/nrc_handelsblad_20030620_101/383	L6	kunstenaar	noun	kunstenaar/noun	kunstenaar	True	L	7	-0.054536697	45774.0	6.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L7	hoopvol/adj/nrc_handelsblad_20030620_101/383	L7	Argentijns	adj	Argentijns/adj	Argentijnse	True	L	8	0.9824831	8234.0	3.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L8	hoopvol/adj/nrc_handelsblad_20030620_101/383	L8	de	det	de/det	de	True	L	9	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L9	hoopvol/adj/nrc_handelsblad_20030620_101/383	L9	van	prep	van/prep	van	True	L	10	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L10	hoopvol/adj/nrc_handelsblad_20030620_101/383	L10	schilderij_DIM	noun	schilderij_DIM/noun	schilderijtje	True	L	11			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L11	hoopvol/adj/nrc_handelsblad_20030620_101/383	L11	piepklein	adj	piepklein/adj	piepklein	True	L	12			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L12	hoopvol/adj/nrc_handelsblad_20030620_101/383	L12	een	det	een/det	een	True	L	13	0.045558932999999996	11075723.0	1612.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/L13	hoopvol/adj/nrc_handelsblad_20030620_101/383	L13	hang	verb	hang/verb	hangt	True	L	14			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L14	hoopvol/adj/nrc_handelsblad_20030620_101/383	L14	verderop	adj	verderop/adj	verderop	True	L	15			
hoopvol/adj/nrc_handelsblad_20030620_101/383/L15	hoopvol/adj/nrc_handelsblad_20030620_101/383	L15	even	adj	even/adj	Even	True	L	16	0.60773814	172619.0	44.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R0	hoopvol/adj/nrc_handelsblad_20030620_101/383	R0	boodschap	noun	boodschap/noun	boodschap	True	R	1	2.03123	34900.0	37.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R1	hoopvol/adj/nrc_handelsblad_20030620_101/383	R1	verkondig	verb	verkondig/verb	verkondigt	True	R	2	1.3325188000000001	5670.0	3.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R2	hoopvol/adj/nrc_handelsblad_20030620_101/383	R2	.	punct	./punct	.	True	R	3			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R3	hoopvol/adj/nrc_handelsblad_20030620_101/383	R3	sentence_delimiter	none	none	</sentence>	none	R	4			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R4	hoopvol/adj/nrc_handelsblad_20030620_101/383	R4	sentence_delimiter	none	none	<sentence>	none	R	5			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R5	hoopvol/adj/nrc_handelsblad_20030620_101/383	R5	""""	punct	"""/punct"	""""	False	R	6			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R6	hoopvol/adj/nrc_handelsblad_20030620_101/383	R6	Less	name	Less/name	Less	False	R	7			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R7	hoopvol/adj/nrc_handelsblad_20030620_101/383	R7	oil	name	oil/name	oil	False	R	8			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R8	hoopvol/adj/nrc_handelsblad_20030620_101/383	R8	more	name	more/name	more	False	R	9			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R9	hoopvol/adj/nrc_handelsblad_20030620_101/383	R9	courage	name	courage/name	courage	False	R	10			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R10	hoopvol/adj/nrc_handelsblad_20030620_101/383	R10	""""	punct	"""/punct"	""""	False	R	11			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R11	hoopvol/adj/nrc_handelsblad_20030620_101/383	R11	,	punct	,/punct	,	False	R	12			
hoopvol/adj/nrc_handelsblad_20030620_101/383/R12	hoopvol/adj/nrc_handelsblad_20030620_101/383	R12	sta	verb	sta/verb	staat	False	R	13	-0.14300615	655795.0	79.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R13	hoopvol/adj/nrc_handelsblad_20030620_101/383	R13	er	adv	er/adv	er	False	R	14	0.23591362	1744977.0	308.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R14	hoopvol/adj/nrc_handelsblad_20030620_101/383	R14	in	prep	in/prep	in	False	R	15	-0.20423470000000002	9492181.0	1072.0
hoopvol/adj/nrc_handelsblad_20030620_101/383/R15	hoopvol/adj/nrc_handelsblad_20030620_101/383	R15	wit	adj	wit/adj	witte	False	R	16			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L0	hoopvol/adj/nrc_handelsblad_20010616_151/167	L0	enkel	det	enkel/det	Enkele	True	L	1	-0.15890095	319878.0	38.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/L1	hoopvol/adj/nrc_handelsblad_20010616_151/167	L1	sentence_delimiter	none	none	<sentence>	none	L	2			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L2	hoopvol/adj/nrc_handelsblad_20010616_151/167	L2	sentence_delimiter	none	none	</sentence>	none	L	3			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L3	hoopvol/adj/nrc_handelsblad_20010616_151/167	L3	.	punct	./punct	.	False	L	4			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L4	hoopvol/adj/nrc_handelsblad_20010616_151/167	L4	toets	verb	toets/verb	toetsen	False	L	5			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L5	hoopvol/adj/nrc_handelsblad_20010616_151/167	L5	te	comp	te/comp	te	False	L	6			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L6	hoopvol/adj/nrc_handelsblad_20010616_151/167	L6	en	vg	en/vg	en	False	L	7			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L7	hoopvol/adj/nrc_handelsblad_20010616_151/167	L7	ontwerp	verb	ontwerp/verb	ontwerpen	False	L	8			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L8	hoopvol/adj/nrc_handelsblad_20010616_151/167	L8	te	comp	te/comp	te	False	L	9			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L9	hoopvol/adj/nrc_handelsblad_20010616_151/167	L9	onderzoek	noun	onderzoek/noun	onderzoek	False	L	10			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L10	hoopvol/adj/nrc_handelsblad_20010616_151/167	L10	wetenschappelijk	adj	wetenschappelijk/adj	wetenschappelijk	False	L	11			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L11	hoopvol/adj/nrc_handelsblad_20010616_151/167	L11	boer	noun	boer/noun	boeren	False	L	12			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L12	hoopvol/adj/nrc_handelsblad_20010616_151/167	L12	biologisch	adj	biologisch/adj	biologische	False	L	13			
hoopvol/adj/nrc_handelsblad_20010616_151/167/L13	hoopvol/adj/nrc_handelsblad_20010616_151/167	L13	met	prep	met/prep	met	False	L	14	-0.18007767	4230163.0	491.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/L14	hoopvol/adj/nrc_handelsblad_20010616_151/167	L14	samen	adj	samen/adj	samen	False	L	15	-0.73831904	135100.0	9.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/L15	hoopvol/adj/nrc_handelsblad_20010616_151/167	L15	door	comp	door/comp	door	False	L	16			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R0	hoopvol/adj/nrc_handelsblad_20010616_151/167	R0	voorbeeld	noun	voorbeeld/noun	voorbeelden	True	R	1	-0.5843434000000001	51528.0	4.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R1	hoopvol/adj/nrc_handelsblad_20010616_151/167	R1	uit	prep	uit/prep	uit	True	R	2	-0.19052705	1135560.0	130.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R2	hoopvol/adj/nrc_handelsblad_20010616_151/167	R2	deze	det	deze/det	deze	True	R	3	0.173323	719674.0	119.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R3	hoopvol/adj/nrc_handelsblad_20010616_151/167	R3	gezamelijke	adj	gezamelijke/adj	gezamelijke	True	R	4	3.1558416	307.0	1.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R4	hoopvol/adj/nrc_handelsblad_20010616_151/167	R4	aanpak	noun	aanpak/noun	aanpak	True	R	5	0.25467026	27922.0	5.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R5	hoopvol/adj/nrc_handelsblad_20010616_151/167	R5	:	punct	:/punct	:	True	R	6			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R6	hoopvol/adj/nrc_handelsblad_20010616_151/167	R6	sentence_delimiter	none	none	</sentence>	none	R	7			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R7	hoopvol/adj/nrc_handelsblad_20010616_151/167	R7	sentence_delimiter	none	none	<sentence>	none	R	8			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R8	hoopvol/adj/nrc_handelsblad_20010616_151/167	R8	-	punct	-/punct	-	False	R	9			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R9	hoopvol/adj/nrc_handelsblad_20010616_151/167	R9	omdat	comp	omdat/comp	Omdat	False	R	10			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R10	hoopvol/adj/nrc_handelsblad_20010616_151/167	R10	het	det	het/det	het	False	R	11	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R11	hoopvol/adj/nrc_handelsblad_20010616_151/167	R11	ideaal	adj	ideaal/adj	ideale	False	R	12			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R12	hoopvol/adj/nrc_handelsblad_20010616_151/167	R12	model	noun	model/noun	model	False	R	13			
hoopvol/adj/nrc_handelsblad_20010616_151/167/R13	hoopvol/adj/nrc_handelsblad_20010616_151/167	R13	van	prep	van/prep	van	False	R	14	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R14	hoopvol/adj/nrc_handelsblad_20010616_151/167	R14	het	det	het/det	het	False	R	15	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_20010616_151/167/R15	hoopvol/adj/nrc_handelsblad_20010616_151/167	R15	gemengd	adj	gemengd/adj	gemengde	False	R	16			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L0	hoopvol/adj/nrc_handelsblad_20000928_109/13	L0	kind	noun	kind/noun	kind	True	L	1	-0.85668117	305978.0	18.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/L1	hoopvol/adj/nrc_handelsblad_20000928_109/13	L1	een	det	een/det	een	True	L	2	0.045558932999999996	11075723.0	1612.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/L2	hoopvol/adj/nrc_handelsblad_20000928_109/13	L2	fluister	verb	fluister/verb	fluistert	True	L	3	1.3736267	3628.0	2.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/L3	hoopvol/adj/nrc_handelsblad_20000928_109/13	L3	,	punct	,/punct	,	True	L	4			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L4	hoopvol/adj/nrc_handelsblad_20000928_109/13	L4	'	punct	'/punct	'	True	L	5			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L5	hoopvol/adj/nrc_handelsblad_20000928_109/13	L5	!	name	!/name	!	True	L	6			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L6	hoopvol/adj/nrc_handelsblad_20000928_109/13	L6	het	name	het/name	het	True	L	7			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L7	hoopvol/adj/nrc_handelsblad_20000928_109/13	L7	gebeurt	name	gebeurt/name	gebeurt	True	L	8			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L8	hoopvol/adj/nrc_handelsblad_20000928_109/13	L8	Nou	name	Nou/name	Nou	True	L	9			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L9	hoopvol/adj/nrc_handelsblad_20000928_109/13	L9	`	punct	`/punct	`	True	L	10			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L10	hoopvol/adj/nrc_handelsblad_20000928_109/13	L10	sentence_delimiter	none	none	<sentence>	none	L	11			
hoopvol/adj/nrc_handelsblad_20000928_109/13/L11	hoopvol/adj/nrc_handelsblad_20000928_109/13	L11	sentence_delimiter	none	none	"<artikel naam=""109"">"	none	L	12			
hoopvol/adj/nrc_handelsblad_20000928_109/13/R0	hoopvol/adj/nrc_handelsblad_20000928_109/13	R0	tegen	prep	tegen/prep	tegen	True	R	1	0.20045087	727647.0	123.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/R1	hoopvol/adj/nrc_handelsblad_20000928_109/13	R1	een	det	een/det	een	True	R	2	0.045558932999999996	11075723.0	1612.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/R2	hoopvol/adj/nrc_handelsblad_20000928_109/13	R2	ander	adj	ander/adj	ander	True	R	3	-0.5199843	663512.0	55.0
