_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_foc_pos	foc_boundaries	foc_ppmi	foc_foc_win	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.2406800382638315	-0.039550440184626286	623	1	nav	bound	weight	10_10	5000	5000	nav	4_4	273	horde	0.22845874015393455
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.2653339333428437	-0.06458116030729857	623	1	nav	bound	weight	10_10	10000	10000	nav	4_4	273	horde	0.23484476517190145
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.23969650717363236	-0.05216591305345021	623	1	nav	bound	weight	10_10	FOC	623	nav	4_4	273	horde	0.2544947328110877
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.2066568998572565	-0.02777960658479933	623	1	nav	bound	weight	10_10	5000	5000	nav	10_10	273	horde	0.2189017359836162
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.21810285839524335	-0.04511328968510046	623	1	nav	bound	weight	10_10	10000	10000	nav	10_10	273	horde	0.22382987544717717
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.19948495637998953	-0.040461807412660304	623	1	nav	bound	weight	10_10	FOC	623	nav	10_10	273	horde	0.2393290897894979
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.23390640893221337	-0.03360077675514769	623	1	nav	bound	weight	10_10	5000	5000	all	4_4	273	horde	0.22796904420134637
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.2535928572005646	-0.053722297064803706	623	1	nav	bound	weight	10_10	10000	10000	all	4_4	273	horde	0.23266274084013114
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.23969650717363056	-0.05216591305348265	623	1	nav	bound	weight	10_10	FOC	623	all	4_4	273	horde	0.2544947328110877
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.2030464160406983	-0.018729339284608133	623	1	nav	bound	weight	10_10	5000	5000	all	10_10	273	horde	0.2200545065857151
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.20820579370769135	-0.034340568537644	623	1	nav	bound	weight	10_10	10000	10000	all	10_10	273	horde	0.219967978957829
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.1994849563799881	-0.040461807412662386	623	1	nav	bound	weight	10_10	FOC	623	all	10_10	273	horde	0.2393290897894979
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.04792484813161578	0.09161002569665139	623	1	nav	bound	selection	10_10	5000	5000	nav	4_4	273	horde	0.22530778091978934
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.05760869788387316	0.10629973957097039	623	1	nav	bound	selection	10_10	10000	10000	nav	4_4	273	horde	0.22807675713634432
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.08286340534312472	0.06010210048171242	623	1	nav	bound	selection	10_10	FOC	623	nav	4_4	273	horde	0.24027502843596704
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.03320129475416722	0.0966905458920279	623	1	nav	bound	selection	10_10	5000	5000	nav	10_10	273	horde	0.21485061682489032
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.031763550566790096	0.08968502423974817	623	1	nav	bound	selection	10_10	10000	10000	nav	10_10	273	horde	0.2172998867113583
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.06672676889004951	0.05354271508581172	623	1	nav	bound	selection	10_10	FOC	623	nav	10_10	273	horde	0.22203326825354888
horde.foc10.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.039882949718401596	0.09145471193879758	623	1	nav	bound	selection	10_10	5000	5000	all	4_4	273	horde	0.2234658246005077
horde.foc10.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.045731888154735154	0.09528039857473161	623	1	nav	bound	selection	10_10	10000	10000	all	4_4	273	horde	0.2262166916565817
