_id	_cws.schaal.foc10.nav.ppmi_weight.bound	_count.schaal.foc10.nav.ppmi_weight.bound	_cws.schaal.foc10.nav.ppmi_sel.bound	_count.schaal.foc10.nav.ppmi_sel.bound	_cws.schaal.foc10.nav.no_ppmi.bound	_count.schaal.foc10.nav.no_ppmi.bound	_cws.schaal.foc10.all.ppmi_weight.bound	_count.schaal.foc10.all.ppmi_weight.bound	_cws.schaal.foc10.all.ppmi_sel.bound	_count.schaal.foc10.all.ppmi_sel.bound	_cws.schaal.foc10.all.no_ppmi.bound	_count.schaal.foc10.all.no_ppmi.bound	_cws.schaal.foc5.nav.ppmi_weight.bound	_count.schaal.foc5.nav.ppmi_weight.bound	_cws.schaal.foc5.nav.ppmi_sel.bound	_count.schaal.foc5.nav.ppmi_sel.bound	_cws.schaal.foc5.nav.no_ppmi.bound	_count.schaal.foc5.nav.no_ppmi.bound	_cws.schaal.foc5.all.ppmi_weight.bound	_count.schaal.foc5.all.ppmi_weight.bound	_cws.schaal.foc5.all.ppmi_sel.bound	_count.schaal.foc5.all.ppmi_sel.bound	_cws.schaal.foc5.all.no_ppmi.bound	_count.schaal.foc5.all.no_ppmi.bound
schaal/noun/nrc_handelsblad_20031017_48/141	groot/adj;islamitisch/adj;land/noun;vergrijp/verb	4	groot/adj;islamitisch/adj;land/noun;vergrijp/verb	4	groot/adj;islamitisch/adj;kind/noun;land/noun;man/noun;vergrijp/verb;vrouw/noun	7	groot/adj;in/prep;islamitisch/adj;land/noun;op/prep;vergrijp/verb	6	groot/adj;in/prep;islamitisch/adj;land/noun;op/prep;vergrijp/verb	6	aan/prep;daar/adv;groot/adj;in/prep;islamitisch/adj;kind/noun;land/noun;man/noun;op/prep;vergrijp/verb;vrouw/noun;zich/pron	12	groot/adj	1	groot/adj	1	groot/adj;kind/noun;man/noun	3	groot/adj;op/prep	2	groot/adj;op/prep	2	aan/prep;daar/adv;groot/adj;kind/noun;man/noun;op/prep;zich/pron	7
schaal/noun/nrc_handelsblad_20010921_58/760	burger_slachtoffer/noun;groot/adj;onschuldig/adj;val/verb;zal/verb	5	burger_slachtoffer/noun;groot/adj;onschuldig/adj;val/verb;zal/verb	5	burger_slachtoffer/noun;groot/adj;onschuldig/adj;val/verb;zal/verb	5	bijvoorbeeld/adv;binnen/prep;burger_slachtoffer/noun;dat/det;de/det;groot/adj;in/prep;kader/prep;onschuldig/adj;op/prep;straks/adv;val/verb;van/prep;zal/verb	14	bijvoorbeeld/adv;binnen/prep;burger_slachtoffer/noun;dat/det;de/det;groot/adj;in/prep;kader/prep;onschuldig/adj;op/prep;straks/adv;val/verb;van/prep;zal/verb	14	bijvoorbeeld/adv;binnen/prep;burger_slachtoffer/noun;dan/adv;dat/det;de/det;groot/adj;het/prep;in/prep;kader/prep;onschuldig/adj;op/prep;straks/adv;val/verb;van/prep;zal/verb	16	burger_slachtoffer/noun;groot/adj;onschuldig/adj;zal/verb	4	burger_slachtoffer/noun;groot/adj;onschuldig/adj;zal/verb	4	burger_slachtoffer/noun;groot/adj;onschuldig/adj;zal/verb	4	bijvoorbeeld/adv;burger_slachtoffer/noun;groot/adj;onschuldig/adj;op/prep;zal/verb	6	bijvoorbeeld/adv;burger_slachtoffer/noun;groot/adj;onschuldig/adj;op/prep;zal/verb	6	bijvoorbeeld/adv;burger_slachtoffer/noun;groot/adj;onschuldig/adj;op/prep;zal/verb	6
schaal/noun/nrc_handelsblad_20020306_72/420	Iers/adj;bedreig/verb;clausule/noun;groot/adj;misbruik/verb;word/verb	6	Iers/adj;bedreig/verb;clausule/noun;groot/adj;misbruik/verb;word/verb	6	Iers/adj;bedreig/verb;clausule/noun;groot/adj;leven/noun;medisch/adj;misbruik/verb;word/verb	8	Iers/adj;bedreig/verb;clausule/noun;dat/det;de/det;groot/adj;misbruik/verb;op/prep;volgens/prep;word/verb	10	Iers/adj;bedreig/verb;clausule/noun;dat/det;de/det;groot/adj;misbruik/verb;op/prep;volgens/prep;word/verb	10	Iers/adj;bedreig/verb;clausule/noun;dat/det;de/det;groot/adj;hem/pron;leven/noun;medisch/adj;misbruik/verb;op/prep;volgens/prep;word/verb	13	groot/adj;misbruik/verb;word/verb	3	groot/adj;misbruik/verb;word/verb	3	groot/adj;misbruik/verb;word/verb	3	dat/det;groot/adj;misbruik/verb;op/prep;volgens/prep;word/verb	6	dat/det;groot/adj;misbruik/verb;op/prep;volgens/prep;word/verb	6	dat/det;groot/adj;hem/pron;misbruik/verb;op/prep;volgens/prep;word/verb	7
schaal/noun/nrc_handelsblad_20020907_80/244	bouw/noun;groot/adj;heb_plaats/verb;kartel_vorming/noun;ongeoorloofd/adj	5	bouw/noun;groot/adj;heb_plaats/verb;kartel_vorming/noun;ongeoorloofd/adj	5	ben/verb;bouw/noun;groot/adj;heb/verb;heb_plaats/verb;kartel_vorming/noun;ongeoorloofd/adj	7	bouw/noun;de/det;groot/adj;heb_plaats/verb;in/prep;kartel_vorming/noun;nu/adv;ongeoorloofd/adj;op/prep	9	bouw/noun;de/det;groot/adj;heb_plaats/verb;in/prep;kartel_vorming/noun;nu/adv;ongeoorloofd/adj;op/prep	9	ben/verb;bouw/noun;de/det;groot/adj;heb/verb;heb_plaats/verb;in/prep;kartel_vorming/noun;nu/adv;ongeoorloofd/adj;op/prep	11	bouw/noun;groot/adj;heb_plaats/verb	3	bouw/noun;groot/adj;heb_plaats/verb	3	bouw/noun;groot/adj;heb/verb;heb_plaats/verb	4	bouw/noun;de/det;groot/adj;heb_plaats/verb;in/prep;op/prep	6	bouw/noun;de/det;groot/adj;heb_plaats/verb;in/prep;op/prep	6	bouw/noun;de/det;groot/adj;heb/verb;heb_plaats/verb;in/prep;op/prep	7
schaal/noun/nrc_handelsblad_20030425_67/194	ongekend/adj	1	ongekend/adj	1	jaar/noun;ongekend/adj	2	dit/det;er/adv;in/prep;ongekend/adj;op/prep	5	dit/det;er/adv;in/prep;ongekend/adj;op/prep	5	alweer/adv;dit/det;er/adv;in/prep;jaar/noun;ongekend/adj;op/prep	7	ongekend/adj	1	ongekend/adj	1	ongekend/adj	1	in/prep;ongekend/adj;op/prep	3	in/prep;ongekend/adj;op/prep	3	in/prep;ongekend/adj;op/prep	3
schaal/noun/nrc_handelsblad_20000107_60/107	Europees/adj;groot/adj;klaar/adj;markt/noun;vele/adj	5	Europees/adj;groot/adj;klaar/adj;markt/noun;vele/adj	5	Europees/adj;groot/adj;klaar/adj;markt/noun;speler/noun;terecht/adj;vele/adj	7	Europees/adj;de/det;groot/adj;klaar/adj;markt/noun;met/prep;vele/adj	7	Europees/adj;de/det;groot/adj;klaar/adj;markt/noun;met/prep;vele/adj	7	Europees/adj;de/det;groot/adj;klaar/adj;markt/noun;met/prep;speler/noun;terecht/adj;vele/adj;voor/prep;zich/pron;zijn/det	12	Europees/adj;groot/adj;markt/noun;vele/adj	4	Europees/adj;groot/adj;markt/noun;vele/adj	4	Europees/adj;groot/adj;markt/noun;speler/noun;vele/adj	5	Europees/adj;groot/adj;markt/noun;met/prep;vele/adj	5	Europees/adj;groot/adj;markt/noun;met/prep;vele/adj	5	Europees/adj;groot/adj;markt/noun;met/prep;speler/noun;vele/adj;zijn/det	7
schaal/noun/nrc_handelsblad_20031018_237/36	groot/adj;prijs/noun	2	groot/adj;prijs/noun	2	groot/adj;maandag/noun;prijs/noun;vak_blad/noun;verlaag/verb	5	groot/adj;op/prep;prijs/noun	3	groot/adj;op/prep;prijs/noun	3	groot/adj;haar/det;maandag/noun;op/prep;prijs/noun;vak_blad/noun;vanaf/prep;verlaag/verb	8	groot/adj;prijs/noun	2	groot/adj;prijs/noun	2	groot/adj;maandag/noun;prijs/noun	3	groot/adj;op/prep;prijs/noun	3	groot/adj;op/prep;prijs/noun	3	groot/adj;haar/det;maandag/noun;op/prep;prijs/noun;vanaf/prep	6
schaal/noun/nrc_handelsblad_20030521_120/242	beschuldig/verb;groot/adj;overheid_gebouw/noun;steek/verb	4	beschuldig/verb;groot/adj;overheid_gebouw/noun;steek/verb	4	ander/adj;beschuldig/verb;groot/adj;overheid_gebouw/noun;school/noun;steek/verb	6	beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun;steek/verb	5	beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun;steek/verb	5	ander/adj;beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun;school/noun;steek/verb	7	beschuldig/verb;groot/adj;overheid_gebouw/noun	3	beschuldig/verb;groot/adj;overheid_gebouw/noun	3	ander/adj;beschuldig/verb;groot/adj;overheid_gebouw/noun;school/noun	5	beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun	4	beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun	4	ander/adj;beschuldig/verb;groot/adj;op/prep;overheid_gebouw/noun;school/noun	6
schaal/noun/nrc_handelsblad_20030625_65/387	besta/adj;cao/noun;doorstroming/noun;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb	7	besta/adj;cao/noun;doorstroming/noun;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb	7	besta/adj;cao/noun;doorstroming/noun;er/noun;extra/adj;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb	9	besta/adj;cao/noun;doorstroming/noun;een/det;in/prep;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb;van/prep	10	besta/adj;cao/noun;doorstroming/noun;een/det;in/prep;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb;van/prep	10	als/prep;besta/adj;bij/prep;cao/noun;doorstroming/noun;een/det;er/noun;extra/adj;het/det;in/prep;laag/adj;maak/verb;mogelijkheid/noun;neem_aan/verb;nog/adv;van/prep	16	cao/noun;laag/adj;maak/verb	3	cao/noun;laag/adj;maak/verb	3	cao/noun;er/noun;extra/adj;laag/adj;maak/verb	5	cao/noun;een/det;laag/adj;maak/verb	4	cao/noun;een/det;laag/adj;maak/verb	4	bij/prep;cao/noun;een/det;er/noun;extra/adj;laag/adj;maak/verb;nog/adv	8
schaal/noun/nrc_handelsblad_20020720_7/73	complexiteit/noun;ruimte/noun;verschil/adj	3	complexiteit/noun;ruimte/noun;verschil/adj	3	complexiteit/noun;doorkruis/verb;ruimte/noun;tijd/noun;verenig/verb;verschil/adj	6	complexiteit/noun;de/det;die/det;ruimte/noun;van/prep;verschil/adj	6	complexiteit/noun;de/det;die/det;ruimte/noun;van/prep;verschil/adj	6	complexiteit/noun;de/det;die/det;doorkruis/verb;ruimte/noun;tijd/noun;van/prep;verenig/verb;verschil/adj	9	ruimte/noun	1	ruimte/noun	1	doorkruis/verb;ruimte/noun;tijd/noun	3	die/det;ruimte/noun;van/prep	3	die/det;ruimte/noun;van/prep	3	die/det;doorkruis/verb;ruimte/noun;tijd/noun;van/prep	5
