_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.2891981824857787	0.0035022758081950985	714	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	314	schaal	0.21756300866845968
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.30591470189570336	-3.953954796159883e-4	714	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	314	schaal	0.21648582664439306
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.21363647872519004	-0.006343597990048184	714	1	nav	bound	ppmi_weight	10_10	foc	714	nav	4_4	314	schaal	0.2152617955284034
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.21024566870570213	0.007110863341472117	714	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	314	schaal	0.22803129120106802
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.23237372320269467	0.007198217649157837	714	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	314	schaal	0.22673724528683717
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.16209269338546273	4.960817749194723e-4	714	1	nav	bound	ppmi_weight	10_10	foc	714	nav	10_10	314	schaal	0.2173297109028572
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.29086501028159495	0.006374137142639474	714	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	314	schaal	0.22072838514025372
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.3046192764750536	0.001519978620713141	714	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	314	schaal	0.21861471846700573
schaal.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.21363649808496665	-0.00634360683717858	714	1	nav	bound	ppmi_weight	10_10	foc	714	all	4_4	314	schaal	0.2188572852363854
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.20841919704542328	0.01108045081188526	714	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	314	schaal	0.2304426463985286
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.227111850096345	0.008409153668526528	714	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	314	schaal	0.2265596450697146
schaal.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.16209269698267464	4.960885630097071e-4	714	1	nav	bound	ppmi_weight	10_10	foc	714	all	10_10	314	schaal	0.22197406446512916
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.03757031186325924	0.1619842033972851	714	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	314	schaal	0.24248440984395084
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.055900954153871044	0.1658815219226865	714	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	314	schaal	0.23663786095646025
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	0.012961175932644224	0.1342437306180053	714	1	nav	bound	ppmi_sel	10_10	foc	714	nav	4_4	314	schaal	0.22919392337835107
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	0.05988452770225373	0.20535869476829158	714	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	314	schaal	0.23854478362647227
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.10000	0.03502189058322359	0.2139193505861814	714	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	314	schaal	0.2389536009074239
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.foc	0.07039284583328287	0.17946798393854546	714	1	nav	bound	ppmi_sel	10_10	foc	714	nav	10_10	314	schaal	0.22624314891130357
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.030062006950985758	0.17660516014502864	714	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	4_4	314	schaal	0.2460173821894095
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.04861346691489677	0.17259351983666033	714	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	4_4	314	schaal	0.24051393439135696
schaal.foc10.nav.ppmi_sel.bound.min1.soc4.all.foc	0.012961174109602347	0.1342437298685246	714	1	nav	bound	ppmi_sel	10_10	foc	714	all	4_4	314	schaal	0.22822204263312076
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.all.5000	0.06734235868768242	0.21747273146999363	714	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	10_10	314	schaal	0.2417394242362042
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.all.10000	0.04452945930628349	0.2140435123829483	714	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	10_10	314	schaal	0.24219256229305913
schaal.foc10.nav.ppmi_sel.bound.min1.soc10.all.foc	0.07039285709462047	0.17946798416605186	714	1	nav	bound	ppmi_sel	10_10	foc	714	all	10_10	314	schaal	0.2231205560152744
schaal.foc10.nav.no_ppmi.bound.min1.soc4.nav.5000	0.09021737312325499	0.23266628155289648	1057	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	4_4	320	schaal	0.24965478521460321
schaal.foc10.nav.no_ppmi.bound.min1.soc4.nav.10000	0.06905213064018831	0.23704685388965846	1057	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	4_4	320	schaal	0.24522874534484923
schaal.foc10.nav.no_ppmi.bound.min1.soc4.nav.foc	0.10542164857085835	0.18500221581831697	1057	1	nav	bound	no_ppmi	10_10	foc	1057	nav	4_4	320	schaal	0.2373020045552851
schaal.foc10.nav.no_ppmi.bound.min1.soc10.nav.5000	0.16299138269984265	0.25551021905507276	1057	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	10_10	320	schaal	0.2393982432967909
schaal.foc10.nav.no_ppmi.bound.min1.soc10.nav.10000	0.14197041437276248	0.25708339306259803	1057	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	10_10	320	schaal	0.23875054999830828
schaal.foc10.nav.no_ppmi.bound.min1.soc10.nav.foc	0.14448817426083038	0.21704952587328424	1057	1	nav	bound	no_ppmi	10_10	foc	1057	nav	10_10	320	schaal	0.2256269281852438
schaal.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	0.10418202266919104	0.2599365933620985	1057	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	schaal	0.2512726537094118
schaal.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	0.08309014429273837	0.2528226305678636	1057	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	schaal	0.2493897116974032
schaal.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	0.10542164857009276	0.18500221581839166	1057	1	nav	bound	no_ppmi	10_10	foc	1057	all	4_4	320	schaal	0.23430637604664126
schaal.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	0.1775721857946816	0.27245022146097836	1057	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	schaal	0.24249426318302236
schaal.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	0.15714776330795655	0.2642195484045059	1057	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	schaal	0.24232376768964753
schaal.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	0.1444881743052474	0.217049525906602	1057	1	nav	bound	no_ppmi	10_10	foc	1057	all	10_10	320	schaal	0.2256269281852438
schaal.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.23386977508060688	-0.13899216028066316	803	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	320	schaal	0.20244773626492346
schaal.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.24820652289914258	-0.1360219768932077	803	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	320	schaal	0.1982254249176445
schaal.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.17505917725309472	-0.09543142734588071	803	1	all	bound	ppmi_weight	10_10	foc	803	nav	4_4	320	schaal	0.21072931892924104
schaal.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.16992463775082592	-0.09569013893472332	803	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	320	schaal	0.22011679627328
schaal.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.19578589875545932	-0.09671000800899472	803	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	320	schaal	0.21987278044678069
schaal.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.13439231741323446	-0.07280711199376862	803	1	all	bound	ppmi_weight	10_10	foc	803	nav	10_10	320	schaal	0.21093113555952328
schaal.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.23085151563348222	-0.15321791410902785	803	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	320	schaal	0.20267768065748581
schaal.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.2459095499750969	-0.1386667016098377	803	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	320	schaal	0.19895913245194513
schaal.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.17505917725307624	-0.09543142734587068	803	1	all	bound	ppmi_weight	10_10	foc	803	all	4_4	320	schaal	0.21106491855376378
schaal.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.1645831942382256	-0.10394047975788114	803	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	320	schaal	0.21955946266776596
schaal.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.187957709833919	-0.10214624410823693	803	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	320	schaal	0.21946745845365068
schaal.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.13439232182752148	-0.07280710973866995	803	1	all	bound	ppmi_weight	10_10	foc	803	all	10_10	320	schaal	0.213288102944192
schaal.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.3580911764985498	-0.13215097909674406	803	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	320	schaal	0.23837753466257042
schaal.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.3662411252804335	-0.14431951001734342	803	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	320	schaal	0.23808965227657913
schaal.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.2963369535806564	-0.0321943645063615	803	1	all	bound	ppmi_sel	10_10	foc	803	nav	4_4	320	schaal	0.2369261514123529
schaal.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.3095798057063869	-0.0031351409690313016	803	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	320	schaal	0.24416314021889157
schaal.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.3076009874915243	-0.008618378449825395	803	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	320	schaal	0.2447104997038519
schaal.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.2509831959355169	0.05340453199454576	803	1	all	bound	ppmi_sel	10_10	foc	803	nav	10_10	320	schaal	0.2265591801247754
schaal.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.35807817159199706	-0.1371414680435777	803	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	320	schaal	0.2404260065291951
schaal.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.3656076181556433	-0.14171514590510054	803	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	320	schaal	0.2413470379670788
schaal.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.2963371901303678	-0.03219434434219923	803	1	all	bound	ppmi_sel	10_10	foc	803	all	4_4	320	schaal	0.2369261514123529
schaal.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.3147627762852672	-0.00720395182218723	803	1	all	bound	ppmi_sel	10_10	5000	5e3	all	10_10	320	schaal	0.2465412119139344
schaal.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.3123779357119129	-0.01576294224630029	803	1	all	bound	ppmi_sel	10_10	10000	1e4	all	10_10	320	schaal	0.24675885545189596
schaal.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.2509831759300999	0.05340452744241056	803	1	all	bound	ppmi_sel	10_10	foc	803	all	10_10	320	schaal	0.2265591801247754
schaal.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.43433127162581786	-0.034715045958486325	1246	1	all	bound	no_ppmi	10_10	5000	5e3	nav	4_4	320	schaal	0.2559586269615195
schaal.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.4382571948778867	-0.04500623232735607	1246	1	all	bound	no_ppmi	10_10	10000	1e4	nav	4_4	320	schaal	0.252725713390813
schaal.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.3785410506612099	0.02268175847215833	1246	1	all	bound	no_ppmi	10_10	foc	1246	nav	4_4	320	schaal	0.2425387445555714
schaal.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.3893468876404489	0.06558374782109416	1246	1	all	bound	no_ppmi	10_10	5000	5e3	nav	10_10	320	schaal	0.2419112784609409
schaal.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.38462691365477736	0.05598584486036511	1246	1	all	bound	no_ppmi	10_10	10000	1e4	nav	10_10	320	schaal	0.24339487360483553
schaal.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.3246734728516367	0.10369849174245252	1246	1	all	bound	no_ppmi	10_10	foc	1246	nav	10_10	320	schaal	0.22976675739041613
schaal.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.44996625229231324	-0.02633460972670346	1246	1	all	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	schaal	0.2514599280781406
schaal.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.4448070096563809	-0.03673196786976309	1246	1	all	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	schaal	0.25369552155723774
schaal.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.3785410506394758	0.022681758470301152	1246	1	all	bound	no_ppmi	10_10	foc	1246	all	4_4	320	schaal	0.24259918531050073
schaal.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.40760791528725326	0.07426003554338362	1246	1	all	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	schaal	0.2402150308872018
schaal.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.39591298746425563	0.05910030449542406	1246	1	all	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	schaal	0.24224523636630857
schaal.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.3246734728514281	0.10369849174241835	1246	1	all	bound	no_ppmi	10_10	foc	1246	all	10_10	320	schaal	0.2297411574128101
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.34895203373621275	-0.022842570673992466	440	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	308	schaal	0.21053609952329105
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.3587285142833105	-0.03000988765861017	440	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	308	schaal	0.20523356079721625
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.28011357131464815	-0.024802108094459756	440	1	nav	bound	ppmi_weight	5_5	foc	440	nav	4_4	308	schaal	0.22338351224249164
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.29211864960489115	-0.012371580516275267	440	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	308	schaal	0.21900110581177348
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.3084503481771	-0.022970989732323085	440	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	308	schaal	0.21278348970080738
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.23155640760079943	-0.015232987018124165	440	1	nav	bound	ppmi_weight	5_5	foc	440	nav	10_10	308	schaal	0.2207266390035864
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.3503231598173474	-0.02190332089100279	440	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	4_4	308	schaal	0.2133329842561954
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.357760247380496	-0.025951477178901394	440	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	4_4	308	schaal	0.21124375627164377
schaal.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.2801135715433392	-0.024802108094373464	440	1	nav	bound	ppmi_weight	5_5	foc	440	all	4_4	308	schaal	0.22126250474830636
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.29181805190194243	-0.0102037343347112	440	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	10_10	308	schaal	0.21943006197069026
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.30517297265910154	-0.0171380741282055	440	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	10_10	308	schaal	0.2140357407373786
schaal.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.23155640760078708	-0.015232987018212584	440	1	nav	bound	ppmi_weight	5_5	foc	440	all	10_10	308	schaal	0.22022928336712239
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.19943647304072662	0.1179884884203187	440	1	nav	bound	ppmi_sel	5_5	5000	5e3	nav	4_4	308	schaal	0.23413013780950784
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.2121754785052443	0.11114490487629626	440	1	nav	bound	ppmi_sel	5_5	10000	1e4	nav	4_4	308	schaal	0.23126678413429103
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.11389519607407791	0.08294436865417976	440	1	nav	bound	ppmi_sel	5_5	foc	440	nav	4_4	308	schaal	0.23959150777373667
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.121086439504798	0.13704132353711676	440	1	nav	bound	ppmi_sel	5_5	5000	5e3	nav	10_10	308	schaal	0.24032205133598694
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.14363388707309901	0.14004422048569784	440	1	nav	bound	ppmi_sel	5_5	10000	1e4	nav	10_10	308	schaal	0.23844745428354938
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.0565619296176185	0.09368440491468231	440	1	nav	bound	ppmi_sel	5_5	foc	440	nav	10_10	308	schaal	0.24203849797451568
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.20176936901522022	0.1263560088250626	440	1	nav	bound	ppmi_sel	5_5	5000	5e3	all	4_4	308	schaal	0.23914603650098734
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.20993380064800496	0.12056827112249022	440	1	nav	bound	ppmi_sel	5_5	10000	1e4	all	4_4	308	schaal	0.2368634060511673
schaal.foc5.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.11389520172883585	0.08294436658754469	440	1	nav	bound	ppmi_sel	5_5	foc	440	all	4_4	308	schaal	0.24196464238272486
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.11971421605458052	0.14824006140312923	440	1	nav	bound	ppmi_sel	5_5	5000	5e3	all	10_10	308	schaal	0.2435916498456332
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.13642387276858234	0.14336278000680336	440	1	nav	bound	ppmi_sel	5_5	10000	1e4	all	10_10	308	schaal	0.24018118270813849
schaal.foc5.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.05656192742747389	0.09368439591451058	440	1	nav	bound	ppmi_sel	5_5	foc	440	all	10_10	308	schaal	0.24203849797451568
schaal.foc5.nav.no_ppmi.bound.min1.soc4.nav.5000	-0.12621385893950038	0.1801888625930663	630	1	nav	bound	no_ppmi	5_5	5000	5e3	nav	4_4	316	schaal	0.24608163476626818
schaal.foc5.nav.no_ppmi.bound.min1.soc4.nav.10000	-0.13694924241717757	0.17270540022727204	630	1	nav	bound	no_ppmi	5_5	10000	1e4	nav	4_4	316	schaal	0.24268031456421854
schaal.foc5.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.052087863679574437	0.12894305606042122	630	1	nav	bound	no_ppmi	5_5	foc	630	nav	4_4	316	schaal	0.24885142029885066
schaal.foc5.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.04157120312241113	0.22825816135115976	630	1	nav	bound	no_ppmi	5_5	5000	5e3	nav	10_10	316	schaal	0.25067409496941945
schaal.foc5.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.058263323162737635	0.22734618735544063	630	1	nav	bound	no_ppmi	5_5	10000	1e4	nav	10_10	316	schaal	0.24788290451540396
schaal.foc5.nav.no_ppmi.bound.min1.soc10.nav.foc	0.01245941175340146	0.16345433885846888	630	1	nav	bound	no_ppmi	5_5	foc	630	nav	10_10	316	schaal	0.24861411305463227
schaal.foc5.nav.no_ppmi.bound.min1.soc4.all.5000	-0.12165776095761795	0.21012027797734603	630	1	nav	bound	no_ppmi	5_5	5000	5e3	all	4_4	316	schaal	0.2521952906335065
schaal.foc5.nav.no_ppmi.bound.min1.soc4.all.10000	-0.1304214437395927	0.1911160070079733	630	1	nav	bound	no_ppmi	5_5	10000	1e4	all	4_4	316	schaal	0.24816537370374583
schaal.foc5.nav.no_ppmi.bound.min1.soc4.all.foc	-0.05208786367925458	0.12894305606083747	630	1	nav	bound	no_ppmi	5_5	foc	630	all	4_4	316	schaal	0.249904230514717
schaal.foc5.nav.no_ppmi.bound.min1.soc10.all.5000	-0.03626737990934828	0.251577918509912	630	1	nav	bound	no_ppmi	5_5	5000	5e3	all	10_10	316	schaal	0.2563563483945168
schaal.foc5.nav.no_ppmi.bound.min1.soc10.all.10000	-0.050325964836321783	0.23510197403419195	630	1	nav	bound	no_ppmi	5_5	10000	1e4	all	10_10	316	schaal	0.25338746909518733
schaal.foc5.nav.no_ppmi.bound.min1.soc10.all.foc	0.012459410363119783	0.16345433811688914	630	1	nav	bound	no_ppmi	5_5	foc	630	all	10_10	316	schaal	0.24977442820816645
schaal.foc5.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.27356174000821043	-0.18654280839857415	505	1	all	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	320	schaal	0.19163884058306244
schaal.foc5.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.2837826976832174	-0.1843928115624313	505	1	all	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	320	schaal	0.19204552639141653
schaal.foc5.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.2122120244512113	-0.16231336317429407	505	1	all	bound	ppmi_weight	5_5	foc	505	nav	4_4	320	schaal	0.2149783334675262
schaal.foc5.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.2257387713612423	-0.14737846236730534	505	1	all	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	320	schaal	0.20779515697178164
schaal.foc5.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.25392477906086286	-0.14562779220817226	505	1	all	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	320	schaal	0.21009301243109724
