pmi	raw_freq	raw_co	cw
0.02054701	69141	38	1/noun
-1.861489	23878	2	17/noun
-1.8337421	23205	2	19/noun
0.25481647	2850	2	1947/noun
-1.073039	5361	1	1981/noun
0.19649681	12049	8	1989/noun
0.08038695	16911	10	1993/noun
0.14836729	36388	23	1997/noun
-0.05099759	56174	29	1999/noun
1.0341341	19088	29	5/noun
0.28060248	16737	12	Afrikaans/adj
0.078350104	231449	134	Amerikaans/adj
-0.106964506	43848	21	Antwerps/adj
-0.22180161	139420	60	Belgisch/adj
0.92469954	27261	37	Chinees/adj
0.70868576	10004	11	Chinees/noun
-0.6539163	35568	10	Engels/adj
0.10089922	1671	1	Ethiopisch/adj
1.0517128	165681	256	Europees/adj
0.259638	10053	7	Iers/adj
0.63839	16622	17	Iraaks/adj
-0.8078205	16571	4	Italiaan/noun
0.6825442	4680	5	Koerd/noun
1.6040864	744	2	Kosovo_crisis/noun
-0.5492283	64503	20	Nederlander/noun
0.3320413	241254	180	Nederlands/adj
-0.67228365	3611	1	New/adj
2.6273692	399	3	Noord_Afrikaan/noun
1.2089651	1128	2	Peruaans/adj
-0.2351129	19011	8	Rotterdams/adj
0.6963577	44643	48	Russisch/adj
0.9510663	12834	18	Serviër/noun
2.0860581	229	1	Spielbergs/det
2.0354855	244	1	Steven/det
0.34191096	30463	23	Turks/adj
0.100366496	3329	2	Yorkse/adj
-0.041867174	392664	205	aan/part
-0.24344262	2153601	919	aan/prep
0.31869826	95095	71	aandeel/noun
1.0432099	648	1	aangeschoten/adj
-1.2750959	6571	1	aanhang/noun
0.08628273	18567	11	aankoop/noun
1.3355589	13043	27	aanwijzing/noun
5.398714	681	80	aard_schok/noun
1.9561826	6772	26	aardappel/noun
4.8565226	5689	391	aardbeving/noun
1.0678438	20232	32	aarde/noun
-0.440799	34221	12	absoluut/adj
-0.8521199	150814	35	achter/prep
1.6046342	738	2	achterland/noun
0.20650133	75133	50	actie/noun
0.45626786	51290	44	actief/adj
