pmi	raw_freq	raw_co	cw
-0.03907099	11206	15	's/det
-0.36803705	18653	18	12/noun
0.60745335	43848	111	Antwerps/adj
0.27446222	94154	171	Brits/adj
0.2783696	3243	6	Canadees/noun
0.7420378	3144	9	Colombiaans/adj
2.2582977	4307	58	DNA/noun
2.3237648	1552	22	DNA_onderzoek/noun
3.9732392	550	41	DNA_profiel/noun
1.264229	200	1	Damstraat/noun
-0.0005123811	7822	11	Engelsman/noun
-0.22911876	165681	184	Europees/adj
-0.3123814	4860	5	Fin/noun
-0.5180555	6082	5	Fins/adj
-0.71905214	11853	8	Haags/adj
0.03334906	16571	24	Italiaan/noun
0.35048315	2515	5	Joegoslaaf/noun
0.4251015	4680	10	Koerd/noun
-0.40120593	64503	60	Nederlander/noun
-0.0154476855	241254	329	Nederlands/adj
2.2022278	237	3	Nijverheidsstraat/noun
-0.18414243	5243	6	Roemeens/adj
1.9043447	213	2	Roeselarenaar/noun
0.3682012	12834	26	Serviër/noun
0.31285742	523	1	Vercauteren/noun
-0.23240954	124773	138	Vlaams/adj
0.120627955	13929	22	Waals/adj
-0.59256524	1316	1	Waregemse/adj
0.29396388	15596	29	Zwitsers/adj
-0.2766809	30941	33	aan/adj
-0.17342964	392664	465	aan/part
-0.1908755	2153601	2506	aan/prep
1.1619747	665	3	aan_jager/noun
-0.59754467	72257	56	aandacht/noun
1.3512404	733	4	aandachtspunt/noun
1.0834215	242	1	aangebrand/adj
-0.32076994	3914	4	aangelegenheid/noun
3.3180501	674	26	aangetroffen/adj
1.3856387	1243	7	aankomend/adj
0.34460682	11558	23	aankomst/noun
-0.4992731	4688	4	aanloop/prep
0.75562084	13016	39	aanpassing/noun
-0.14160557	235279	287	aantal/noun
-0.5685952	36431	29	aanval/noun
0.19394125	37821	65	aanvankelijk/adj
0.9888013	19470	74	aanwezigheid/noun
1.5756226	732	5	aanwijsbaar/adj
1.4198655	13043	76	aanwijzing/noun
0.17787854	20232	34	aarde/noun
0.36285487	2462	5	abrupt/adj
0.4393328	916	2	ace/noun
0.7261435	1030	3	achter/adj
2.914388	15018	388	achter/part
0.06247711	150814	226	achter/prep
2.8542807	916	22	achtergelaten/adj
1.2683728	6022	30	achtervolging/noun
-0.57178473	36670	29	acteur/noun
-0.5173116	51290	43	actief/adj
-0.39752284	13888	13	actrice/noun
-0.3166854	52878	54	advocaat/noun
-0.43206215	28306	26	af/adv
-0.31132907	321541	331	af/part
0.21826655	5144	9	afwerking/noun
-0.08005201	9985	13	afwezigheid/noun
