cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_1	ann_2	ann_4	votes	conc_distance	conc_id
spot/noun/nrc_handelsblad_20020501_104/276/L0	spot/noun/nrc_handelsblad_20020501_104/276	L0	de	det	de/det	de	True	L	1	0.24799246	28074105	4683	FALSE	TRUE	FALSE	FALSE	1	1	spot/noun/nrc_handelsblad_20020501_104/276/L0
spot/noun/nrc_handelsblad_20020501_104/276/L1	spot/noun/nrc_handelsblad_20020501_104/276	L1	van	prep	van/prep	van	True	L	2	0.040584682999999996	12638933	1714	FALSE	TRUE	FALSE	FALSE	1	2	spot/noun/nrc_handelsblad_20020501_104/276/L1
spot/noun/nrc_handelsblad_20020501_104/276/L2	spot/noun/nrc_handelsblad_20020501_104/276	L2	mikpunt	noun	mikpunt/noun	mikpunt	True	L	3	6.6784062	1315	135	TRUE	TRUE	TRUE	FALSE	3	3	spot/noun/nrc_handelsblad_20020501_104/276/L2
spot/noun/nrc_handelsblad_20020501_104/276/L3	spot/noun/nrc_handelsblad_20020501_104/276	L3	het	det	het/det	het	True	L	4	-0.03227321	11650779	1469	TRUE	FALSE	FALSE	FALSE	1	4	spot/noun/nrc_handelsblad_20020501_104/276/L3
spot/noun/nrc_handelsblad_20020501_104/276/L4	spot/noun/nrc_handelsblad_20020501_104/276	L4	steeds	adv	steeds/adv	steeds	True	L	5	-0.056195400000000006	252048	31	FALSE	FALSE	FALSE	FALSE	0	5	spot/noun/nrc_handelsblad_20020501_104/276/L4
spot/noun/nrc_handelsblad_20020501_104/276/L5	spot/noun/nrc_handelsblad_20020501_104/276	L5	hijzelf	pron	hijzelf/pron	hijzelf	True	L	6	0.472734	4761	1	FALSE	FALSE	FALSE	FALSE	0	6	spot/noun/nrc_handelsblad_20020501_104/276/L5
spot/noun/nrc_handelsblad_20020501_104/276/L6	spot/noun/nrc_handelsblad_20020501_104/276	L6	ben	verb	ben/verb	is	True	L	7	0.04941353	9938754	1360	FALSE	FALSE	FALSE	FALSE	0	7	spot/noun/nrc_handelsblad_20020501_104/276/L6
spot/noun/nrc_handelsblad_20020501_104/276/L7	spot/noun/nrc_handelsblad_20020501_104/276	L7	nu	adv	nu/adv	Nu	True	L	8	-0.05809699	803160	99	FALSE	FALSE	FALSE	FALSE	0	8	spot/noun/nrc_handelsblad_20020501_104/276/L7
spot/noun/nrc_handelsblad_20020501_104/276/L8	spot/noun/nrc_handelsblad_20020501_104/276	L8	sentence_delimiter	none	none	<sentence>	none	L	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	-1	spot/noun/nrc_handelsblad_20020501_104/276/delimiter
spot/noun/nrc_handelsblad_20020501_104/276/L9	spot/noun/nrc_handelsblad_20020501_104/276	L9	sentence_delimiter	none	none	</sentence>	none	L	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	-1	spot/noun/nrc_handelsblad_20020501_104/276/delimiter
spot/noun/nrc_handelsblad_20020501_104/276/L10	spot/noun/nrc_handelsblad_20020501_104/276	L10	.	punct	./punct	.	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	9	spot/noun/nrc_handelsblad_20020501_104/276/L8
spot/noun/nrc_handelsblad_20020501_104/276/L11	spot/noun/nrc_handelsblad_20020501_104/276	L11	maak	verb	maak/verb	maken	False	L	12	0.13111667	801559	119	FALSE	FALSE	FALSE	FALSE	0	10	spot/noun/nrc_handelsblad_20020501_104/276/L9
spot/noun/nrc_handelsblad_20020501_104/276/L12	spot/noun/nrc_handelsblad_20020501_104/276	L12	kan	verb	kan/verb	kan	False	L	13	-0.33870858	1969534	183	FALSE	FALSE	FALSE	FALSE	0	11	spot/noun/nrc_handelsblad_20020501_104/276/L10
spot/noun/nrc_handelsblad_20020501_104/276/L13	spot/noun/nrc_handelsblad_20020501_104/276	L13	belachelijk	adj	belachelijk/adj	belachelijk	False	L	14	NA	NA	NA	FALSE	TRUE	FALSE	FALSE	1	12	spot/noun/nrc_handelsblad_20020501_104/276/L11
spot/noun/nrc_handelsblad_20020501_104/276/L14	spot/noun/nrc_handelsblad_20020501_104/276	L14	meer	adv	meer/adv	meer	False	L	15	-0.15298454	429100	48	FALSE	FALSE	FALSE	FALSE	0	13	spot/noun/nrc_handelsblad_20020501_104/276/L12
spot/noun/nrc_handelsblad_20020501_104/276/L15	spot/noun/nrc_handelsblad_20020501_104/276	L15	politicus	noun	politicus/noun	politici	False	L	16	0.99159086	54316	19	FALSE	FALSE	FALSE	FALSE	0	14	spot/noun/nrc_handelsblad_20020501_104/276/L13
spot/noun/nrc_handelsblad_20020501_104/276/R0	spot/noun/nrc_handelsblad_20020501_104/276	R0	,	punct	,/punct	,	True	R	1	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	1	spot/noun/nrc_handelsblad_20020501_104/276/R0
spot/noun/nrc_handelsblad_20020501_104/276/R1	spot/noun/nrc_handelsblad_20020501_104/276	R1	en	vg	en/vg	en	True	R	2	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	2	spot/noun/nrc_handelsblad_20020501_104/276/R1
spot/noun/nrc_handelsblad_20020501_104/276/R2	spot/noun/nrc_handelsblad_20020501_104/276	R2	zonder	prep	zonder/prep	zonder	True	R	3	0.37521344	226930	42	FALSE	FALSE	FALSE	FALSE	0	3	spot/noun/nrc_handelsblad_20020501_104/276/R2
spot/noun/nrc_handelsblad_20020501_104/276/R3	spot/noun/nrc_handelsblad_20020501_104/276	R3	tegenstander	noun	tegenstander/noun	tegenstanders	True	R	4	-0.4355696	47393	4	FALSE	FALSE	FALSE	FALSE	0	4	spot/noun/nrc_handelsblad_20020501_104/276/R3
spot/noun/nrc_handelsblad_20020501_104/276/R4	spot/noun/nrc_handelsblad_20020501_104/276	R4	van	prep	van/prep	van	True	R	5	0.040584682999999996	12638933	1714	FALSE	FALSE	FALSE	FALSE	0	5	spot/noun/nrc_handelsblad_20020501_104/276/R4
spot/noun/nrc_handelsblad_20020501_104/276/R5	spot/noun/nrc_handelsblad_20020501_104/276	R5	niveau	noun	niveau/noun	niveau	True	R	6	-0.018343294	54600	7	FALSE	FALSE	FALSE	FALSE	0	6	spot/noun/nrc_handelsblad_20020501_104/276/R5
spot/noun/nrc_handelsblad_20020501_104/276/R6	spot/noun/nrc_handelsblad_20020501_104/276	R6	ga	verb	ga/verb	gaat	True	R	7	-0.19618788	1085158	116	FALSE	FALSE	FALSE	FALSE	0	7	spot/noun/nrc_handelsblad_20020501_104/276/R6
spot/noun/nrc_handelsblad_20020501_104/276/R7	spot/noun/nrc_handelsblad_20020501_104/276	R7	dat	det	dat/det	dat	True	R	8	-0.20540042	1849436	197	FALSE	FALSE	FALSE	FALSE	0	8	spot/noun/nrc_handelsblad_20020501_104/276/R7
