_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
spot.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.2316415214342251	-0.019218589948319917	569	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	223	spot	0.24197012548613928
spot.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.2149090416032683	-0.04698397506420225	569	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	223	spot	0.23166334640041808
spot.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.0959677940999769	-0.17156460485528005	569	1	nav	bound	ppmi_weight	10_10	foc	569	nav	4_4	223	spot	0.2458645705324562
spot.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.2640592107752555	-0.014321072215814981	569	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	223	spot	0.2306156037310197
spot.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.23076985493182312	-0.04440055688989366	569	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	223	spot	0.22831610923053267
spot.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.14719517279196417	-0.07298476342696242	569	1	nav	bound	ppmi_weight	10_10	foc	569	nav	10_10	223	spot	0.22710528429112972
spot.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.29021771108290717	-0.022837376920036158	569	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	223	spot	0.23808775715819
spot.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.23370227904676716	-0.05157614705457138	569	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	223	spot	0.23335123749050168
spot.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.1958093043710552	-0.1149703775166701	569	1	nav	bound	ppmi_weight	10_10	foc	569	all	4_4	223	spot	0.24548530839471147
spot.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.28243608193254316	-0.010380792408528839	569	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	223	spot	0.22942674675146243
spot.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.2545369924888118	-0.030634351486272915	569	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	223	spot	0.232068682604847
spot.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.147195172791961	-0.07298476342695202	569	1	nav	bound	ppmi_weight	10_10	foc	569	all	10_10	223	spot	0.22710528429112972
spot.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.2221905824627571	0.18651202186648966	569	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	223	spot	0.25887183078385484
spot.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.21778687934424076	0.21283664653331677	569	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	223	spot	0.2557758352113006
spot.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.11997016785365382	0.09496941916248774	569	1	nav	bound	ppmi_sel	10_10	foc	569	nav	4_4	223	spot	0.2596355225890895
spot.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.21954178719979564	0.16348363776422897	569	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	223	spot	0.2520851087715631
