pmi	raw_freq	raw_co	cw
3.2674553	290	1	1872/noun
0.34682283	5419	1	1974/noun
-0.5803903	55236	4	2001/noun
-0.29193228	20754	2	21/noun
0.334511	16647	3	30/noun
-0.2817131	20560	2	4/noun
-0.27803633	20423	2	8/noun
2.7861638	2397	5	Aalsterse/adj
0.31941667	56013	10	Amerikaan/noun
-0.6174459	231449	16	Amerikaans/adj
3.242514	303	1	Atheense/adj
-0.500784	12935	1	Australisch/adj
0.15682335	6646	1	Brabants/adj
0.28543234	94154	16	Brits/adj
0.3944366	36613	7	Brussels/adj
0.7908283	27916	8	Duitser/noun
2.0795598	2872	3	Engelstalig/adj
-0.7614245	165681	10	Europees/adj
0.3623547	16042	3	Franstalig/adj
0.37977803	5260	1	Griek/noun
1.9674178	2154	2	Hongaar/noun
3.5953157	213	1	Mortselse/adj
-0.25340667	241254	24	Nederlands/adj
-0.022418382	7861	1	Nederlandstalig/adj
1.880707	2351	2	Romein/noun
0.05359507	124773	17	Vlaams/adj
1.0917631	30941	12	aan/adj
0.26927054	392664	67	aan/part
-0.23911099	2153601	221	aan/prep
2.2461362	828	1	aanbevolen/adj
-0.0344749	7957	1	aangepast/adj
-0.202167	235279	25	aantal/noun
0.009036842	37821	5	aanvankelijk/adj
-0.021227496	46939	6	aanwezig/adj
1.7780637	5157	4	abstract/adj
0.9809417	8676	3	accent/noun
0.35419157	150814	28	achter/prep
1.1800667	2345	1	achteren/adv
2.5262678	617	1	actualiteit_programma/noun
3.4521348	3160	13	adverteerder/noun
2.9844496	10114	26	advertentie/noun
-0.7912788	33909	2	advies/noun
-0.4949308	12622	1	adviseur/noun
-0.401198	321541	28	af/part
2.1875339	12082	14	affiche/noun
1.1481575	9728	4	afkomst/noun
3.4034362	507	2	afstandelijkheid/noun
-0.20945701	1066466	113	al/adv
0.26836735	422543	72	alle/det
0.69730353	3817	1	alle/pron
-0.105891235	178364	21	alleen/adj
0.18766256	266562	42	alleen/adv
3.4507115	241	1	allegorische/adj
0.4288715	209596	42	alles/noun
0.103378326	1263756	183	als/prep
-0.0058760485	292821	38	altijd/adv
0.36809644	26735	5	alweer/adv
2.418281	2052	3	amusant/adj
-0.62602985	14330	1	analyse/noun
0.036642738	663512	90	ander/adj
-0.030202571	142075	18	anders/adj
1.1026495	15140	6	anderzijds/adv
1.085492	2607	1	angst/prep
2.8428206	1354	3	animatiefilm/noun
1.1664101	2395	1	antisemitisme/noun
1.8456254	2422	2	arena/noun
0.6467657	4025	1	arrondissement/noun
0.54916257	17727	4	artiest/noun
0.26802072	48055	7	artikel/noun
0.5545007	13145	3	aspect/noun
0.7181276	33752	9	auteur/noun
2.3554986	744	1	auto_wrak/noun
0.93953866	47971	16	avond/noun
-0.13648291	8792	1	bak/noun
