_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.19651900572913514	-0.06747938016653893	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	320	staal	0.21442552968797346
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.21857190480392577	-0.06098751608648096	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	320	staal	0.2134389554029513
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.23450548203969349	-0.08990582609326227	754	1	nav	bound	ppmi_weight	10_10	foc	754	nav	4_4	320	staal	0.21376668757342052
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.17461689884541465	-0.0894498258906572	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	320	staal	0.20521257477845206
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.19425595630722714	-0.07350653048966294	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	320	staal	0.20711151066505556
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.22063854256488952	-0.11769470149874846	754	1	nav	bound	ppmi_weight	10_10	foc	754	nav	10_10	320	staal	0.20362072947362433
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.1975828336461464	-0.06853538547246386	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	320	staal	0.21560845313314778
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.2121335685813032	-0.06450436254630867	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	320	staal	0.21490161368155924
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.23450255851208174	-0.08990755892637914	754	1	nav	bound	ppmi_weight	10_10	foc	754	all	4_4	320	staal	0.21376668757342052
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.17223368069242292	-0.09547390941694195	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	320	staal	0.20541947632968843
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.18409761807552721	-0.07761819862345783	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	320	staal	0.20818425706221552
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.22063890908145348	-0.11769472352591692	754	1	nav	bound	ppmi_weight	10_10	foc	754	all	10_10	320	staal	0.20362072947362433
staal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.022525282246763867	-0.1743055302583139	754	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	320	staal	0.2272799989152098
