_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16551482913902507	-0.04432217373506914	1	5000	5000	311	stof	NA	NA	BOW	bound	648	lex	10_10	weight	nav	4_4	0.23333829469877257
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.1339818036409036	-0.29472757048316905	1	5000	5000	311	stof	NA	NA	BOW	bound	648	lex	10_10	weight	all	4_4	0.2805151406155006
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2266327187679158	-0.023817488519168813	1	FOC	507	311	stof	NA	NA	BOW	bound	648	lex	10_10	weight	nav	4_4	0.22552874289316038
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.22694297136203956	-0.026189909995159317	1	FOC	648	311	stof	NA	NA	BOW	bound	648	lex	10_10	weight	all	4_4	0.22144782653146894
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16291549816900402	-0.08460006004656413	1	5000	5000	311	stof	NA	NA	BOW	bound	648	lex	10_10	selection	nav	4_4	0.22899071843062638
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.1967429782983809	-0.36254672260528564	1	5000	5000	311	stof	NA	NA	BOW	bound	648	lex	10_10	selection	all	4_4	0.2681141947738731
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.21809156901906604	-0.04384232431664896	1	FOC	507	311	stof	NA	NA	BOW	bound	648	lex	10_10	selection	nav	4_4	0.2212341188160886
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2172479954085462	-0.04673218342897419	1	FOC	648	311	stof	NA	NA	BOW	bound	648	lex	10_10	selection	all	4_4	0.21596495825786824
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.17767578800958556	-0.10727577970717904	1	5000	5000	313	stof	NA	NA	BOW	bound	1132	lex	10_10	no	nav	4_4	0.22797019700364496
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.30095452840108433	-0.5063286802699282	1	5000	5000	313	stof	NA	NA	BOW	bound	1132	lex	10_10	no	all	4_4	0.25324110693212093
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21455481261751053	-0.06315133533193233	1	FOC	870	313	stof	NA	NA	BOW	bound	1132	lex	10_10	no	nav	4_4	0.22001630069815598
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.21411530112214672	-0.06615962533003916	1	FOC	1132	313	stof	NA	NA	BOW	bound	1132	lex	10_10	no	all	4_4	0.21691907910383768
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.12632072856028284	-0.03609082081510533	1	5000	5000	313	stof	NA	NA	BOW	bound	766	all	10_10	weight	nav	4_4	0.21503596207244968
