_id	_cws.horde.foc10.nav.ppmi_weight.bound	_count.horde.foc10.nav.ppmi_weight.bound	_cws.horde.foc10.nav.ppmi_sel.bound	_count.horde.foc10.nav.ppmi_sel.bound	_cws.horde.foc10.nav.no_ppmi.bound	_count.horde.foc10.nav.no_ppmi.bound	_cws.horde.foc10.all.ppmi_weight.bound	_count.horde.foc10.all.ppmi_weight.bound	_cws.horde.foc10.all.ppmi_sel.bound	_count.horde.foc10.all.ppmi_sel.bound	_cws.horde.foc10.all.no_ppmi.bound	_count.horde.foc10.all.no_ppmi.bound	_cws.horde.foc5.nav.ppmi_weight.bound	_count.horde.foc5.nav.ppmi_weight.bound	_cws.horde.foc5.nav.ppmi_sel.bound	_count.horde.foc5.nav.ppmi_sel.bound	_cws.horde.foc5.nav.no_ppmi.bound	_count.horde.foc5.nav.no_ppmi.bound	_cws.horde.foc5.all.ppmi_weight.bound	_count.horde.foc5.all.ppmi_weight.bound	_cws.horde.foc5.all.ppmi_sel.bound	_count.horde.foc5.all.ppmi_sel.bound	_cws.horde.foc5.all.no_ppmi.bound	_count.horde.foc5.all.no_ppmi.bound
horde/noun/algemeen_dagblad_19990201_140/193	achtervolg/verb;hotel/noun;paparazzi/noun	3.0	achtervolg/verb;hotel/noun;paparazzi/noun	3.0	achtervolg/verb;auto/noun;ben/verb;hotel/noun;paparazzi/noun	5.0	achtervolg/verb;door/prep;een/det;haar/det;hotel/noun;paparazzi/noun;vandaan/adv	7	achtervolg/verb;door/prep;een/det;haar/det;hotel/noun;paparazzi/noun;vandaan/adv	7	achtervolg/verb;auto/noun;ben/verb;bij/prep;door/prep;een/det;haar/det;hotel/noun;paparazzi/noun;vandaan/adv	10	achtervolg/verb;paparazzi/noun	2.0	achtervolg/verb;paparazzi/noun	2.0	achtervolg/verb;ben/verb;paparazzi/noun	3.0	achtervolg/verb;door/prep;een/det;paparazzi/noun;vandaan/adv	5.0	achtervolg/verb;door/prep;een/det;paparazzi/noun;vandaan/adv	5.0	achtervolg/verb;ben/verb;door/prep;een/det;paparazzi/noun;vandaan/adv	6.0
horde/noun/algemeen_dagblad_19990406_124/105	struikel/verb	1.0	struikel/verb	1.0	struikel/verb	1.0	de/det;over/prep;struikel/verb	3	de/det;over/prep;struikel/verb	3	de/det;echter/adv;over/prep;struikel/verb	4							de/det;over/prep	2.0	de/det;over/prep	2.0	de/det;echter/adv;over/prep	3.0
horde/noun/algemeen_dagblad_19990420_66/237	bestorm/verb;buitenlands/adj;journalist/noun	3.0	bestorm/verb;buitenlands/adj;journalist/noun	3.0	bestorm/verb;buitenlands/adj;journalist/noun;minister/noun;toenmalig/adj	5.0	bestorm/verb;buitenlands/adj;de/det;journalist/noun	4	bestorm/verb;buitenlands/adj;de/det;journalist/noun	4	bestorm/verb;buitenlands/adj;de/det;journalist/noun;minister/noun;toenmalig/adj	6	bestorm/verb;buitenlands/adj;journalist/noun	3.0	bestorm/verb;buitenlands/adj;journalist/noun	3.0	bestorm/verb;buitenlands/adj;journalist/noun;toenmalig/adj	4.0	bestorm/verb;buitenlands/adj;de/det;journalist/noun	4.0	bestorm/verb;buitenlands/adj;de/det;journalist/noun	4.0	bestorm/verb;buitenlands/adj;de/det;journalist/noun;toenmalig/adj	5.0
horde/noun/algemeen_dagblad_19990505_115/705	achtervolgd/adj;kind/noun;laat/verb;overbodig/adj;reken_les/noun	5.0	achtervolgd/adj;kind/noun;laat/verb;overbodig/adj;reken_les/noun	5.0	achtervolgd/adj;hoor/verb;kind/noun;laat/verb;overbodig/adj;reken_les/noun	6.0	achtervolgd/adj;de/det;die/pron;door/prep;kind/noun;laat/verb;overbodig/adj;reken_les/noun	8	achtervolgd/adj;de/det;die/pron;door/prep;kind/noun;laat/verb;overbodig/adj;reken_les/noun	8	achtervolgd/adj;de/det;die/pron;door/prep;hen/pron;hoor/verb;kind/noun;laat/verb;overbodig/adj;reken_les/noun;voor/prep	11	achtervolgd/adj;kind/noun;laat/verb	3.0	achtervolgd/adj;kind/noun;laat/verb	3.0	achtervolgd/adj;hoor/verb;kind/noun;laat/verb	4.0	achtervolgd/adj;die/pron;door/prep;kind/noun;laat/verb	5.0	achtervolgd/adj;die/pron;door/prep;kind/noun;laat/verb	5.0	achtervolgd/adj;die/pron;door/prep;hoor/verb;kind/noun;laat/verb	6.0
horde/noun/algemeen_dagblad_19990507_114/73	opstand/noun;overheers/adj;zaag/verb	3.0	opstand/noun;overheers/adj;zaag/verb	3.0	eeuw/noun;opstand/noun;overheers/adj;zaag/verb	4.0	de/det;opstand/noun;overheers/adj;zaag/verb	4	de/det;opstand/noun;overheers/adj;zaag/verb	4	de/det;eeuw/noun;opstand/noun;overheers/adj;van/prep;zaag/verb	6	opstand/noun;zaag/verb	2.0	opstand/noun;zaag/verb	2.0	eeuw/noun;opstand/noun;zaag/verb	3.0	de/det;opstand/noun;zaag/verb	3.0	de/det;opstand/noun;zaag/verb	3.0	de/det;eeuw/noun;opstand/noun;zaag/verb	4.0
horde/noun/algemeen_dagblad_19990512_148/1032	1996/noun;hoog/adj	2.0	1996/noun;hoog/adj	2.0	1996/noun;hoog/adj	2.0	1996/noun;als/prep;een/det;hoog/adj;te/adv	5	1996/noun;als/prep;een/det;hoog/adj;te/adv	5	1996/noun;als/prep;een/det;hoog/adj;in/prep;met/prep;te/adv	7	hoog/adj	1.0	hoog/adj	1.0	hoog/adj	1.0	als/prep;een/det;hoog/adj;te/adv	4.0	als/prep;een/det;hoog/adj;te/adv	4.0	als/prep;een/det;hoog/adj;te/adv	4.0
horde/noun/algemeen_dagblad_19990521_118/827	Aziatisch/adj;dam_in/verb;essentieel/adj	3.0	Aziatisch/adj;dam_in/verb;essentieel/adj	3.0	Aziatisch/adj;ben/verb;dam_in/verb;essentieel/adj;hand/noun;krijg/verb;sterk/adj	7.0	Aziatisch/adj;dam_in/verb;de/det;een/det;essentieel/adj;op/prep	6	Aziatisch/adj;dam_in/verb;de/det;een/det;essentieel/adj;op/prep	6	Aziatisch/adj;ben/verb;dam_in/verb;de/det;een/det;elkaar/pron;essentieel/adj;hand/noun;hij/pron;in/part;krijg/verb;op/prep;sterk/adj;veel/det	14	Aziatisch/adj;dam_in/verb;essentieel/adj	3.0	Aziatisch/adj;dam_in/verb;essentieel/adj	3.0	Aziatisch/adj;ben/verb;dam_in/verb;essentieel/adj;krijg/verb	5.0	Aziatisch/adj;dam_in/verb;de/det;essentieel/adj	4.0	Aziatisch/adj;dam_in/verb;de/det;essentieel/adj	4.0	Aziatisch/adj;ben/verb;dam_in/verb;de/det;essentieel/adj;in/part;krijg/verb	7.0
horde/noun/algemeen_dagblad_19990601_117/333	begin/verb;hoog/adj;horde_loop/noun;sprong/noun	4.0	begin/verb;hoog/adj;horde_loop/noun;sprong/noun	4.0	begin/verb;ben/verb;hoog/adj;horde_loop/noun;sprong/noun	5.0	begin/verb;de/det;hoog/adj;horde_loop/noun;over/prep;sprong/noun	6	begin/verb;de/det;hoog/adj;horde_loop/noun;over/prep;sprong/noun	6	begin/verb;ben/verb;de/det;hoog/adj;horde_loop/noun;met/prep;over/prep;sprong/noun;we/pron	9	hoog/adj;sprong/noun	2.0	hoog/adj;sprong/noun	2.0	hoog/adj;sprong/noun	2.0	de/det;hoog/adj;over/prep;sprong/noun	4.0	de/det;hoog/adj;over/prep;sprong/noun	4.0	de/det;hoog/adj;over/prep;sprong/noun	4.0
horde/noun/algemeen_dagblad_19990721_92/476	enorm/adj;erken/verb;moet/verb;neem/verb	4.0	enorm/adj;erken/verb;moet/verb;neem/verb	4.0	ben/verb;enorm/adj;erken/verb;moet/verb;neem/verb	5.0	die/pron;een/det;enorm/adj;erken/verb;ik/pron;moet/verb;neem/verb	7	die/pron;een/det;enorm/adj;erken/verb;ik/pron;moet/verb;neem/verb	7	ben/verb;die/pron;een/det;enorm/adj;erken/verb;het/det;ik/pron;moet/verb;neem/verb;ook/adv;vandaag/adv	11	enorm/adj;moet/verb	2.0	enorm/adj;moet/verb	2.0	ben/verb;enorm/adj;moet/verb	3.0	die/pron;een/det;enorm/adj;ik/pron;moet/verb	5.0	die/pron;een/det;enorm/adj;ik/pron;moet/verb	5.0	ben/verb;die/pron;een/det;enorm/adj;het/det;ik/pron;moet/verb;ook/adv;vandaag/adv	9.0
horde/noun/algemeen_dagblad_19990731_39/232	Europees/adj;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	5.0	Europees/adj;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	5.0	Europees/adj;bepaal/verb;meest/adj;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	7.0	Europees/adj;de/det;op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	7	Europees/adj;de/det;op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	7	Europees/adj;bepaal/verb;dat/det;de/det;het/det;in/prep;meest/adj;op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	12	stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	4.0	stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	4.0	bepaal/verb;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	5.0	op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	5.0	op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	5.0	bepaal/verb;dat/det;het/det;op/prep;stad/noun;straat_beeld/noun;tijdstip/noun;toerist/noun	8.0
horde/noun/algemeen_dagblad_19990830_55/114	ere_podium/noun;seconde/noun;sprint/verb	3.0	ere_podium/noun;seconde/noun;sprint/verb	3.0	WK/noun;ere_podium/noun;seconde/noun;sprint/verb	4.0	de/det;ere_podium/noun;naar/prep;over/prep;seconde/noun;sprint/verb	6	de/det;ere_podium/noun;naar/prep;over/prep;seconde/noun;sprint/verb	6	WK/noun;de/det;ere_podium/noun;het/det;in/prep;naar/prep;over/prep;seconde/noun;sprint/verb;van/prep	10	ere_podium/noun;seconde/noun	2.0	ere_podium/noun;seconde/noun	2.0	ere_podium/noun;seconde/noun	2.0	de/det;ere_podium/noun;naar/prep;over/prep;seconde/noun	5.0	de/det;ere_podium/noun;naar/prep;over/prep;seconde/noun	5.0	de/det;ere_podium/noun;het/det;in/prep;naar/prep;over/prep;seconde/noun;van/prep	8.0
