_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.07290351916843148	-0.3883459406660236	648	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	274	horde	0.23044633083456245
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	0.05802425000466573	-0.019456553359574205	648	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	274	horde	0.23884235949148683
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.19683187844306524	0.2628531687947813	648	1	nav	bound	ppmi_weight	10_10	foc	648	nav	4_4	274	horde	0.253887430934169
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.03479836921410713	-0.37193020916004843	648	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	274	horde	0.22034889896470042
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	0.022227020208428438	-0.37120491950456985	648	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	274	horde	0.22409191670218015
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.25026091592430066	0.07423529795223119	648	1	nav	bound	ppmi_weight	10_10	foc	648	nav	10_10	274	horde	0.2410186914887045
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	0.1621785757486919	-0.30818802744790375	648	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	274	horde	0.2312686687332085
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	0.03667638867507209	-0.2397445972252827	648	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	274	horde	0.23584670991166212
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.216483978416174	0.30569566084560684	648	1	nav	bound	ppmi_weight	10_10	foc	648	all	4_4	274	horde	0.253887430934169
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.143895323817269	-0.4168439550522971	648	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	274	horde	0.2222783861207643
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	0.07683005304820206	-0.3782907620601034	648	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	274	horde	0.22088199078606852
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.30839829607819597	0.2535127922561288	648	1	nav	bound	ppmi_weight	10_10	foc	648	all	10_10	274	horde	0.240553720019205
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	0.24004522144378343	0.20562893505888047	648	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	274	horde	0.22361190912594314
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	0.2848823767521636	-0.11781014911569272	648	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	274	horde	0.2268434002715703
