_id	_cws.spoor.foc10.nav.ppmi_weight.bound	_count.spoor.foc10.nav.ppmi_weight.bound	_cws.spoor.foc10.nav.ppmi_sel.bound	_count.spoor.foc10.nav.ppmi_sel.bound	_cws.spoor.foc10.nav.no_ppmi.bound	_count.spoor.foc10.nav.no_ppmi.bound	_cws.spoor.foc10.all.ppmi_weight.bound	_count.spoor.foc10.all.ppmi_weight.bound	_cws.spoor.foc10.all.ppmi_sel.bound	_count.spoor.foc10.all.ppmi_sel.bound	_cws.spoor.foc10.all.no_ppmi.bound	_count.spoor.foc10.all.no_ppmi.bound	_cws.spoor.foc5.nav.ppmi_weight.bound	_count.spoor.foc5.nav.ppmi_weight.bound	_cws.spoor.foc5.nav.ppmi_sel.bound	_count.spoor.foc5.nav.ppmi_sel.bound	_cws.spoor.foc5.nav.no_ppmi.bound	_count.spoor.foc5.nav.no_ppmi.bound	_cws.spoor.foc5.all.ppmi_weight.bound	_count.spoor.foc5.all.ppmi_weight.bound	_cws.spoor.foc5.all.ppmi_sel.bound	_count.spoor.foc5.all.ppmi_sel.bound	_cws.spoor.foc5.all.no_ppmi.bound	_count.spoor.foc5.all.no_ppmi.bound
spoor/noun/nrc_handelsblad_20000127_56/572	bekwaam/adj;heb/verb;wis_uit/verb	3	bekwaam/adj;heb/verb;wis_uit/verb	3	bekwaam/adj;heb/verb;wis_uit/verb;zeg/verb	4	bekwaam/adj;heb/verb;wis_uit/verb;zijn/det	4	bekwaam/adj;heb/verb;wis_uit/verb;zijn/det	4	bekwaam/adj;heb/verb;hij/pron;wis_uit/verb;ze/pron;zeer/adv;zeg/verb;zijn/det	8	bekwaam/adj;heb/verb;wis_uit/verb	3	bekwaam/adj;heb/verb;wis_uit/verb	3	bekwaam/adj;heb/verb;wis_uit/verb;zeg/verb	4	bekwaam/adj;heb/verb;wis_uit/verb;zijn/det	4	bekwaam/adj;heb/verb;wis_uit/verb;zijn/det	4	bekwaam/adj;heb/verb;hij/pron;wis_uit/verb;ze/pron;zeer/adv;zeg/verb;zijn/det	8
spoor/noun/nrc_handelsblad_20000823_29/51	berouw/noun;heb/verb;toon/verb	3	berouw/noun;heb/verb;toon/verb	3	bedoeling/noun;berouw/noun;heb/verb;ontken/verb;toon/verb	5	berouw/noun;de/det;enkel/det;geen/det;heb/verb;toon/verb;van/prep	7	berouw/noun;de/det;enkel/det;geen/det;heb/verb;toon/verb;van/prep	7	bedoeling/noun;berouw/noun;de/det;enkel/det;geen/det;heb/verb;ontken/verb;toon/verb;van/prep	9	berouw/noun;toon/verb	2	berouw/noun;toon/verb	2	berouw/noun;ontken/verb;toon/verb	3	berouw/noun;enkel/det;geen/det;toon/verb;van/prep	5	berouw/noun;enkel/det;geen/det;toon/verb;van/prep	5	berouw/noun;enkel/det;geen/det;ontken/verb;toon/verb;van/prep	6
spoor/noun/nrc_handelsblad_20031212_03/60	heb/verb;laat_na/verb	2	heb/verb;laat_na/verb	2	groot/adj;heb/verb;hit/noun;laat_na/verb;leef/verb;nummer/noun	6	geen/det;heb/verb;het/det;in/prep;laat_na/verb;zijn/det	6	geen/det;heb/verb;het/det;in/prep;laat_na/verb;zijn/det	6	geen/det;groot/adj;heb/verb;het/det;hit/noun;in/prep;laat_na/verb;leef/verb;nummer/noun;ons/det;wel/adv;zijn/det	12	heb/verb;laat_na/verb	2	heb/verb;laat_na/verb	2	heb/verb;laat_na/verb;leef/verb;nummer/noun	4	heb/verb;het/det;in/prep;laat_na/verb;zijn/det	5	heb/verb;het/det;in/prep;laat_na/verb;zijn/det	5	heb/verb;het/det;in/prep;laat_na/verb;leef/verb;nummer/noun;ons/det;wel/adv;zijn/det	9
spoor/noun/nrc_handelsblad_20010125_74/360	aanwijsbaar/adj;ben/verb;elite_troep/noun	3	aanwijsbaar/adj;ben/verb;elite_troep/noun	3	aanval/noun;aanwijsbaar/adj;ben/verb;elite_troep/noun	4	aanwijsbaar/adj;ben/verb;de/det;elite_troep/noun;er/adv;geen/det;het/det;meer/adv;van/prep	9	aanwijsbaar/adj;ben/verb;de/det;elite_troep/noun;er/adv;geen/det;het/det;meer/adv;van/prep	9	aanval/noun;aanwijsbaar/adj;ben/verb;de/det;elite_troep/noun;er/adv;geen/det;het/det;meer/adv;van/prep;zelfs/adv	11	aanwijsbaar/adj;ben/verb	2	aanwijsbaar/adj;ben/verb	2	aanval/noun;aanwijsbaar/adj;ben/verb	3	aanwijsbaar/adj;ben/verb;er/adv;geen/det;meer/adv	5	aanwijsbaar/adj;ben/verb;er/adv;geen/det;meer/adv	5	aanval/noun;aanwijsbaar/adj;ben/verb;er/adv;geen/det;meer/adv;zelfs/adv	7
spoor/noun/nrc_handelsblad_20021004_159/1137	bemanning_lid/noun;ben/verb;loop_uiteen/adj;raak/verb	4	bemanning_lid/noun;ben/verb;loop_uiteen/adj;raak/verb	4	beetje/noun;bemanning_lid/noun;ben/verb;eerlijk/adj;gezegd/adj;loop_uiteen/adj;raak/verb	7	bemanning_lid/noun;ben/verb;bijster/adv;de/det;een/det;het/det;loop_uiteen/adj;raak/verb;tussen/prep;van/prep	10	bemanning_lid/noun;ben/verb;bijster/adv;de/det;een/det;het/det;loop_uiteen/adj;raak/verb;tussen/prep;van/prep	10	beetje/noun;bemanning_lid/noun;ben/verb;bijster/adv;de/det;een/det;eerlijk/adj;gezegd/adj;het/det;loop_uiteen/adj;raak/verb;tussen/prep;van/prep;we/pron	14	ben/verb;raak/verb	2	ben/verb;raak/verb	2	beetje/noun;ben/verb;eerlijk/adj;gezegd/adj;raak/verb	5	ben/verb;bijster/adv;een/det;het/det;raak/verb;tussen/prep	6	ben/verb;bijster/adv;een/det;het/det;raak/verb;tussen/prep	6	beetje/noun;ben/verb;bijster/adv;een/det;eerlijk/adj;gezegd/adj;het/det;raak/verb;tussen/prep;we/pron	10
spoor/noun/nrc_handelsblad_20010127_9/139	ben/verb;zet/verb	2	ben/verb;zet/verb	2	ben/verb;precies/adj;schiet/verb;zet/verb	4	ben/verb;de/det;het/det;op/prep;van/prep;zet/verb	6	ben/verb;de/det;het/det;op/prep;van/prep;zet/verb	6	ben/verb;de/det;het/det;nu/adv;op/prep;precies/adj;schiet/verb;van/prep;wat/pron;zet/verb	10	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;de/det;het/det;op/prep;van/prep	5	ben/verb;de/det;het/det;op/prep;van/prep	5	ben/verb;de/det;het/det;op/prep;van/prep	5
spoor/noun/nrc_handelsblad_20040529_206/527	gebeurtenis/noun;vals/adj;verdacht/adj;verkeerd/adj;zet/verb	5	gebeurtenis/noun;vals/adj;verdacht/adj;verkeerd/adj;zet/verb	5	been/noun;gebeurtenis/noun;lezer/noun;licht/noun;plaats/verb;vals/adj;verdacht/adj;verkeerd/adj;zet/verb	9	de/det;die/pron;een/det;gebeurtenis/noun;het/det;ieder/det;in/prep;op/prep;vals/adj;verdacht/adj;verkeerd/adj;zet/verb	12	de/det;die/pron;een/det;gebeurtenis/noun;het/det;ieder/det;in/prep;op/prep;vals/adj;verdacht/adj;verkeerd/adj;zet/verb	12	been/noun;de/det;die/pron;een/det;gebeurtenis/noun;het/det;ieder/det;in/prep;lezer/noun;licht/noun;op/prep;plaats/verb;vals/adj;verdacht/adj;verkeerd/adj;vooral/adv;zet/verb	17	vals/adj	1	vals/adj	1	lezer/noun;licht/noun;plaats/verb;vals/adj	4	de/det;die/pron;op/prep;vals/adj	4	de/det;die/pron;op/prep;vals/adj	4	de/det;die/pron;lezer/noun;licht/noun;op/prep;plaats/verb;vals/adj;vooral/adv	8
spoor/noun/nrc_handelsblad_20040410_196/338	ben/verb;lijk/verb	2	ben/verb;lijk/verb	2	ben/verb;denk/verb;iets/noun;lijk/verb	4	ben/verb;dat/pron;het/det;lijk/verb;op/prep	5	ben/verb;dat/pron;het/det;lijk/verb;op/prep	5	ben/verb;bovendien/adv;dat/pron;denk/verb;het/det;hij/pron;iets/noun;lijk/verb;op/prep;toch/adv	10	ben/verb;lijk/verb	2	ben/verb;lijk/verb	2	ben/verb;iets/noun;lijk/verb	3	ben/verb;dat/pron;het/det;lijk/verb;op/prep	5	ben/verb;dat/pron;het/det;lijk/verb;op/prep	5	ben/verb;dat/pron;het/det;hij/pron;iets/noun;lijk/verb;op/prep;toch/adv	8
spoor/noun/nrc_handelsblad_20020206_30/156		0		0		0	van/prep	1	van/prep	1	van/prep	1		0		0		0	van/prep	1	van/prep	1	van/prep	1
spoor/noun/nrc_handelsblad_19991228_39/301	volg/verb	1	volg/verb	1	procent/noun;volg/verb;win/verb	3	dat/pron;een/det;het/det;in/prep;volg/verb	5	dat/pron;een/det;het/det;in/prep;volg/verb	5	dat/pron;een/det;het/det;in/prep;procent/noun;ruim/adv;volg/verb;win/verb	8	volg/verb	1	volg/verb	1	volg/verb	1	dat/pron;het/det;in/prep;volg/verb	4	dat/pron;het/det;in/prep;volg/verb	4	dat/pron;het/det;in/prep;volg/verb	4
