_id	_cws.spot.foc10.nav.ppmi_weight.bound	_count.spot.foc10.nav.ppmi_weight.bound	_cws.spot.foc10.nav.ppmi_sel.bound	_count.spot.foc10.nav.ppmi_sel.bound	_cws.spot.foc10.nav.no_ppmi.bound	_count.spot.foc10.nav.no_ppmi.bound	_cws.spot.foc10.all.ppmi_weight.bound	_count.spot.foc10.all.ppmi_weight.bound	_cws.spot.foc10.all.ppmi_sel.bound	_count.spot.foc10.all.ppmi_sel.bound	_cws.spot.foc10.all.no_ppmi.bound	_count.spot.foc10.all.no_ppmi.bound	_cws.spot.foc5.nav.ppmi_weight.bound	_count.spot.foc5.nav.ppmi_weight.bound	_cws.spot.foc5.nav.ppmi_sel.bound	_count.spot.foc5.nav.ppmi_sel.bound	_cws.spot.foc5.nav.no_ppmi.bound	_count.spot.foc5.nav.no_ppmi.bound	_cws.spot.foc5.all.ppmi_weight.bound	_count.spot.foc5.all.ppmi_weight.bound	_cws.spot.foc5.all.ppmi_sel.bound	_count.spot.foc5.all.ppmi_sel.bound	_cws.spot.foc5.all.no_ppmi.bound	_count.spot.foc5.all.no_ppmi.bound
spot/noun/nrc_handelsblad_20020501_104/276	ben/verb;mikpunt/noun;verveel/verb	3	ben/verb;mikpunt/noun;verveel/verb	3	ben/verb;ga/verb;mikpunt/noun;niveau/noun;tegenstander/noun;verveel/verb	6	ben/verb;de/det;hijzelf/pron;mikpunt/noun;van/prep;verveel/verb;zonder/prep	7	ben/verb;de/det;hijzelf/pron;mikpunt/noun;van/prep;verveel/verb;zonder/prep	7	ben/verb;dat/det;de/det;ga/verb;het/det;hijzelf/pron;mikpunt/noun;niveau/noun;nu/adv;steeds/adv;tegenstander/noun;van/prep;verveel/verb;zonder/prep	14	mikpunt/noun	1	mikpunt/noun	1	mikpunt/noun;tegenstander/noun	2	de/det;mikpunt/noun;van/prep;zonder/prep	4	de/det;mikpunt/noun;van/prep;zonder/prep	4	de/det;het/det;mikpunt/noun;steeds/adv;tegenstander/noun;van/prep;zonder/prep	7
spot/noun/nrc_handelsblad_20020803_120/2075	hot/noun;instabiliteit/noun;maak/verb;veroorzaak/verb	4	hot/noun;instabiliteit/noun;maak/verb;veroorzaak/verb	4	hot/noun;instabiliteit/noun;jaar/noun;kan/verb;kom/adj;maak/verb;veroorzaak/verb;zorg/noun	8	de/det;die/pron;hot/noun;instabiliteit/noun;maak/verb;veroorzaak/verb;zich/pron	7	de/det;die/pron;hot/noun;instabiliteit/noun;maak/verb;veroorzaak/verb;zich/pron	7	de/det;die/pron;hot/noun;instabiliteit/noun;jaar/noun;kan/verb;kom/adj;maak/verb;over/prep;veroorzaak/verb;zich/pron;zorg/noun	12	hot/noun	1	hot/noun	1	hot/noun;jaar/noun;kom/adj;zorg/noun	4	de/det;die/pron;hot/noun;zich/pron	4	de/det;die/pron;hot/noun;zich/pron	4	de/det;die/pron;hot/noun;jaar/noun;kom/adj;over/prep;zich/pron;zorg/noun	8
spot/noun/nrc_handelsblad_20001121_119/338	drijf/verb;gebukt/adj;geneigd/adj	3	drijf/verb;gebukt/adj;geneigd/adj	3	drijf/verb;gebukt/adj;geneigd/adj	3	anderzijds/adv;de/det;drijf/verb;enerzijds/adv;gebukt/adj;geneigd/adj;onder/prep	7	anderzijds/adv;de/det;drijf/verb;enerzijds/adv;gebukt/adj;geneigd/adj;onder/prep	7	anderzijds/adv;de/det;drijf/verb;enerzijds/adv;gebukt/adj;geneigd/adj;onder/prep	7	drijf/verb;geneigd/adj	2	drijf/verb;geneigd/adj	2	drijf/verb;geneigd/adj	2	anderzijds/adv;de/det;drijf/verb;geneigd/adj	4	anderzijds/adv;de/det;drijf/verb;geneigd/adj	4	anderzijds/adv;de/det;drijf/verb;geneigd/adj	4
spot/noun/nrc_handelsblad_20040320_307/77	object/noun;soft/adj;transport_sector/noun;vitaal/adj	4	object/noun;soft/adj;transport_sector/noun;vitaal/adj	4	kom_binnen/verb;mogelijk/adj;object/noun;soft/adj;transport_sector/noun;vitaal/adj	6	de/det;object/noun;soft/adj;transport_sector/noun;vitaal/adj	5	de/det;object/noun;soft/adj;transport_sector/noun;vitaal/adj	5	de/det;in/prep;kom_binnen/verb;mogelijk/adj;object/noun;soft/adj;transport_sector/noun;vitaal/adj	8	soft/adj;transport_sector/noun	2	soft/adj;transport_sector/noun	2	kom_binnen/verb;mogelijk/adj;soft/adj;transport_sector/noun	4	soft/adj;transport_sector/noun	2	soft/adj;transport_sector/noun	2	kom_binnen/verb;mogelijk/adj;soft/adj;transport_sector/noun	4
spot/noun/nrc_handelsblad_20020313_115/172	drijf/verb;geweigerd/adj;uitverkocht/adj;vul/verb	4	drijf/verb;geweigerd/adj;uitverkocht/adj;vul/verb	4	drijf/verb;geweigerd/adj;uitverkocht/adj;vul/verb	4	de/det;die/pron;drijf/verb;geweigerd/adj;met/prep;uitverkocht/adj;vul/verb	7	de/det;die/pron;drijf/verb;geweigerd/adj;met/prep;uitverkocht/adj;vul/verb	7	de/det;die/pron;drijf/verb;geweigerd/adj;het/det;met/prep;uitverkocht/adj;vul/verb	8	drijf/verb;geweigerd/adj	2	drijf/verb;geweigerd/adj	2	drijf/verb;geweigerd/adj	2	de/det;die/pron;drijf/verb;geweigerd/adj;met/prep	5	de/det;die/pron;drijf/verb;geweigerd/adj;met/prep	5	de/det;die/pron;drijf/verb;geweigerd/adj;het/det;met/prep	6
spot/noun/nrc_handelsblad_20010607_6/33	Griek/noun;cartoonisten/noun;mikpunt/noun	3	Griek/noun;cartoonisten/noun;mikpunt/noun	3	Griek/noun;cartoonisten/noun;mikpunt/noun	3	Griek/noun;cartoonisten/noun;een/det;mikpunt/noun;van/prep;vooral/adv	6	Griek/noun;cartoonisten/noun;een/det;mikpunt/noun;van/prep;vooral/adv	6	Griek/noun;cartoonisten/noun;een/det;mikpunt/noun;van/prep;veel/det;voor/prep;vooral/adv	8	cartoonisten/noun;mikpunt/noun	2	cartoonisten/noun;mikpunt/noun	2	cartoonisten/noun;mikpunt/noun	2	cartoonisten/noun;een/det;mikpunt/noun;van/prep	4	cartoonisten/noun;een/det;mikpunt/noun;van/prep	4	cartoonisten/noun;een/det;mikpunt/noun;van/prep;voor/prep	5
spot/noun/nrc_handelsblad_20000512_150/1639	drijf/verb;gesluierd/adj;serieus/adj;vrouw/noun	4	drijf/verb;gesluierd/adj;serieus/adj;vrouw/noun	4	bladzij/noun;drijf/verb;gesluierd/adj;jong/adj;laat/adj;neem/verb;serieus/adj;vrouw/noun	8	de/det;die/pron;drijf/verb;gesluierd/adj;heel/adv;met/prep;op/prep;serieus/adj;vrouw/noun;zichzelf/pron	10	de/det;die/pron;drijf/verb;gesluierd/adj;heel/adv;met/prep;op/prep;serieus/adj;vrouw/noun;zichzelf/pron	10	bladzij/noun;de/det;die/pron;drijf/verb;gesluierd/adj;heel/adv;jong/adj;laat/adj;met/prep;neem/verb;op/prep;serieus/adj;vrouw/noun;zichzelf/pron	14	drijf/verb;gesluierd/adj;vrouw/noun	3	drijf/verb;gesluierd/adj;vrouw/noun	3	drijf/verb;gesluierd/adj;jong/adj;vrouw/noun	4	de/det;die/pron;drijf/verb;gesluierd/adj;met/prep;vrouw/noun	6	de/det;die/pron;drijf/verb;gesluierd/adj;met/prep;vrouw/noun	6	de/det;die/pron;drijf/verb;gesluierd/adj;jong/adj;met/prep;vrouw/noun	7
spot/noun/nrc_handelsblad_19990702_92/646	drijf_op/verb;hamer/verb;macho/noun;tekst/noun	4	drijf_op/verb;hamer/verb;macho/noun;tekst/noun	4	drijf_op/verb;financieel/adj;hamer/verb;macho/noun;onafhankelijkheid/noun;tekst/noun	6	de/det;drijf_op/verb;hamer/verb;macho/noun;met/prep;tekst/noun;ze/pron	7	de/det;drijf_op/verb;hamer/verb;macho/noun;met/prep;tekst/noun;ze/pron	7	de/det;drijf_op/verb;financieel/adj;hamer/verb;macho/noun;met/prep;onafhankelijkheid/noun;op/part;tekst/noun;ze/pron	10	drijf_op/verb;hamer/verb;macho/noun;tekst/noun	4	drijf_op/verb;hamer/verb;macho/noun;tekst/noun	4	drijf_op/verb;hamer/verb;macho/noun;tekst/noun	4	de/det;drijf_op/verb;hamer/verb;macho/noun;met/prep;tekst/noun;ze/pron	7	de/det;drijf_op/verb;hamer/verb;macho/noun;met/prep;tekst/noun;ze/pron	7	de/det;drijf_op/verb;hamer/verb;macho/noun;met/prep;tekst/noun;ze/pron	7
spot/noun/nrc_handelsblad_20031114_42/437	keer/noun;uitzending/noun;word/verb;zend_uit/verb;zing/verb	5	keer/noun;uitzending/noun;word/verb;zend_uit/verb;zing/verb	5	keer/noun;partij/noun;politiek/adj;uitzending/noun;word/verb;zend_uit/verb;zing/verb	7	de/det;een/det;keer/noun;tijdens/prep;uitzending/noun;word/verb;zend_uit/verb;zing/verb	8	de/det;een/det;keer/noun;tijdens/prep;uitzending/noun;word/verb;zend_uit/verb;zing/verb	8	de/det;een/det;keer/noun;partij/noun;politiek/adj;tijdens/prep;uitzending/noun;voor/prep;word/verb;zend_uit/verb;zing/verb	11	keer/noun;word/verb;zend_uit/verb	3	keer/noun;word/verb;zend_uit/verb	3	keer/noun;partij/noun;politiek/adj;word/verb;zend_uit/verb	5	de/det;keer/noun;word/verb;zend_uit/verb	4	de/det;keer/noun;word/verb;zend_uit/verb	4	de/det;keer/noun;partij/noun;politiek/adj;word/verb;zend_uit/verb	6
spot/noun/nrc_handelsblad_20020809_143/2302	belicht/verb;breed/adj;bundel/noun;gebruik/verb;gespreid/adj;verrassing/noun;word/verb	7	belicht/verb;breed/adj;bundel/noun;gebruik/verb;gespreid/adj;verrassing/noun;word/verb	7	belicht/verb;breed/adj;bundel/noun;gebruik/verb;gespreid/adj;groot/adj;methode/noun;verrassing/noun;word/verb	9	belicht/verb;breed/adj;bundel/noun;een/det;gebruik/verb;gespreid/adj;van/prep;verrassing/noun;word/verb	9	belicht/verb;breed/adj;bundel/noun;een/det;gebruik/verb;gespreid/adj;van/prep;verrassing/noun;word/verb	9	belicht/verb;breed/adj;bundel/noun;een/det;gebruik/verb;geen/det;gespreid/adj;groot/adj;methode/noun;mijn/det;van/prep;verrassing/noun;word/verb;zeer/adv	14	belicht/verb;breed/adj;gebruik/verb;word/verb	4	belicht/verb;breed/adj;gebruik/verb;word/verb	4	belicht/verb;breed/adj;gebruik/verb;word/verb	4	belicht/verb;breed/adj;gebruik/verb;van/prep;word/verb	5	belicht/verb;breed/adj;gebruik/verb;van/prep;word/verb	5	belicht/verb;breed/adj;gebruik/verb;geen/det;van/prep;word/verb;zeer/adv	7
