pmi	raw_freq	raw_co	cw
-0.4579569	62265	37	's/adv
-0.13453992	26842	22	1995/noun
-0.37545037	51305	33	1998/noun
-0.5591703	56174	30	1999/noun
-1.1648425	51756	15	2002/noun
-1.1279417	13371	4	26/noun
-0.81920356	56013	23	Amerikaan/noun
0.30027542	12935	16	Australisch/adj
0.18328583	1764	2	DM/noun
-0.44357768	1700	1	Formule/noun
-0.47034472	98844	57	Frans/adj
-0.40050656	24287	15	Gents/adj
-0.1524359	13810	11	Grieks/adj
0.94832164	423	1	Kaklamanos/noun
-0.35572094	9319	6	Leuvense/adj
-0.69345963	241254	111	Nederlands/adj
-1.3202544	8161	2	Noors/adj
-0.42023385	30941	19	aan/adj
0.08701	392664	401	aan/part
-0.026573827	2153601	1963	aan/prep
0.011902511	2109	2	aandoenlijk/adj
0.73491406	13337	26	aangenaam/adj
-0.80788743	2412	1	aangeslagen/adj
3.7265658	674	26	aangetroffen/adj
-0.4778852	1753	1	aanhang_wagen/noun
-0.62150776	19953	10	aanleg/noun
3.9238613	1344	64	aanmaak/noun
-0.6230891	27922	14	aanpak/noun
0.027962834	235279	226	aantal/noun
-1.0637915	3113	1	aantijging/noun
1.2914386	294	1	accreditatie/noun
0.0009554776	15018	14	achter/part
-0.51872545	150814	84	achter/prep
-0.7275088	4401	2	act/noun
0.8921779	51290	117	actief/adj
0.40370554	12861	18	adviseer/verb
-0.11394485	321541	268	af/part
0.3618392	5931	8	afbeelding/noun
0.46153387	20116	30	afhankelijk/adj
1.2824869	25991	88	afkomstig/adj
-0.4648638	20387	12	afloop/noun
-0.15719084	2506	2	akelig/adj
-0.17735606	1066466	838	al/adv
1.8428441	11369	67	alcohol/noun
-0.29876295	176667	121	aldus/prep
3.0262167	622	12	alge/noun
0.19074175	15038	17	algemeen/noun
0.3154379	422543	542	alle/det
-0.0039491914	178364	167	alleen/adj
0.1239105	266562	283	alleen/adv
3.7656548	1267	51	allergie/noun
1.5291641	37558	163	allerlei/det
0.38184243	8012	11	alles/adv
-0.10984344	209596	176	alles/noun
0.06913502	1263756	1270	als/prep
0.55199844	21590	35	alternatief/noun
-0.01656958	292821	270	altijd/adv
-0.41175544	33813	21	alvast/adv
-0.26843184	26735	19	alweer/adv
0.98595977	14330	36	analyse/noun
1.0707158	7303	20	analyseer/verb
0.49677554	663512	1024	ander/adj
0.1812629	11617	13	anderhalf/adj
-0.41476685	142075	88	anders/adj
-0.34610084	3048	2	archeologisch/adj
3.7914817	407	17	aromatisch/adj
0.111781366	48055	43	artikel/noun
-0.6269935	16020	8	artistiek/adj
-1.5894818	21300	4	asielzoeker/noun
2.7856414	1324	20	astma/noun
0.27735162	13853	17	atleet/noun
2.7901871	3663	56	atmosfeer/noun
0.98909783	1204	3	autoband/noun
3.15185	6732	147	bacterie/noun
2.1348789	379	3	bazaar/noun
2.9318438	3976	70	bedek/verb
2.8790398	1495	25	bedekt/adj
0.24654113	248130	296	bedrijf/noun
3.8757477	1040	47	bedrukt/adj
-0.44360608	101423	61	beeld/noun
-0.2103209	5278	4	befaamd/adj
0.950646	2056	5	begaan/adj
-0.40040845	105186	66	begin/noun
-0.3754059	280945	180	begin/verb
-0.34956315	61997	41	begrijp/verb
1.19216	32915	101	behandel/verb
1.593284	1300	6	behoor/adj
0.056371693	46432	46	behoor/verb
0.5234055	128314	202	bekend/adj
0.18941763	27410	31	beland/verb
-0.5756994	26803	14	belasting/noun
0.11948643	9938754	10476	ben/verb
0.77412957	3437	7	benodigd/adj
5.441482	233	50	benzeen/noun
1.7996075	5786	32	benzine/noun
0.38629988	2896	4	beoog/verb
0.6069886	4089	7	beoordeling/noun
0.6678878	48222	88	bepaal/verb
1.9530013	58714	390	bepaald/adj
0.026536819	33306	32	beperkt/adj
-0.48364767	78177	45	bereik/verb
0.14937417	16558	18	berg/noun
0.05318885	35184	32	bericht/noun
1.1380016	4792	14	berust/verb
3.1753912	1874	42	bescherm/adj
1.4295728	23428	91	bescherm/verb
0.76006824	17543	35	bescherming/noun
1.5656801	4934	22	besmet/verb
-0.18614233	12911	10	best/adj
0.6848857	151384	281	besta/verb
3.216515	1198	28	bestanddeel/noun
-0.018888889	10882	10	beste/adj
0.52755976	13970	22	bestel/verb
-0.86743724	46000	18	bestuurder/noun
-1.5190632	137583	28	betaal/verb
0.092171185	4859	5	betonnen/adj
0.35531822	2981	4	betrekking/prep
1.0701451	1097	3	bevang/verb
2.0125253	283	2	bevat/adj
3.234328	29453	702	bevat/verb
0.17121209	45058	50	bevestig/verb
0.9153057	37144	87	bevind/verb
1.4894867	9908	41	bevorder/verb
-1.0646081	6190	2	bewondering/noun
-0.0434473	57450	51	bewoner/noun
-0.13152882	66821	55	bezig/adj
-1.0148592	53195	18	bezoek/noun
-0.18413442	16954	13	bibliotheek/noun
1.1419511	86654	254	bied/verb
0.09859445	1803877	1858	bij/prep
-0.78910017	4705	2	bijeen/adj
-0.7763763	6969	3	bijeen/part
0.24215476	4996	6	bijgevolg/adv
3.244744	6695	159	bijt/verb
1.0478238	132829	357	bijvoorbeeld/adv
0.22338274	75089	88	bijzonder/adj
-0.36252284	125900	82	binnen/prep
2.1204154	8127	63	blaas/verb
