_id	_cws.blik.foc10.nav.ppmi_weight.bound	_count.blik.foc10.nav.ppmi_weight.bound	_cws.blik.foc10.nav.ppmi_sel.bound	_count.blik.foc10.nav.ppmi_sel.bound	_cws.blik.foc10.nav.no_ppmi.bound	_count.blik.foc10.nav.no_ppmi.bound	_cws.blik.foc10.all.ppmi_weight.bound	_count.blik.foc10.all.ppmi_weight.bound	_cws.blik.foc10.all.ppmi_sel.bound	_count.blik.foc10.all.ppmi_sel.bound	_cws.blik.foc10.all.no_ppmi.bound	_count.blik.foc10.all.no_ppmi.bound	_cws.blik.foc5.nav.ppmi_weight.bound	_count.blik.foc5.nav.ppmi_weight.bound	_cws.blik.foc5.nav.ppmi_sel.bound	_count.blik.foc5.nav.ppmi_sel.bound	_cws.blik.foc5.nav.no_ppmi.bound	_count.blik.foc5.nav.no_ppmi.bound	_cws.blik.foc5.all.ppmi_weight.bound	_count.blik.foc5.all.ppmi_weight.bound	_cws.blik.foc5.all.ppmi_sel.bound	_count.blik.foc5.all.ppmi_sel.bound	_cws.blik.foc5.all.no_ppmi.bound	_count.blik.foc5.all.no_ppmi.bound
blik/noun/nrc_handelsblad_20020426_21/33	luik/noun;trek_op/verb	2	luik/noun;trek_op/verb	2	ben/verb;geheel/adj;huis/noun;luik/noun;sluit/verb;trek_op/verb;woon/verb	7	altijd/adv;dat/pron;de/det;een/det;hij/pron;luik/noun;trek_op/verb;uit/prep	8	altijd/adv;dat/pron;de/det;een/det;hij/pron;luik/noun;trek_op/verb;uit/prep	8	altijd/adv;ben/verb;dat/pron;de/det;een/det;geheel/adj;hij/pron;huis/noun;in/prep;luik/noun;sluit/verb;trek_op/verb;uit/prep;woon/verb	14	luik/noun;trek_op/verb	2	luik/noun;trek_op/verb	2	geheel/adj;luik/noun;trek_op/verb	3	dat/pron;de/det;luik/noun;trek_op/verb;uit/prep	5	dat/pron;de/det;luik/noun;trek_op/verb;uit/prep	5	dat/pron;de/det;geheel/adj;luik/noun;trek_op/verb;uit/prep	6
blik/noun/nrc_handelsblad_20010313_55/809	bekritiseer/verb;grauw/adj;inkt_zwart/adj;kat/noun	4	bekritiseer/verb;grauw/adj;inkt_zwart/adj;kat/noun	4	bekritiseer/verb;grauw/adj;heb/verb;inkt_zwart/adj;kat/noun;terecht/adj;word/verb	7	bekritiseer/verb;grauw/adj;inkt_zwart/adj;kat/noun	4	bekritiseer/verb;grauw/adj;inkt_zwart/adj;kat/noun	4	alle/det;bekritiseer/verb;deze/det;grauw/adj;heb/verb;inkt_zwart/adj;kat/noun;om/prep;terecht/adj;word/verb	10	inkt_zwart/adj;kat/noun	2	inkt_zwart/adj;kat/noun	2	inkt_zwart/adj;kat/noun	2	inkt_zwart/adj;kat/noun	2	inkt_zwart/adj;kat/noun	2	alle/det;deze/det;inkt_zwart/adj;kat/noun;om/prep	5
blik/noun/nrc_handelsblad_20031112_100/362	bot/adj;collega/noun;richting/noun;verliefd/adj	4	bot/adj;collega/noun;richting/noun;verliefd/adj	4	beschuldig/verb;bot/adj;collega/noun;maak/verb;richting/noun;verliefd/adj	6	bot/adj;collega/noun;de/det;een/det;richting/noun;verliefd/adj;zijn/det	7	bot/adj;collega/noun;de/det;een/det;richting/noun;verliefd/adj;zijn/det	7	beschuldig/verb;bot/adj;collega/noun;de/det;een/det;in/prep;maak/verb;richting/noun;te/adv;van/prep;verliefd/adj;zijn/det	12	collega/noun;richting/noun;verliefd/adj	3	collega/noun;richting/noun;verliefd/adj	3	collega/noun;richting/noun;verliefd/adj	3	collega/noun;de/det;een/det;richting/noun;verliefd/adj	5	collega/noun;de/det;een/det;richting/noun;verliefd/adj	5	collega/noun;de/det;een/det;in/prep;richting/noun;te/adv;van/prep;verliefd/adj	8
blik/noun/nrc_handelsblad_20040506_133/462	boekenkast/noun;dring/verb;nergens/noun;sympathie/noun;weemoedig/adj	5	boekenkast/noun;dring/verb;nergens/noun;sympathie/noun;weemoedig/adj	5	boekenkast/noun;dring/verb;laat/adj;lig/verb;nergens/noun;sympathie/noun;weemoedig/adj	7	boekenkast/noun;de/det;door/prep;dring/verb;een/det;nergens/noun;op/prep;sympathie/noun;vooral/adv;weemoedig/adj;zijn/det	11	boekenkast/noun;de/det;door/prep;dring/verb;een/det;nergens/noun;op/prep;sympathie/noun;vooral/adv;weemoedig/adj;zijn/det	11	boekenkast/noun;de/det;door/prep;dring/verb;een/det;laat/adj;lig/verb;nergens/noun;op/prep;sympathie/noun;van/prep;vooral/adv;weemoedig/adj;zijn/det	14	boekenkast/noun;weemoedig/adj	2	boekenkast/noun;weemoedig/adj	2	boekenkast/noun;laat/adj;weemoedig/adj	3	boekenkast/noun;de/det;door/prep;een/det;op/prep;weemoedig/adj	6	boekenkast/noun;de/det;door/prep;een/det;op/prep;weemoedig/adj	6	boekenkast/noun;de/det;door/prep;een/det;laat/adj;op/prep;van/prep;weemoedig/adj	8
blik/noun/nrc_handelsblad_20010111_49/1047	bühne/noun;richt/verb;sta/verb	3	bühne/noun;richt/verb;sta/verb	3	ben/verb;bühne/noun;richt/verb;sta/verb;zover/adj	5	bühne/noun;de/det;ik/pron;op/prep;richt/verb;sta/verb	6	bühne/noun;de/det;ik/pron;op/prep;richt/verb;sta/verb	6	ben/verb;bühne/noun;de/det;dus/adv;ik/pron;inmiddels/adv;op/prep;richt/verb;sta/verb;zover/adj	10	richt/verb	1	richt/verb	1	richt/verb;zover/adj	2	ik/pron;op/prep;richt/verb	3	ik/pron;op/prep;richt/verb	3	dus/adv;ik/pron;op/prep;richt/verb;zover/adj	5
blik/noun/nrc_handelsblad_20020424_99/174	kijk_op/verb;man/noun;ongeschikt/adj;onvergetelijk/adj	4	kijk_op/verb;man/noun;ongeschikt/adj;onvergetelijk/adj	4	ben/verb;huwelijk/noun;kijk_op/verb;man/noun;ongeschikt/adj;onvergetelijk/adj	6	de/det;kijk_op/verb;man/noun;naar/prep;ongeschikt/adj;onvergetelijk/adj	6	de/det;kijk_op/verb;man/noun;naar/prep;ongeschikt/adj;onvergetelijk/adj	6	ben/verb;de/det;het/det;huwelijk/noun;kijk_op/verb;man/noun;naar/prep;ongeschikt/adj;onvergetelijk/adj;voor/prep	10	kijk_op/verb;onvergetelijk/adj	2	kijk_op/verb;onvergetelijk/adj	2	ben/verb;kijk_op/verb;onvergetelijk/adj	3	de/det;kijk_op/verb;naar/prep;onvergetelijk/adj	4	de/det;kijk_op/verb;naar/prep;onvergetelijk/adj	4	ben/verb;de/det;kijk_op/verb;naar/prep;onvergetelijk/adj	5
blik/noun/nrc_handelsblad_20000412_47/435	inlevingsvermogen/noun;prachtig/adj;scherp/adj	3	inlevingsvermogen/noun;prachtig/adj;scherp/adj	3	heb/verb;inlevingsvermogen/noun;prachtig/adj;scherp/adj;situatie/noun;sterk/adj;zet_neer/verb	7	een/det;inlevingsvermogen/noun;met/prep;prachtig/adj;scherp/adj	5	een/det;inlevingsvermogen/noun;met/prep;prachtig/adj;scherp/adj	5	een/det;heb/verb;inlevingsvermogen/noun;met/prep;prachtig/adj;scherp/adj;situatie/noun;sterk/adj;zet_neer/verb	9	inlevingsvermogen/noun;prachtig/adj;scherp/adj	3	inlevingsvermogen/noun;prachtig/adj;scherp/adj	3	inlevingsvermogen/noun;prachtig/adj;scherp/adj;situatie/noun;sterk/adj;zet_neer/verb	6	een/det;inlevingsvermogen/noun;prachtig/adj;scherp/adj	4	een/det;inlevingsvermogen/noun;prachtig/adj;scherp/adj	4	een/det;inlevingsvermogen/noun;prachtig/adj;scherp/adj;situatie/noun;sterk/adj;zet_neer/verb	7
blik/noun/nrc_handelsblad_20020515_42/332	kijk_heen/verb	1	kijk_heen/verb	1	dag/noun;doe/verb;kijk_heen/verb;laat/adj;zal/verb	5	de/det;een/det;eens/adv;heen/part;ik/pron;kijk_heen/verb;met/prep;mij/pron;wat/pron	9	de/det;een/det;eens/adv;heen/part;ik/pron;kijk_heen/verb;met/prep;mij/pron;wat/pron	9	dag/noun;de/det;doe/verb;een/det;eens/adv;heen/part;ik/pron;kijk_heen/verb;laat/adj;met/prep;mij/pron;nu/adv;om/prep;wat/pron;zal/verb	15		0		0	zal/verb	1	een/det;heen/part;ik/pron;met/prep;mij/pron;wat/pron	6	een/det;heen/part;ik/pron;met/prep;mij/pron;wat/pron	6	een/det;heen/part;ik/pron;met/prep;mij/pron;om/prep;wat/pron;zal/verb	8
blik/noun/nrc_handelsblad_20030714_78/115		0		0	finale/noun;gelijk/adj;gelukkig/adj	3	mijn/det	1	mijn/det	1	finale/noun;gelijk/adj;gelukkig/adj;in/prep;mijn/det	5		0		0	finale/noun;gelijk/adj	2		0		0	finale/noun;gelijk/adj;in/prep	3
blik/noun/nrc_handelsblad_20011208_27/1513	boek/noun;toekomst/noun	2	boek/noun;toekomst/noun	2	besluit/verb;boek/noun;toekomst/noun	3	boek/noun;de/det;een/det;met/prep;op/prep;toekomst/noun	6	boek/noun;de/det;een/det;met/prep;op/prep;toekomst/noun	6	besluit/verb;boek/noun;de/det;een/det;het/det;met/prep;op/prep;toekomst/noun	8	boek/noun;toekomst/noun	2	boek/noun;toekomst/noun	2	besluit/verb;boek/noun;toekomst/noun	3	boek/noun;de/det;een/det;met/prep;op/prep;toekomst/noun	6	boek/noun;de/det;een/det;met/prep;op/prep;toekomst/noun	6	besluit/verb;boek/noun;de/det;een/det;het/det;met/prep;op/prep;toekomst/noun	8
