_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
blik.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.22988021420246255	-0.13499182586268044	621	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	272	blik	0.265906448122944
blik.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.2150187586986983	-0.16930858163364354	621	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	272	blik	0.2591161932629128
blik.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.18694366660991854	-0.12951175195103942	621	1	nav	bound	ppmi_weight	10_10	foc	621	nav	4_4	272	blik	0.2778098170517072
blik.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.26815752459642117	-0.10597280551373132	621	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	272	blik	0.2579353464806214
blik.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.2276366473992595	-0.12251317586283987	621	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	272	blik	0.258369556588745
blik.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.19439093138246205	-0.09302927341815233	621	1	nav	bound	ppmi_weight	10_10	foc	621	nav	10_10	272	blik	0.26777560734764033
blik.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.23646913050972637	-0.13249673814633614	621	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	272	blik	0.2627274632642605
blik.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.2180338132611148	-0.15360547376923672	621	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	272	blik	0.25920901294153104
blik.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.18694367732086825	-0.12951175068758272	621	1	nav	bound	ppmi_weight	10_10	foc	621	all	4_4	272	blik	0.27810114005096276
blik.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.2774481100750858	-0.10880087046937807	621	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	272	blik	0.2593343066448638
blik.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.24419219359836408	-0.11707311722290803	621	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	272	blik	0.2580223526344333
blik.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.194390931387438	-0.0930292734124958	621	1	nav	bound	ppmi_weight	10_10	foc	621	all	10_10	272	blik	0.2670281192258027
blik.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.2380791751784839	0.1599392121511742	621	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	272	blik	0.2601656242307604
blik.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.22083980947941798	0.1305752496867791	621	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	272	blik	0.25217701129004727
blik.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.18144732003802985	0.12114258876902391	621	1	nav	bound	ppmi_sel	10_10	foc	621	nav	4_4	272	blik	0.26691090893589847
blik.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.26087171051920155	0.2178964756166121	621	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	272	blik	0.2521812197184932
blik.foc10.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.23894179088512157	0.18068964499645493	621	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	272	blik	0.24997242126722014
blik.foc10.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.18792782778346775	0.16237944356184522	621	1	nav	bound	ppmi_sel	10_10	foc	621	nav	10_10	272	blik	0.2604256729873825
blik.foc10.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.24431503393523496	0.17695473615283297	621	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	4_4	272	blik	0.26271138950547007
blik.foc10.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.22711874413096492	0.14345912933705227	621	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	4_4	272	blik	0.2550967821233023
blik.foc10.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.1814473265096792	0.12114258986179313	621	1	nav	bound	ppmi_sel	10_10	foc	621	all	4_4	272	blik	0.265674574549694
blik.foc10.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.26134113716717244	0.23109435798752498	621	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	10_10	272	blik	0.2536506311237562
blik.foc10.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.2502220252237084	0.1955058588823501	621	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	10_10	272	blik	0.2555497357273967
blik.foc10.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.1879278205306658	0.16237944589623418	621	1	nav	bound	ppmi_sel	10_10	foc	621	all	10_10	272	blik	0.26187773166266853
blik.foc10.nav.no_ppmi.bound.min1.soc4.nav.5000	-0.17044907573587345	0.3479318783638798	905	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	4_4	279	blik	0.26229727182223733
blik.foc10.nav.no_ppmi.bound.min1.soc4.nav.10000	-0.15655547516508828	0.31905079445740886	905	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	4_4	279	blik	0.25722667422088547
blik.foc10.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.13502866109814438	0.25586123054493837	905	1	nav	bound	no_ppmi	10_10	foc	905	nav	4_4	279	blik	0.2665219516837527
blik.foc10.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.18047755729163228	0.34614102110868084	905	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	10_10	279	blik	0.2517859214976068
blik.foc10.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.16634726370405659	0.30666617571110216	905	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	10_10	279	blik	0.24649734197324646
blik.foc10.nav.no_ppmi.bound.min1.soc10.nav.foc	-0.1414369948995352	0.2461295597884568	905	1	nav	bound	no_ppmi	10_10	foc	905	nav	10_10	279	blik	0.25965877522141806
blik.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	-0.16199743146137563	0.3660664329149368	905	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	279	blik	0.2670010861817518
blik.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	-0.15520358997457095	0.33631008767378473	905	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	279	blik	0.261925216522569
blik.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	-0.13502865969050526	0.2558612611820146	905	1	nav	bound	no_ppmi	10_10	foc	905	all	4_4	279	blik	0.2665932697427658
blik.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	-0.16741963115624603	0.37064359226845445	905	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	279	blik	0.25818036020882756
blik.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	-0.16967877086243488	0.3257899595248541	905	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	279	blik	0.2523483586033312
blik.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	-0.14143699505114732	0.24612956026221688	905	1	nav	bound	no_ppmi	10_10	foc	905	all	10_10	279	blik	0.26034601794227297
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	0.06437783941112446	-0.25281213249567386	745	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	280	blik	0.26239744139458315
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	0.07411744411841178	-0.31116854904070174	745	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	280	blik	0.26354813614071954
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	0.08516258682433775	-0.23446725251500694	745	1	all	bound	ppmi_weight	10_10	foc	745	nav	4_4	280	blik	0.2691265818957105
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.00364190222368985	-0.18529086509764658	745	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	280	blik	0.25678161984594355
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.0013697050746230705	-0.24349744529784934	745	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	280	blik	0.25682450170528903
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	0.03412049466593156	-0.19079683134172654	745	1	all	bound	ppmi_weight	10_10	foc	745	nav	10_10	280	blik	0.2628960215118979
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	0.05012213564326289	-0.22883883983658534	745	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	280	blik	0.2621616855861134
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	0.06585446075091606	-0.2724329124963152	745	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	280	blik	0.26104576536973567
