_id	_cws.dof.foc10.nav.weight.bound	_count.dof.foc10.nav.weight.bound	_cws.dof.foc10.nav.selection.bound	_count.dof.foc10.nav.selection.bound	_cws.dof.foc10.nav.no.bound	_count.dof.foc10.nav.no.bound	_cws.dof.foc10.all.weight.bound	_count.dof.foc10.all.weight.bound	_cws.dof.foc10.all.selection.bound	_count.dof.foc10.all.selection.bound	_cws.dof.foc10.all.no.bound	_count.dof.foc10.all.no.bound	_cws.dof.foc5.nav.weight.bound	_count.dof.foc5.nav.weight.bound	_cws.dof.foc5.nav.selection.bound	_count.dof.foc5.nav.selection.bound	_cws.dof.foc5.nav.no.bound	_count.dof.foc5.nav.no.bound	_cws.dof.foc5.all.weight.bound	_count.dof.foc5.all.weight.bound	_cws.dof.foc5.all.selection.bound	_count.dof.foc5.all.selection.bound	_cws.dof.foc5.all.no.bound	_count.dof.foc5.all.no.bound
dof/adj/nrc_handelsblad_20010616_65/71	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj;op/prep;wat/pron	4	bal/noun;metalen/adj;op/prep;wat/pron	4	bal/noun;de/det;metalen/adj;op/prep;van/prep;wat/pron	6	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;de/det;metalen/adj;van/prep	4
dof/adj/nrc_handelsblad_20000124_59/398	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;volg/verb	6	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;volg/verb	6	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;verwacht/verb;volg/verb	7	boven/prep;dreun/noun;droog/adj;een/det;er/adv;het/det;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;volg/verb;weer/adv	13	boven/prep;dreun/noun;droog/adj;een/det;er/adv;het/det;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;volg/verb;weer/adv	13	boven/prep;de/det;dreun/noun;droog/adj;een/det;er/adv;het/det;in/prep;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;verwacht/verb;volg/verb;weer/adv;één/pron	17	dreun/noun;piano/noun;volg/verb	3	dreun/noun;piano/noun;volg/verb	3	dreun/noun;piano/noun;volg/verb	3	boven/prep;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	6	boven/prep;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	6	boven/prep;de/det;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	7
dof/adj/nrc_handelsblad_20010126_3/140	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	de/det;in/prep;oor/noun;roffel/verb;trom/noun	5	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	de/det;in/prep;oor/noun;roffel/verb;trom/noun	5
dof/adj/nrc_handelsblad_20011019_50/108	bril_glas/noun;oog/noun;vermoeidheid/noun;verraad/verb	4	bril_glas/noun;oog/noun;vermoeidheid/noun;verraad/verb	4	bril_glas/noun;groot/adj;oog/noun;vermoeidheid/noun;verraad/verb	5	achter/prep;bril_glas/noun;een/det;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	8	achter/prep;bril_glas/noun;een/det;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	8	achter/prep;bril_glas/noun;een/det;groot/adj;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	9	bril_glas/noun;oog/noun	2	bril_glas/noun;oog/noun	2	bril_glas/noun;groot/adj;oog/noun	3	achter/prep;bril_glas/noun;een/det;oog/noun;wat/det	5	achter/prep;bril_glas/noun;een/det;oog/noun;wat/det	5	achter/prep;bril_glas/noun;een/det;groot/adj;oog/noun;wat/det	6
dof/adj/nrc_handelsblad_20030620_150/75	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;het/det;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb;zich/pron	11	acteur/noun;het/det;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb;zich/pron	11	acteur/noun;het/det;in/prep;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;van/prep;verkrampt/adj;verstop/verb;zich/pron	13	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj	6	klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj	6	in/prep;klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;van/prep;verkrampt/adj	8
dof/adj/nrc_handelsblad_20020826_54/610	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron;met/prep;vuist/noun	7	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron;met/prep;vuist/noun	7	beuk/verb;de/det;een/det;geluid/noun;hoor/verb;je/pron;met/prep;tegen/prep;vuist/noun	9	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5
dof/adj/nrc_handelsblad_20010616_24/638	blauw/adj;eind/noun;illustreer/verb;loop/verb;oog/noun	5	blauw/adj;eind/noun;illustreer/verb;loop/verb;oog/noun	5	blauw/adj;eind/noun;illustreer/verb;jaar/noun;loop/verb;oog/noun	6	blauw/adj;eind/noun;illustreer/verb;loop/verb;na/prep;oog/noun;op/prep;zijn/det	8	blauw/adj;eind/noun;illustreer/verb;loop/verb;na/prep;oog/noun;op/prep;zijn/det	8	blauw/adj;de/det;eind/noun;gisteren/adv;illustreer/verb;jaar/noun;loop/verb;na/prep;oog/noun;op/prep;van/prep;zijn/det	12	illustreer/verb	1	illustreer/verb	1	illustreer/verb;jaar/noun	2	illustreer/verb;na/prep;op/prep	3	illustreer/verb;na/prep;op/prep	3	de/det;gisteren/adv;illustreer/verb;jaar/noun;na/prep;op/prep;van/prep	7
dof/adj/nrc_handelsblad_20021004_159/2239	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	binnen/adv;buitenkant/noun;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj	9	binnen/adv;buitenkant/noun;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj	9	aan/prep;binnen/adv;buitenkant/noun;de/det;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj;van/prep	12	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	aan/prep;buitenkant/noun;de/det;droog/verb;hang/verb;huid/noun;ruw/adj	7
dof/adj/nrc_handelsblad_20040427_75/32	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	9	archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	9	als/prep;archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	10	blad/noun;rafelig/adj	2	blad/noun;rafelig/adj	2	blad/noun;rafelig/adj	2	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5
dof/adj/nrc_handelsblad_20020406_61/116	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2
