_id	_cws.geestig.foc10.nav.weight.bound	_count.geestig.foc10.nav.weight.bound	_cws.geestig.foc10.nav.selection.bound	_count.geestig.foc10.nav.selection.bound	_cws.geestig.foc10.nav.no.bound	_count.geestig.foc10.nav.no.bound	_cws.geestig.foc10.all.weight.bound	_count.geestig.foc10.all.weight.bound	_cws.geestig.foc10.all.selection.bound	_count.geestig.foc10.all.selection.bound	_cws.geestig.foc10.all.no.bound	_count.geestig.foc10.all.no.bound	_cws.geestig.foc5.nav.weight.bound	_count.geestig.foc5.nav.weight.bound	_cws.geestig.foc5.nav.selection.bound	_count.geestig.foc5.nav.selection.bound	_cws.geestig.foc5.nav.no.bound	_count.geestig.foc5.nav.no.bound	_cws.geestig.foc5.all.weight.bound	_count.geestig.foc5.all.weight.bound	_cws.geestig.foc5.all.selection.bound	_count.geestig.foc5.all.selection.bound	_cws.geestig.foc5.all.no.bound	_count.geestig.foc5.all.no.bound
geestig/adj/nrc_handelsblad_20010831_117/100	ben/verb;geschreven/adj;goed/adj;verhaal/noun	4	ben/verb;geschreven/adj;goed/adj;verhaal/noun	4	ben/verb;geschreven/adj;goed/adj;verhaal/noun	4	ben/verb;een/det;geschreven/adj;goed/adj;verhaal/noun	5	ben/verb;een/det;geschreven/adj;goed/adj;verhaal/noun	5	ben/verb;een/det;geschreven/adj;goed/adj;verhaal/noun	5	geschreven/adj;goed/adj	2	geschreven/adj;goed/adj	2	geschreven/adj;goed/adj	2	een/det;geschreven/adj;goed/adj	3	een/det;geschreven/adj;goed/adj	3	een/det;geschreven/adj;goed/adj	3
geestig/adj/nrc_handelsblad_20000915_33/805	bied/verb;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;portret/noun;twintiger/noun	7	bied/verb;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;portret/noun;twintiger/noun	7	bied/verb;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;portret/noun;twintiger/noun	7	bied/verb;een/det;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;ook/adv;portret/noun;twintiger/noun	9	bied/verb;een/det;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;ook/adv;portret/noun;twintiger/noun	9	bied/verb;een/det;groep_DIM/noun;licht/adj;liefde/noun;modern/adj;ook/adv;portret/noun;twintiger/noun	9	bied/verb;groep_DIM/noun;licht/adj;portret/noun;twintiger/noun	5	bied/verb;groep_DIM/noun;licht/adj;portret/noun;twintiger/noun	5	bied/verb;groep_DIM/noun;licht/adj;portret/noun;twintiger/noun	5	bied/verb;een/det;groep_DIM/noun;licht/adj;ook/adv;portret/noun;twintiger/noun	7	bied/verb;een/det;groep_DIM/noun;licht/adj;ook/adv;portret/noun;twintiger/noun	7	bied/verb;een/det;groep_DIM/noun;licht/adj;ook/adv;portret/noun;twintiger/noun	7
geestig/adj/nrc_handelsblad_20000818_63/2166	geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	4	geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	4	geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	4	als/prep;een/det;geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	6	als/prep;een/det;geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	6	als/prep;een/det;geprivilegieerde/adj;laat_na/verb;verslag/noun;zeil/verb	6	verslag/noun;zeil/verb	2	verslag/noun;zeil/verb	2	verslag/noun;zeil/verb	2	een/det;verslag/noun;zeil/verb	3	een/det;verslag/noun;zeil/verb	3	een/det;verslag/noun;zeil/verb	3
geestig/adj/nrc_handelsblad_20011130_154/298	kinderachtig/adj;schrijf/verb;teken/verb	3	kinderachtig/adj;schrijf/verb;teken/verb	3	kinderachtig/adj;schrijf/verb;teken/verb	3	kinderachtig/adj;nooit/adv;schrijf/verb;teken/verb	4	kinderachtig/adj;nooit/adv;schrijf/verb;teken/verb	4	kinderachtig/adj;nooit/adv;schrijf/verb;teken/verb	4	schrijf/verb	1	schrijf/verb	1	schrijf/verb	1	nooit/adv;schrijf/verb	2	nooit/adv;schrijf/verb	2	nooit/adv;schrijf/verb	2
geestig/adj/nrc_handelsblad_20040220_125/203	ben/verb	1	ben/verb	1	ben/verb	1	als/prep;ben/verb;die/pron;een/det	4	als/prep;ben/verb;die/pron;een/det	4	als/prep;ben/verb;die/pron;een/det	4	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;die/pron;een/det	3	ben/verb;die/pron;een/det	3	ben/verb;die/pron;een/det	3
geestig/adj/nrc_handelsblad_20010214_28/345	betoon/verb	1	betoon/verb	1	betoon/verb	1	betoon/verb	1	betoon/verb	1	betoon/verb	1		0		0		0		0		0		0
geestig/adj/nrc_handelsblad_20001201_188/1730	ben/verb;even/adj;gevoel/noun;lezer/noun	4	ben/verb;even/adj;gevoel/noun;lezer/noun	4	ben/verb;even/adj;gevoel/noun;lezer/noun	4	ben/verb;een/det;even/adj;gevoel/noun;haar/pron;lezer/noun;ook/adv;soms/adv	8	ben/verb;een/det;even/adj;gevoel/noun;haar/pron;lezer/noun;ook/adv;soms/adv	8	ben/verb;een/det;even/adj;gevoel/noun;haar/pron;lezer/noun;ook/adv;soms/adv	8	ben/verb;even/adj	2	ben/verb;even/adj	2	ben/verb;even/adj	2	ben/verb;even/adj;haar/pron;ook/adv	4	ben/verb;even/adj;haar/pron;ook/adv	4	ben/verb;even/adj;haar/pron;ook/adv	4
geestig/adj/nrc_handelsblad_20001216_8/845	lied/noun;maak/verb	2	lied/noun;maak/verb	2	lied/noun;maak/verb	2	een/det;lied/noun;maak/verb;veel/det	4	een/det;lied/noun;maak/verb;veel/det	4	een/det;lied/noun;maak/verb;veel/det	4	lied/noun;maak/verb	2	lied/noun;maak/verb	2	lied/noun;maak/verb	2	een/det;lied/noun;maak/verb	3	een/det;lied/noun;maak/verb	3	een/det;lied/noun;maak/verb	3
geestig/adj/nrc_handelsblad_20000218_54/577	ben/verb;gedicht/noun;verontrustend/adj;vers/noun	4	ben/verb;gedicht/noun;verontrustend/adj;vers/noun	4	ben/verb;gedicht/noun;verontrustend/adj;vers/noun	4	ben/verb;dit/det;even/adv;gedicht/noun;veel/det;verontrustend/adj;vers/noun;zo'n/det	8	ben/verb;dit/det;even/adv;gedicht/noun;veel/det;verontrustend/adj;vers/noun;zo'n/det	8	ben/verb;dit/det;even/adv;gedicht/noun;veel/det;verontrustend/adj;vers/noun;zo'n/det	8	ben/verb;verontrustend/adj;vers/noun	3	ben/verb;verontrustend/adj;vers/noun	3	ben/verb;verontrustend/adj;vers/noun	3	ben/verb;dit/det;even/adv;verontrustend/adj;vers/noun;zo'n/det	6	ben/verb;dit/det;even/adv;verontrustend/adj;vers/noun;zo'n/det	6	ben/verb;dit/det;even/adv;verontrustend/adj;vers/noun;zo'n/det	6
geestig/adj/nrc_handelsblad_20010410_100/149	bedoeld/adj;kop/noun	2	bedoeld/adj;kop/noun	2	bedoeld/adj;kop/noun	2	als/prep;bedoeld/adj;kop/noun	3	als/prep;bedoeld/adj;kop/noun	3	als/prep;bedoeld/adj;kop/noun	3	bedoeld/adj;kop/noun	2	bedoeld/adj;kop/noun	2	bedoeld/adj;kop/noun	2	als/prep;bedoeld/adj;kop/noun	3	als/prep;bedoeld/adj;kop/noun	3	als/prep;bedoeld/adj;kop/noun	3
geestig/adj/nrc_handelsblad_20001004_8/179	ben/verb;echt/adj	2	ben/verb;echt/adj	2	ben/verb;echt/adj	2	ben/verb;echt/adj	2	ben/verb;echt/adj	2	ben/verb;echt/adj	2	echt/adj	1	echt/adj	1	echt/adj	1	echt/adj	1	echt/adj	1	echt/adj	1
geestig/adj/nrc_handelsblad_20000211_4/2817	ben/verb;cynisme/noun;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun	6	ben/verb;cynisme/noun;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun	6	ben/verb;cynisme/noun;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun	6	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun;zo/adv	8	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun;zo/adv	8	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;leesbaar/adj;maak/verb;roman/noun;zo/adv	8	ben/verb;cynisme/noun;hedendaags/adj;roman/noun	4	ben/verb;cynisme/noun;hedendaags/adj;roman/noun	4	ben/verb;cynisme/noun;hedendaags/adj;roman/noun	4	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;roman/noun	5	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;roman/noun	5	ben/verb;cynisme/noun;dat/pron;hedendaags/adj;roman/noun	5
geestig/adj/nrc_handelsblad_20020104_19/2231	goochel/verb;inlevingsvermogen/noun;menselijk/adj	3	goochel/verb;inlevingsvermogen/noun;menselijk/adj	3	goochel/verb;inlevingsvermogen/noun;menselijk/adj	3	bijvoorbeeld/adv;goochel/verb;inlevingsvermogen/noun;menselijk/adj;met/prep	5	bijvoorbeeld/adv;goochel/verb;inlevingsvermogen/noun;menselijk/adj;met/prep	5	bijvoorbeeld/adv;goochel/verb;inlevingsvermogen/noun;menselijk/adj;met/prep	5	goochel/verb	1	goochel/verb	1	goochel/verb	1	bijvoorbeeld/adv;goochel/verb;met/prep	3	bijvoorbeeld/adv;goochel/verb;met/prep	3	bijvoorbeeld/adv;goochel/verb;met/prep	3
geestig/adj/nrc_handelsblad_20011005_139/44		0		0		0		0		0		0		0		0		0		0		0		0
geestig/adj/nrc_handelsblad_20010112_100/526	ben/verb;blijmoedig/adj;broederschap/noun;juist/adj;manier/noun;mooi/adj;stem/adj;versie/noun	8	ben/verb;blijmoedig/adj;broederschap/noun;juist/adj;manier/noun;mooi/adj;stem/adj;versie/noun	8	ben/verb;blijmoedig/adj;broederschap/noun;juist/adj;manier/noun;mooi/adj;stem/adj;versie/noun	8	ben/verb;blijmoedig/adj;broederschap/noun;dat/det;deze/det;een/det;juist/adj;manier/noun;mooi/adj;ook/adv;stem/adj;versie/noun	12	ben/verb;blijmoedig/adj;broederschap/noun;dat/det;deze/det;een/det;juist/adj;manier/noun;mooi/adj;ook/adv;stem/adj;versie/noun	12	ben/verb;blijmoedig/adj;broederschap/noun;dat/det;deze/det;een/det;juist/adj;manier/noun;mooi/adj;ook/adv;stem/adj;versie/noun	12	broederschap/noun;juist/adj;manier/noun	3	broederschap/noun;juist/adj;manier/noun	3	broederschap/noun;juist/adj;manier/noun	3	broederschap/noun;deze/det;juist/adj;manier/noun	4	broederschap/noun;deze/det;juist/adj;manier/noun	4	broederschap/noun;deze/det;juist/adj;manier/noun	4
geestig/adj/nrc_handelsblad_20021004_26/74	los/adj;noem/verb;uitval/noun	3	los/adj;noem/verb;uitval/noun	3	los/adj;noem/verb;uitval/noun	3	een/det;los/adj;noem/verb;uitval/noun;zelf/adv	5	een/det;los/adj;noem/verb;uitval/noun;zelf/adv	5	een/det;los/adj;noem/verb;uitval/noun;zelf/adv	5	los/adj;noem/verb;uitval/noun	3	los/adj;noem/verb;uitval/noun	3	los/adj;noem/verb;uitval/noun	3	een/det;los/adj;noem/verb;uitval/noun	4	een/det;los/adj;noem/verb;uitval/noun	4	een/det;los/adj;noem/verb;uitval/noun	4
geestig/adj/nrc_handelsblad_20000306_61/452		0		0		0	met/prep;zeer/adv;zijn/det	3	met/prep;zeer/adv;zijn/det	3	met/prep;zeer/adv;zijn/det	3		0		0		0	met/prep;zeer/adv;zijn/det	3	met/prep;zeer/adv;zijn/det	3	met/prep;zeer/adv;zijn/det	3
geestig/adj/nrc_handelsblad_20040527_17/10	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2	bijrol/noun;speel/verb	2
geestig/adj/nrc_handelsblad_20001023_28/327	contrasteer/adj;grandeur/noun	2	contrasteer/adj;grandeur/noun	2	contrasteer/adj;grandeur/noun	2	al/det;contrasteer/adj;grandeur/noun;haar/det;ze/pron	5	al/det;contrasteer/adj;grandeur/noun;haar/det;ze/pron	5	al/det;contrasteer/adj;grandeur/noun;haar/det;ze/pron	5	contrasteer/adj	1	contrasteer/adj	1	contrasteer/adj	1	contrasteer/adj	1	contrasteer/adj	1	contrasteer/adj	1
geestig/adj/nrc_handelsblad_19990402_119/1088	ben/verb;indruk/noun;meeslepend/adj	3	ben/verb;indruk/noun;meeslepend/adj	3	ben/verb;indruk/noun;meeslepend/adj	3	ben/verb;een/det;indruk/noun;meeslepend/adj;met/prep;over/prep;zonder/prep	7	ben/verb;een/det;indruk/noun;meeslepend/adj;met/prep;over/prep;zonder/prep	7	ben/verb;een/det;indruk/noun;meeslepend/adj;met/prep;over/prep;zonder/prep	7		0		0		0	met/prep;zonder/prep	2	met/prep;zonder/prep	2	met/prep;zonder/prep	2
geestig/adj/nrc_handelsblad_19991105_166/1688	alles/noun;droog/adj;lijk/verb;luchthartig/adj;manier/noun;verwondering/noun	6	alles/noun;droog/adj;lijk/verb;luchthartig/adj;manier/noun;verwondering/noun	6	alles/noun;droog/adj;lijk/verb;luchthartig/adj;manier/noun;verwondering/noun	6	alles/noun;droog/adj;een/det;lijk/verb;luchthartig/adj;manier/noun;over/prep;verwondering/noun;vol/prep;wat/pron	10	alles/noun;droog/adj;een/det;lijk/verb;luchthartig/adj;manier/noun;over/prep;verwondering/noun;vol/prep;wat/pron	10	alles/noun;droog/adj;een/det;lijk/verb;luchthartig/adj;manier/noun;over/prep;verwondering/noun;vol/prep;wat/pron	10	alles/noun;droog/adj;lijk/verb;manier/noun	4	alles/noun;droog/adj;lijk/verb;manier/noun	4	alles/noun;droog/adj;lijk/verb;manier/noun	4	alles/noun;droog/adj;een/det;lijk/verb;manier/noun;wat/pron	6	alles/noun;droog/adj;een/det;lijk/verb;manier/noun;wat/pron	6	alles/noun;droog/adj;een/det;lijk/verb;manier/noun;wat/pron	6
geestig/adj/nrc_handelsblad_20010317_120/229	antwoord/noun;vind/verb	2	antwoord/noun;vind/verb	2	antwoord/noun;vind/verb	2	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5	antwoord/noun;vind/verb	2	antwoord/noun;vind/verb	2	antwoord/noun;vind/verb	2	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5	antwoord/noun;hij/pron;nogal/adv;vind/verb;zijn/det	5
