_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.111728292480739	-0.24582307706126094	bound	nav	10_10	weight	698	1	5000	5000	nav	4_4	272	geestig	0.2542496591206472
geestig.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.08433368882110996	-0.2414216916895144	bound	nav	10_10	weight	698	1	10000	10000	nav	4_4	272	geestig	0.25292473612622224
geestig.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.0881216846975454	-0.28713655113956177	bound	nav	10_10	weight	698	1	FOC	698	nav	4_4	272	geestig	0.24935096586161196
geestig.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.13528869538651644	-0.2945005638865458	bound	nav	10_10	weight	698	1	5000	5000	nav	10_10	272	geestig	0.2410858534785602
geestig.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.08628038270601797	-0.27724728075704924	bound	nav	10_10	weight	698	1	10000	10000	nav	10_10	272	geestig	0.24476760840336015
geestig.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.10350722930655924	-0.28700874100552354	bound	nav	10_10	weight	698	1	FOC	698	nav	10_10	272	geestig	0.2429773930758041
geestig.foc10.nav.weight.bound.min1.soc4.all.5000	-0.11800681616627057	-0.25604964783547524	bound	nav	10_10	weight	698	1	5000	5000	all	4_4	272	geestig	0.25470522061006007
geestig.foc10.nav.weight.bound.min1.soc4.all.10000	-0.09011971049708602	-0.23730767867729544	bound	nav	10_10	weight	698	1	10000	10000	all	4_4	272	geestig	0.25178171778876696
geestig.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.08812167873295483	-0.2871365447444331	bound	nav	10_10	weight	698	1	FOC	698	all	4_4	272	geestig	0.24935096586161196
geestig.foc10.nav.weight.bound.min1.soc10.all.5000	-0.14269580882035354	-0.3009191548422912	bound	nav	10_10	weight	698	1	5000	5000	all	10_10	272	geestig	0.24057485131041978
geestig.foc10.nav.weight.bound.min1.soc10.all.10000	-0.10522491809698273	-0.27433907329888646	bound	nav	10_10	weight	698	1	10000	10000	all	10_10	272	geestig	0.24555456131963888
geestig.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.10350683024837262	-0.2870087943153471	bound	nav	10_10	weight	698	1	FOC	698	all	10_10	272	geestig	0.2429773930758041
geestig.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.1934117429649518	-0.2060777376402275	bound	nav	10_10	selection	698	1	5000	5000	nav	4_4	272	geestig	0.24024250217193285
geestig.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.1806236260302939	-0.17966442085646556	bound	nav	10_10	selection	698	1	10000	10000	nav	4_4	272	geestig	0.23825003385460752
geestig.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.15598082324018098	-0.1816242871645014	bound	nav	10_10	selection	698	1	FOC	698	nav	4_4	272	geestig	0.22920039682060042
geestig.foc10.nav.selection.bound.min1.soc10.nav.5000	-0.18179509466403346	-0.2412995384249803	bound	nav	10_10	selection	698	1	5000	5000	nav	10_10	272	geestig	0.23746247309343418
geestig.foc10.nav.selection.bound.min1.soc10.nav.10000	-0.13654592479082803	-0.21614251118758757	bound	nav	10_10	selection	698	1	10000	10000	nav	10_10	272	geestig	0.23925888777865587
geestig.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.1361509271696299	-0.19325424775623024	bound	nav	10_10	selection	698	1	FOC	698	nav	10_10	272	geestig	0.22782907168073618
geestig.foc10.nav.selection.bound.min1.soc4.all.5000	-0.21348722612237106	-0.2237203594082595	bound	nav	10_10	selection	698	1	5000	5000	all	4_4	272	geestig	0.2417993079683365
geestig.foc10.nav.selection.bound.min1.soc4.all.10000	-0.17365753741808318	-0.18737302588029064	bound	nav	10_10	selection	698	1	10000	10000	all	4_4	272	geestig	0.2391656961636544
geestig.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.1559808293740347	-0.18162429955734463	bound	nav	10_10	selection	698	1	FOC	698	all	4_4	272	geestig	0.22920039682060042
geestig.foc10.nav.selection.bound.min1.soc10.all.5000	-0.19963461152209602	-0.2528431253514011	bound	nav	10_10	selection	698	1	5000	5000	all	10_10	272	geestig	0.23585701296917605
geestig.foc10.nav.selection.bound.min1.soc10.all.10000	-0.15293763767175117	-0.22153391083107665	bound	nav	10_10	selection	698	1	10000	10000	all	10_10	272	geestig	0.23750741193585714
geestig.foc10.nav.selection.bound.min1.soc10.all.FOC	-0.13615092692976488	-0.1932542445698961	bound	nav	10_10	selection	698	1	FOC	698	all	10_10	272	geestig	0.22782907168073618
geestig.foc10.nav.no.bound.min1.soc4.nav.5000	-0.19341174238912878	-0.20607773667038998	bound	nav	10_10	no	698	1	5000	5000	nav	4_4	272	geestig	0.24024250217193285
