pmi	raw_freq	raw_co	cw
0.7261011	2518	1	'99/noun
-0.7698816	11206	1	's/det
2.063571	69141	105	1/noun
1.2037375	18653	12	12/noun
1.0959592	20739	12	13/noun
0.55145496	23878	8	17/noun
1.3206036	4170	3	18-jarige/adj
1.1417783	28146	17	18/noun
1.7186362	23205	25	19/noun
1.1452591	3260	2	1950/noun
0.6924983	51305	20	1998/noun
0.2798414	39184	10	20/noun
0.9326612	62906	31	2000/noun
1.0317074	55236	30	2001/noun
1.7211831	51756	56	2002/noun
1.1326596	36639	22	2003/noun
1.5095642	26354	23	2004/noun
0.7506123	9767	4	2006/noun
1.0100105	20754	11	21/noun
1.4507183	13389	11	27/noun
0.49223208	18982	6	3/noun
2.165298	16647	28	30/noun
3.128421	14497	64	31/noun
1.1665919	3259	2	35-jarige/adj
0.63939816	19088	7	5/noun
0.49046192	18997	6	7/noun
0.8285656	20345	9	9/noun
0.4441896	40188	12	Belg/noun
0.58170456	139420	48	Belgisch/adj
1.156997	3243	2	Canadees/noun
-0.64753294	19659	2	Fransman/noun
0.2188292	16571	4	Italiaan/noun
2.2424622	547	1	Ivorianen/noun
0.32548496	3718	1	Kroaat/noun
2.245857	1108	2	Litouws/adj
-0.25074688	241254	36	Nederlands/adj
0.3543661	3611	1	New/adj
2.0681813	1326	2	OCMW_raad/noun
1.9727682	715	1	Somaliër/noun
-1.4070438	42380	2	WK/noun
0.43386903	3329	1	Yorkse/adj
-0.047767986	392664	73	aan/part
-0.4124579	2153601	278	aan/prep
1.0154287	3730	2	aanbesteding/noun
2.1272616	7957	13	aanbieding/noun
2.44909	24775	56	aanbod/noun
-0.7201073	95095	9	aandeel/noun
1.1602007	3204	2	aangewezen/adj
0.8532705	8772	4	aanklacht/noun
0.36098385	21410	6	aanleiding/noun
1.0846063	1730	1	aannemelijk/adj
0.5068852	235279	76	aantal/noun
1.3396206	17476	13	aanvaard/verb
1.7821019	13805	16	aanvraag/noun
0.91970193	46939	23	aanwezig/adj
0.3140901	11183	3	aard/noun
3.818581	5198	46	abonnement/noun
0.98685205	40369	21	accoord/noun
-0.08498141	150814	27	achter/prep
0.61696494	75133	27	actie/noun
1.8703083	14304	18	adres/noun
0.510664	33909	11	advies/noun
0.08329987	321541	68	af/part
3.8045259	229	2	afgegeven/adj
3.9613037	885	9	afgekeurd/adj
0.42081994	20116	6	afhankelijk/adj
0.34962714	3633	1	afsluiting/noun
-0.73052025	42494	4	afstand/noun
2.6372602	367	1	afzeggingen/noun
0.18784814	42933	10	agent/noun
-0.42699528	1066466	136	al/adv
-0.7151016	73011	7	al/det
1.4067899	46530	37	algemeen/adj
3.0527558	1698	7	alibi/noun
0.6948414	422543	165	alle/det
1.1917131	178364	115	alleen/adj
0.56897616	266562	92	alleen/adv
0.6091518	8324	3	alleszins/adv
-0.024116231	1263756	241	als/prep
1.5572424	27201	25	alsnog/adv
0.6448159	21590	8	alternatief/noun
0.17324015	292821	68	altijd/adv
0.069777116	14330	3	analyse/noun
-0.0061598634	663512	129	ander/adj
0.5175226	15140	5	anderzijds/adv
-0.046796337	21413	4	antwoord/verb
1.2302175	70988	47	april/noun
5.359815	288	12	arbeid_vergunning/noun
0.5361959	15117	5	arbeider/noun
2.388924	20608	44	argument/noun
2.9228773	3016	11	arrangement/noun
1.4597188	1205	1	arrestatiebevel/noun
1.3544172	10601	8	arriveer/verb
0.9170779	59862	29	augustus/noun
0.691302	124344	48	auto/noun
2.3296256	504	1	bakkelei/verb
0.2695236	50751	13	bal/noun
-0.63019454	9585	1	bedoeld/adj
0.15853906	13152	3	bedreiging/noun
-0.23750816	248130	38	bedrijf/noun
-1.5147321	280945	12	begin/verb
-1.1610893	32915	2	behandel/verb
-0.5635302	27083	3	behandeling/noun
0.5678162	98533	34	beide/det
0.022750849	15320	3	bejaard/adj
0.7580865	4828	2	bekentenis/noun
1.6555115	4895	5	beklaagd/adj
0.64829344	2698	1	bekoor/verb
-0.5975313	46588	5	beleid/noun
0.58988446	9938754	3493	ben/verb
0.25919858	11883	3	ben_uit/verb
0.032103363	10009	2	benoeming/noun
0.97815084	48222	25	bepaal/verb
0.23561849	35184	8	bericht/noun
-0.4139656	7838	1	beschadig/verb
0.71935433	17543	7	bescherming/noun
3.0214868	45143	181	beschik/verb
1.2157468	40989	27	beschouw/verb
-0.5896992	36761	4	besef/verb
0.9278414	56883	28	beslis/verb
0.7929694	30272	13	besluit/noun
0.19781928	94053	22	besluit/verb
0.08099088	151384	32	besta/verb
-0.961431	26854	2	bestaan/noun
0.6146792	13970	5	bestel/verb
1.2450465	13320	9	bestemming/noun
-1.1377711	16099	1	bestrijd/verb
1.209876	7663	5	bestuur/verb
1.9380494	46000	62	bestuurder/noun
4.811541	882	21	betaal_middel/noun
1.8474855	7364	9	betaal_terug/verb
1.2623761	4359	3	betwist/verb
-0.03596828	37144	7	bevind/verb
1.6713217	28924	30	bewijs/noun
3.2203586	16393	80	bezit/noun
2.0228	18983	28	bezit/verb
0.6937188	53920	21	bied_aan/verb
0.0828619	1803877	381	bij/prep
3.1386833	669	3	bij_baan_DIM/noun
2.5208406	415	1	bijstandsgerechtigden/noun
-0.083134115	132829	24	bijvoorbeeld/adv
3.7358098	4044	33	biljet/noun
1.0557566	49935	28	binnen/part
1.7339233	6354	7	blijf/adj
1.5134196	516893	455	blijf/verb
0.9383436	279801	140	blijk/verb
0.4729563	22430	7	bloed/noun
1.6077851	18657	18	bod/noun
4.086495	4362	50	bon/noun
-0.6227337	28798	3	bond/noun
4.899035	545	14	boord_document/noun
2.0699768	1307	2	bouw_aanvraag/noun
-0.16043308	72337	12	boven/prep
0.9677089	145076	75	bovendien/adv
1.8762599	783	1	bovenop/adv
-0.79837185	34918	3	brand/noun
0.21297583	21073	5	breng_over/verb
0.18968847	12747	3	breng_terug/verb
2.2904658	21894	42	breng_uit/verb
2.9909325	4434	17	bromfiets/noun
-0.27053204	13546	2	buig/verb
1.672407	13528	14	buitenlander/noun
0.45256922	52661	16	buitenlands/adj
0.1976554	98304	23	burgemeester/noun
1.0619377	10631	6	burgerlijk/adj
-0.6388375	39128	4	cd/noun
2.1510212	29037	48	chauffeur/noun
-1.3814437	61366	3	cijfer/noun
-1.2438134	17914	1	circa/adv
-0.85467714	132758	11	club/noun
-0.36975816	22453	3	concern/noun
0.08331547	9454	2	congres/noun
-0.64501673	29502	3	consument/noun
1.4619738	54888	46	contract/noun
1.244326	50462	34	controle/noun
1.207804	4589	3	conventie/noun
