_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.15814064531415314	-0.15472543826884158	bound	622	nav	10_10	1	weight	5000	5000	nav	4_4	319	goedkoop	0.2645468291683116
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.18793972572819717	-0.16695529151193195	bound	622	nav	10_10	1	weight	10000	10000	nav	4_4	319	goedkoop	0.26520531146463844
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.19735261459151493	-0.20248054207748722	bound	622	nav	10_10	1	weight	FOC	622	nav	4_4	319	goedkoop	0.2793392572482562
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.15938348101940764	-0.18664143109209017	bound	622	nav	10_10	1	weight	5000	5000	nav	10_10	319	goedkoop	0.2566549606126725
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.1813676910259547	-0.19197440667574123	bound	622	nav	10_10	1	weight	10000	10000	nav	10_10	319	goedkoop	0.2582604015028457
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.2089242408951697	-0.24035389568778628	bound	622	nav	10_10	1	weight	FOC	622	nav	10_10	319	goedkoop	0.2681901631858477
goedkoop.foc10.nav.weight.bound.min1.soc4.all.5000	-0.15083630724209177	-0.15514440484161737	bound	622	nav	10_10	1	weight	5000	5000	all	4_4	319	goedkoop	0.26407976365261604
goedkoop.foc10.nav.weight.bound.min1.soc4.all.10000	-0.17040908994134307	-0.15964497297014138	bound	622	nav	10_10	1	weight	10000	10000	all	4_4	319	goedkoop	0.26346403149648723
goedkoop.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.19735261461492543	-0.20248054205396493	bound	622	nav	10_10	1	weight	FOC	622	all	4_4	319	goedkoop	0.2793392572482562
goedkoop.foc10.nav.weight.bound.min1.soc10.all.5000	-0.15147277662428105	-0.18734962618686776	bound	622	nav	10_10	1	weight	5000	5000	all	10_10	319	goedkoop	0.25301313389673596
goedkoop.foc10.nav.weight.bound.min1.soc10.all.10000	-0.16920156511754528	-0.18767554511486886	bound	622	nav	10_10	1	weight	10000	10000	all	10_10	319	goedkoop	0.25540612970592086
goedkoop.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.20892424101061882	-0.24035389554327113	bound	622	nav	10_10	1	weight	FOC	622	all	10_10	319	goedkoop	0.2681901631858477
goedkoop.foc10.nav.selection.bound.min1.soc4.nav.5000	0.032843419364557515	-0.10067125748201294	bound	622	nav	10_10	1	selection	5000	5000	nav	4_4	319	goedkoop	0.25347737728726577
goedkoop.foc10.nav.selection.bound.min1.soc4.nav.10000	0.03237985766194596	-0.09920455646449075	bound	622	nav	10_10	1	selection	10000	10000	nav	4_4	319	goedkoop	0.25135144156283956
goedkoop.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.015421288868184915	-0.14842243266268765	bound	622	nav	10_10	1	selection	FOC	622	nav	4_4	319	goedkoop	0.2641004006592295
goedkoop.foc10.nav.selection.bound.min1.soc10.nav.5000	0.0194594578617938	-0.13822896316062486	bound	622	nav	10_10	1	selection	5000	5000	nav	10_10	319	goedkoop	0.25203515148102495
goedkoop.foc10.nav.selection.bound.min1.soc10.nav.10000	0.013752126640807476	-0.1361764840800178	bound	622	nav	10_10	1	selection	10000	10000	nav	10_10	319	goedkoop	0.25322861232794674
goedkoop.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.030556206779251843	-0.2120264965903297	bound	622	nav	10_10	1	selection	FOC	622	nav	10_10	319	goedkoop	0.2604893021034081
goedkoop.foc10.nav.selection.bound.min1.soc4.all.5000	0.03984401381516051	-0.09895847207608721	bound	622	nav	10_10	1	selection	5000	5000	all	4_4	319	goedkoop	0.25303082169853025
goedkoop.foc10.nav.selection.bound.min1.soc4.all.10000	0.03490194873530522	-0.09664395804501245	bound	622	nav	10_10	1	selection	10000	10000	all	4_4	319	goedkoop	0.25316622920725607
goedkoop.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.015421288866810068	-0.1484224326725423	bound	622	nav	10_10	1	selection	FOC	622	all	4_4	319	goedkoop	0.2641004006592295
goedkoop.foc10.nav.selection.bound.min1.soc10.all.5000	0.027246190195298167	-0.13775537221528503	bound	622	nav	10_10	1	selection	5000	5000	all	10_10	319	goedkoop	0.2497164982123196
goedkoop.foc10.nav.selection.bound.min1.soc10.all.10000	0.015884403278523626	-0.13492040089941135	bound	622	nav	10_10	1	selection	10000	10000	all	10_10	319	goedkoop	0.25243322523089085
goedkoop.foc10.nav.selection.bound.min1.soc10.all.FOC	-0.030556206779292747	-0.2120264965943491	bound	622	nav	10_10	1	selection	FOC	622	all	10_10	319	goedkoop	0.2604893021034081
goedkoop.foc10.nav.no.bound.min1.soc4.nav.5000	0.12362922065388439	-0.1571751529920196	bound	954	nav	10_10	1	no	5000	5000	nav	4_4	320	goedkoop	0.25977102195476653
goedkoop.foc10.nav.no.bound.min1.soc4.nav.10000	0.13847107467445843	-0.17340928640457062	bound	954	nav	10_10	1	no	10000	10000	nav	4_4	320	goedkoop	0.2563183411959111
goedkoop.foc10.nav.no.bound.min1.soc4.nav.FOC	0.07438764836019551	-0.16279122346858746	bound	954	nav	10_10	1	no	FOC	954	nav	4_4	320	goedkoop	0.2619796461470776
goedkoop.foc10.nav.no.bound.min1.soc10.nav.5000	0.12098624843789899	-0.21177911907544195	bound	954	nav	10_10	1	no	5000	5000	nav	10_10	320	goedkoop	0.2509373716776224
goedkoop.foc10.nav.no.bound.min1.soc10.nav.10000	0.12475113922284954	-0.22362161099266176	bound	954	nav	10_10	1	no	10000	10000	nav	10_10	320	goedkoop	0.25007590424994813
goedkoop.foc10.nav.no.bound.min1.soc10.nav.FOC	0.06393396565515098	-0.22560330947845333	bound	954	nav	10_10	1	no	FOC	954	nav	10_10	320	goedkoop	0.256531434928887
goedkoop.foc10.nav.no.bound.min1.soc4.all.5000	0.12983157886785238	-0.1571766102722346	bound	954	nav	10_10	1	no	5000	5000	all	4_4	320	goedkoop	0.2615750919183241
