_id	_cws.grijs.foc10.nav.weight.bound	_count.grijs.foc10.nav.weight.bound	_cws.grijs.foc10.nav.selection.bound	_count.grijs.foc10.nav.selection.bound	_cws.grijs.foc10.nav.no.bound	_count.grijs.foc10.nav.no.bound	_cws.grijs.foc10.all.weight.bound	_count.grijs.foc10.all.weight.bound	_cws.grijs.foc10.all.selection.bound	_count.grijs.foc10.all.selection.bound	_cws.grijs.foc10.all.no.bound	_count.grijs.foc10.all.no.bound	_cws.grijs.foc5.nav.weight.bound	_count.grijs.foc5.nav.weight.bound	_cws.grijs.foc5.nav.selection.bound	_count.grijs.foc5.nav.selection.bound	_cws.grijs.foc5.nav.no.bound	_count.grijs.foc5.nav.no.bound	_cws.grijs.foc5.all.weight.bound	_count.grijs.foc5.all.weight.bound	_cws.grijs.foc5.all.selection.bound	_count.grijs.foc5.all.selection.bound	_cws.grijs.foc5.all.no.bound	_count.grijs.foc5.all.no.bound
grijs/adj/nrc_handelsblad_20020717_6/269	ben/verb;gebied/noun	2	ben/verb;gebied/noun	2	ben/verb;gebied/noun	2	ben/verb;gebied/noun;het/det;in/prep	4	ben/verb;gebied/noun;het/det;in/prep	4	ben/verb;gebied/noun;het/det;in/prep	4	gebied/noun	1	gebied/noun	1	gebied/noun	1	gebied/noun;het/det;in/prep	3	gebied/noun;het/det;in/prep	3	gebied/noun;het/det;in/prep	3
grijs/adj/nrc_handelsblad_19991005_94/174	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6
grijs/adj/nrc_handelsblad_20000111_26/106	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4
grijs/adj/nrc_handelsblad_20010906_0/595	grafsteen/noun;steen/noun	2	grafsteen/noun;steen/noun	2	grafsteen/noun;steen/noun	2	een/det;grafsteen/noun;steen/noun	3	een/det;grafsteen/noun;steen/noun	3	een/det;grafsteen/noun;steen/noun	3	steen/noun	1	steen/noun	1	steen/noun	1	een/det;steen/noun	2	een/det;steen/noun	2	een/det;steen/noun	2
grijs/adj/nrc_handelsblad_20011129_53/505	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9
grijs/adj/nrc_handelsblad_20030820_05/321	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	besta/verb;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep	7	besta/verb;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep	7	besta/verb;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep	7	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	besta/verb;een/det;er/adv;gebied/noun;het/det	5	besta/verb;een/det;er/adv;gebied/noun;het/det	5	besta/verb;een/det;er/adv;gebied/noun;het/det	5
grijs/adj/nrc_handelsblad_20001020_117/574	lijk/verb;mist/noun;soort/noun;voltrek/verb	4	lijk/verb;mist/noun;soort/noun;voltrek/verb	4	lijk/verb;mist/noun;soort/noun;voltrek/verb	4	een/det;in/prep;lijk/verb;mist/noun;soort/noun;voltrek/verb;zijn/det	7	een/det;in/prep;lijk/verb;mist/noun;soort/noun;voltrek/verb;zijn/det	7	een/det;in/prep;lijk/verb;mist/noun;soort/noun;voltrek/verb;zijn/det	7	mist/noun;soort/noun;voltrek/verb	3	mist/noun;soort/noun;voltrek/verb	3	mist/noun;soort/noun;voltrek/verb	3	een/det;in/prep;mist/noun;soort/noun;voltrek/verb	5	een/det;in/prep;mist/noun;soort/noun;voltrek/verb	5	een/det;in/prep;mist/noun;soort/noun;voltrek/verb	5
grijs/adj/nrc_handelsblad_20001207_156/890	geld/noun;voorstad/noun;vrouw/noun	3	geld/noun;voorstad/noun;vrouw/noun	3	geld/noun;voorstad/noun;vrouw/noun	3	een/det;geld/noun;in/prep;voorstad/noun;vrouw/noun	5	een/det;geld/noun;in/prep;voorstad/noun;vrouw/noun	5	een/det;geld/noun;in/prep;voorstad/noun;vrouw/noun	5	voorstad/noun	1	voorstad/noun	1	voorstad/noun	1	in/prep;voorstad/noun	2	in/prep;voorstad/noun	2	in/prep;voorstad/noun	2
grijs/adj/nrc_handelsblad_20000617_13/601	dun/adj;strijk/verb;verlang/adj	3	dun/adj;strijk/verb;verlang/adj	3	dun/adj;strijk/verb;verlang/adj	3	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zijn/det	6	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zijn/det	6	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zijn/det	6	dun/adj;strijk/verb	2	dun/adj;strijk/verb	2	dun/adj;strijk/verb	2	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5
grijs/adj/nrc_handelsblad_20020712_29/1197	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6
