_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.155551426925113	-0.022272387982611393	bound	724	nav	10_10	1	weight	5000	5000	nav	4_4	311	grijs	0.25589703822264614
grijs.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.16712054702381318	-0.042507874926585906	bound	724	nav	10_10	1	weight	10000	10000	nav	4_4	311	grijs	0.2528825580405782
grijs.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.23087536174776468	-0.07741635014734481	bound	724	nav	10_10	1	weight	FOC	724	nav	4_4	311	grijs	0.2534815734690278
grijs.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.16293457575060435	-0.013600265761354117	bound	724	nav	10_10	1	weight	5000	5000	nav	10_10	311	grijs	0.24851513228032004
grijs.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.16217245660830593	-0.026383788016021387	bound	724	nav	10_10	1	weight	10000	10000	nav	10_10	311	grijs	0.24592227720017237
grijs.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.24232100881773136	-0.07451465623149431	bound	724	nav	10_10	1	weight	FOC	724	nav	10_10	311	grijs	0.2408190557536054
grijs.foc10.nav.weight.bound.min1.soc4.all.5000	-0.15487532800851975	-0.015087255665955545	bound	724	nav	10_10	1	weight	5000	5000	all	4_4	311	grijs	0.25653388259394216
grijs.foc10.nav.weight.bound.min1.soc4.all.10000	-0.15425832099429265	-0.030874274349688386	bound	724	nav	10_10	1	weight	10000	10000	all	4_4	311	grijs	0.25448544695167347
grijs.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.2308754884094768	-0.077416414895375	bound	724	nav	10_10	1	weight	FOC	724	all	4_4	311	grijs	0.2534815734690278
grijs.foc10.nav.weight.bound.min1.soc10.all.5000	-0.1625116561552646	-0.007773111502551439	bound	724	nav	10_10	1	weight	5000	5000	all	10_10	311	grijs	0.24861583966372516
grijs.foc10.nav.weight.bound.min1.soc10.all.10000	-0.1593135358976258	-0.01902775309670262	bound	724	nav	10_10	1	weight	10000	10000	all	10_10	311	grijs	0.2483514092274459
grijs.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.24232286125544183	-0.07451534935445005	bound	724	nav	10_10	1	weight	FOC	724	all	10_10	311	grijs	0.2408190557536054
grijs.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.1079854506274195	0.14375509744005954	bound	724	nav	10_10	1	selection	5000	5000	nav	4_4	311	grijs	0.25269923548210865
grijs.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.11140033399303348	0.1399861759601383	bound	724	nav	10_10	1	selection	10000	10000	nav	4_4	311	grijs	0.24829631836268157
grijs.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.11187554182182785	0.04169559074878158	bound	724	nav	10_10	1	selection	FOC	724	nav	4_4	311	grijs	0.2484184823582475
grijs.foc10.nav.selection.bound.min1.soc10.nav.5000	-0.10556370704336418	0.1265788928532298	bound	724	nav	10_10	1	selection	5000	5000	nav	10_10	311	grijs	0.24645905243188557
grijs.foc10.nav.selection.bound.min1.soc10.nav.10000	-0.1055821620695402	0.11396102758210744	bound	724	nav	10_10	1	selection	10000	10000	nav	10_10	311	grijs	0.2443690538830936
grijs.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.11470808835390499	0.04013997411553296	bound	724	nav	10_10	1	selection	FOC	724	nav	10_10	311	grijs	0.23394393574352876
grijs.foc10.nav.selection.bound.min1.soc4.all.5000	-0.10503727429781859	0.16836508495998428	bound	724	nav	10_10	1	selection	5000	5000	all	4_4	311	grijs	0.255554835301926
grijs.foc10.nav.selection.bound.min1.soc4.all.10000	-0.1013123025115308	0.14563700541062513	bound	724	nav	10_10	1	selection	10000	10000	all	4_4	311	grijs	0.25368578764268007
grijs.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.1118755255002175	0.041695557050479344	bound	724	nav	10_10	1	selection	FOC	724	all	4_4	311	grijs	0.2484184823582475
grijs.foc10.nav.selection.bound.min1.soc10.all.5000	-0.10685115462119564	0.1565010337031888	bound	724	nav	10_10	1	selection	5000	5000	all	10_10	311	grijs	0.25011200888424406
grijs.foc10.nav.selection.bound.min1.soc10.all.10000	-0.10518987351893257	0.12446021490992873	bound	724	nav	10_10	1	selection	10000	10000	all	10_10	311	grijs	0.24950835120543022
