pmi	raw_freq	raw_co	cw
0.37587175	62265	47	's/adv
-0.43964702	3006	1	(/noun
1.0006304	1428	2	1932/noun
0.3073412	2850	2	1947/noun
-0.8392239	26842	6	1995/noun
-0.7124096	51305	13	1998/noun
-1.0304835	16437	3	24/noun
1.4197216	951	2	62-jarige/adj
1.6750566	363	1	A_merk/noun
-1.515022	8894	1	Albanees/adj
-0.96030253	231449	45	Amerikaans/adj
0.6701335	1001	1	Appel/noun
-0.18608403	139420	59	Belgisch/adj
-0.91964775	94154	19	Brits/adj
-0.20875308	104339	43	Duits/adj
0.23151754	35568	23	Engels/adj
-0.8033538	165681	38	Europees/adj
2.084854	253	1	Flandria/noun
-0.44791347	64503	21	Nederlander/noun
1.5812815	399	1	Noord_Afrikaan/noun
2.5277376	6487	42	T-shirt/noun
-0.34316328	30463	11	Turks/adj
0.29545826	10269	7	a/noun
1.3119146	2082	4	aan/adv
-0.10286631	392664	183	aan/part
-0.16619879	2153601	942	aan/prep
0.79436624	1748	2	aangelegd/adj
1.8449607	1221	4	aangezicht/noun
-0.53034145	9956	3	aanklager/noun
-1.5689352	27922	3	aanpak/noun
-0.5784655	235279	68	aantal/noun
-0.87691516	4654	1	aanvaardbaar/adj
-0.22630768	2433	1	aanvaring/noun
-0.431407	8979	3	aanvoerder/noun
1.0433754	680	1	aanwas/noun
0.6503649	20232	20	aarde/noun
1.5499215	8676	21	accent/noun
0.6543735	6014	6	achter/adv
0.2590822	15018	10	achter/part
0.7388069	150814	163	achter/prep
1.5440384	23095	56	achtergrond/noun
-0.2796648	51290	20	actief/adj
0.2953329	10114	7	advertentie/noun
-0.19035193	321541	137	af/part
2.5273407	311	2	af_stand_DIM/noun
-0.69432336	34907	9	afdeling/noun
1.2996486	1594	3	afgerond/adj
0.664483	2990	3	afschuwelijk/adj
-0.63950133	40414	11	afspraak/noun
-0.040898193	1066466	530	al/adv
-0.8110751	176667	40	aldus/prep
-0.2853627	422543	164	alle/det
0.06777581	178364	99	alleen/adj
0.34606212	266562	195	alleen/adv
0.27691522	127360	87	allemaal/adv
0.2195463	209596	135	alles/noun
0.18872188	3210	2	allure/noun
0.68455255	6851	7	almaar/adv
1.1773835	1192	2	alomtegenwoordig/adj
0.10451182	1263756	726	als/prep
2.6147957	1836	13	aluminium/noun
0.9667157	5171	7	amateur/noun
-0.49228644	25351	8	ambitie/noun
0.20209077	3166	2	ambt/noun
0.22854778	31013	20	ambtenaar/noun
-1.0466888	22107	4	analist/noun
-0.33476576	663512	246	ander/adj
0.19113168	142075	89	anders/adj
-0.8641742	4579	1	anekdote/noun
1.7486819	675	2	annexeer/verb
1.1079476	14095	22	anoniem/adj
0.07769092	21413	12	antwoord/verb
0.46640915	7284	6	arbeid/noun
0.7897911	10566	12	arbeid_markt/noun
0.74309546	25767	28	arm/noun
2.0647411	4197	17	asfalt/noun
0.35553625	6775	5	autentiek/adj
0.9148802	124344	159	auto/noun
4.8063073	3354	212	baard/noun
5.099016	305	26	baard_DIM/noun
0.054820903	7340	4	bad/noun
1.7054626	8792	25	bak/noun
-0.13502494	37776	17	bang/adj
-1.0314678	26993	5	basis/prep
0.7579712	3872	4	basketbal/noun
0.8087169	863	1	bastion/noun
4.1564035	211	7	bebrild/adj
-0.10037078	27767	13	bedenk/verb
0.2238151	20358	13	bedreig/verb
-0.86023533	248130	54	bedrijf/noun
2.229637	1040	5	bedrukt/adj
0.8461875	91319	110	beetje/noun
1.2994776	7392	14	begeef/verb
-1.1514132	18380	3	begeleid/verb
-0.8189838	30645	7	begin/adv
-0.003950505	280945	144	begin/verb
-0.5781645	61997	18	begrijp/verb
-0.36950275	22371	8	behoefte/noun
2.197242	215	1	beid/verb
-0.36211985	19416	7	beide/pron
-1.0304198	10826	2	beiden/adv
1.9648325	270	1	beitel/noun
2.418536	686	4	bekleed/adj
0.8891665	3185	4	beklim/verb
0.47542006	25466	21	beleef/verb
-0.40850556	46588	16	beleid/noun
0.10546464	9938754	5700	ben/verb
-0.86386377	22855	5	benadruk/verb
-1.0566539	78177	14	bereik/verb
-0.25067002	2513	1	berg/verb
0.7664651	2702	3	beroemdheid/noun
0.09600164	1756	1	beroep_groep/noun
1.7634254	662	2	beschutting/noun
0.46944368	151384	125	besta/verb
1.0848688	26854	41	bestaan/noun
-0.5825894	13970	4	bestel/verb
0.055665806	46000	25	bestuurder/noun
0.286719	13191	9	betaald/adj
-0.28292406	17935	7	betekenis/noun
3.0758774	4290	48	beton/noun
5.6445775	218	32	beton_straat_steen/noun
2.8385324	4859	43	betonnen/adj
-0.34127066	55437	20	beurs/noun
0.850659	37144	45	bevind/verb
-0.97955877	35944	7	beweer/verb
0.70588684	955	1	bewindsvrouw/noun
-0.42026028	53195	18	bezoek/noun
0.08166496	7205	4	bezorgd/adj
-0.19942737	7121	3	bezuiniging/noun
-1.0223435	53920	10	bied_aan/verb
0.21262634	9441	6	bij/noun
-0.3208324	1803877	674	bij/prep
-1.1714957	25014	4	bijdrage/noun
