_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.18497297976519264	-0.03791049521150981	NA	NA	BOW	bound	375	lex	10_10	1	weight	5000	5000	nav	4_4	246	haken	NA
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1993883752978949	-0.10838548373091805	NA	NA	BOW	bound	375	lex	10_10	1	weight	5000	5000	all	4_4	246	haken	NA
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19268100596104812	0.06246642633151161	NA	NA	BOW	bound	375	lex	10_10	1	weight	FOC	258	nav	4_4	246	haken	NA
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.18811470851671538	0.06619919216954127	NA	NA	BOW	bound	375	lex	10_10	1	weight	FOC	375	all	4_4	246	haken	NA
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2452792782629174	0.0029537619996173486	NA	NA	BOW	bound	375	lex	10_10	1	selection	5000	5000	nav	4_4	246	haken	NA
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2650982588819303	-0.014159787570052847	NA	NA	BOW	bound	375	lex	10_10	1	selection	5000	5000	all	4_4	246	haken	NA
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.205669771766499	0.0905454580466151	NA	NA	BOW	bound	375	lex	10_10	1	selection	FOC	258	nav	4_4	246	haken	NA
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20175667349597257	0.09623777726537823	NA	NA	BOW	bound	375	lex	10_10	1	selection	FOC	375	all	4_4	246	haken	NA
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3126575211703384	0.10768420140448864	NA	NA	BOW	bound	722	lex	10_10	1	no	5000	5000	nav	4_4	249	haken	NA
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.32697611707195684	0.15004533400330797	NA	NA	BOW	bound	722	lex	10_10	1	no	5000	5000	all	4_4	249	haken	NA
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22399805413994509	0.1531888140098761	NA	NA	BOW	bound	722	lex	10_10	1	no	FOC	521	nav	4_4	249	haken	NA
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.21836768570908366	0.15905938422211474	NA	NA	BOW	bound	722	lex	10_10	1	no	FOC	722	all	4_4	249	haken	NA
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.02503959508816856	-0.05512951816638793	NA	NA	BOW	bound	556	all	10_10	1	weight	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.006939893279723942	-0.07982125570513755	NA	NA	BOW	bound	556	all	10_10	1	weight	5000	5000	all	4_4	251	haken	NA
haken.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.04660097772821027	0.057201260753351725	NA	NA	BOW	bound	556	all	10_10	1	weight	FOC	258	nav	4_4	251	haken	NA
