_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.10716382573709024	-0.054487316536238665	NA	NA	BOW	bound	326	lex	10_10	1	weight	5000	5000	nav	4_4	277	harden	0.22156848022051479
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.21537414450208464	-0.013402389119669386	NA	NA	BOW	bound	326	lex	10_10	1	weight	5000	5000	all	4_4	277	harden	0.26900410934956825
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.13220510676965022	-0.13952304417035755	NA	NA	BOW	bound	326	lex	10_10	1	weight	FOC	221	nav	4_4	277	harden	0.21764669029667322
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.0903430010486565	-0.09980573698067756	NA	NA	BOW	bound	326	lex	10_10	1	weight	FOC	326	all	4_4	277	harden	0.21832631493193477
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.029814302410112046	0.022166846387274015	NA	NA	BOW	bound	326	lex	10_10	1	selection	5000	5000	nav	4_4	277	harden	0.22736370883049875
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.20145766828160824	0.08998419965906376	NA	NA	BOW	bound	326	lex	10_10	1	selection	5000	5000	all	4_4	277	harden	0.2726976941013041
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.07557125654082615	-0.07321458645033546	NA	NA	BOW	bound	326	lex	10_10	1	selection	FOC	221	nav	4_4	277	harden	0.22864633437233764
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.01985281009930012	-0.028802939240584087	NA	NA	BOW	bound	326	lex	10_10	1	selection	FOC	326	all	4_4	277	harden	0.21030275280109242
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.08586213567939273	0.021249883211010404	NA	NA	BOW	bound	691	lex	10_10	1	no	5000	5000	nav	4_4	279	harden	0.24358863997140187
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3652074805676153	0.09781776012983816	NA	NA	BOW	bound	691	lex	10_10	1	no	5000	5000	all	4_4	279	harden	0.27958281120788125
